tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,tp_proteins,fp_proteins,fn_proteins
1.0,76.0,21.0,3342.0,0.012987012987012988,0.045454545454545456,0.020202020202020204,0.012512326645849243,0.0,0.0,0.0,['CEACAM6'],"['CUL3', 'HSPA5', 'HMGA1', 'CDK2', 'HOXA1', 'PIK3R1', 'VIM', 'MKI67', 'ZBTB16', 'CSNK2B', 'AHNAK', 'COPS5', 'BRCA1', 'TUBA4A', 'ZNF785', 'CTNNB1', 'CREBBP', 'UBR3', 'PMP22', 'PARP2', 'TRIM27', 'CXCL9', 'PIN1', 'FBXW11', 'PICK1', 'CEP70', 'SDCBP', 'HSPD1', 'REL', 'MAPK6', 'RBCK1', 'ATXN3', 'UBR4', 'USP16', 'SORL1', 'NFKB1', 'CNOT9', 'CUL1', 'KRTAP12-3', 'ZMYM6', 'CALM1', 'LAMTOR5', 'HRAS', 'TK1', 'ERGIC3', 'CSNK2A2', 'KRTAP10-8', 'PDIA3', 'NCALD', 'HMGN2', 'SMAD3', 'TOR1AIP2', 'H1-4', 'ENG', 'KLF11', 'UBE2I', 'FBXW7', 'ITGAV', 'EGLN3', 'ZIC1', 'MAGEA6', 'RUVBL2', 'ADAM33', 'YWHAZ', 'ATXN10', 'ATP6V0C', 'ATP2A3', 'PDF', 'CD44', 'IL1R1', 'EGR1', 'SNW1', 'HNRNPD', 'ANKRD28', 'PDGFRA', 'CREB5']","['SERPINB4', 'IL16', 'MYADM', 'ECM1', 'IGF1', 'NFRKB', 'MAP2', 'COL5A1', 'ATXN7', 'FST', 'TNR', 'AGTR1', 'SDF2L1', 'RBP4', 'TGFBI', 'COL6A3', 'ACKR4', 'MMP15', 'ITGB6', 'IL24', 'HSD17B1']"
5.0,98.0,17.0,3320.0,0.04854368932038835,0.22727272727272727,0.07999999999999999,0.09289280171341838,0.0,0.05,0.045454545454545456,"['LGALS3', 'JAK2', 'LGALS14', 'IGFBP1', 'CEACAM1']","['HSCB', 'EGFR', 'HNRNPC', 'TMEM67', 'VIM', 'TGM2', 'ERBB2', 'FLT1', 'A2M', 'MAGEA11', 'BRCA1', 'MEOX2', 'COPS5', 'CSNK2B', 'NTAQ1', 'SPRED1', 'SGTB', 'NES', 'ANXA2', 'SIAH1', 'PLOD1', 'CREBBP', 'RNF41', 'UBR3', 'PARP2', 'NOTCH1', 'CDK1', 'FYN', 'RIF1', 'NFKBIA', 'ERRFI1', 'GOLGA2', 'PIN1', 'DNAJB11', 'CYSRT1', 'AQP6', 'EEF1A1', 'NCK2', 'TRIM63', 'ATXN10', 'C1QTNF2', 'UBR4', 'FECH', 'RBCK1', 'ASGR2', 'SUSD3', 'CEP70', 'EP300', 'CASP8', 'TTR', 'ZMYM6', 'USP16', 'CDIPT', 'AKT1', 'HMGN2', 'E2F1', 'KRTAP12-3', 'CCDC33', 'KRTAP10-8', 'NCALD', 'OS9', 'SMAD3', 'DCTN1', 'KLF11', 'MAPK8', 'YWHAG', 'H1-1', 'UQCRB', 'CDC5L', 'H1-4', 'MRM1', 'YWHAZ', 'BAG4', 'PDF', 'TRAF6', 'USP15', 'METTL14', 'SH2D1B', 'CCL28', 'TPP2', 'QRICH1', 'PDGFRA', 'DDIT4L', 'LAPTM4B', 'MAPK1', 'ARRB2', 'PRPF8', 'PIAS4', 'CLEC2D', 'FADD', 'SPDL1', 'UBR1', 'LMO3', 'BRICD5', 'EIF3F', 'CDC37', 'BMPR1A', 'RB1']","['APOE', 'IL16', 'TFRC', 'ATP6V0E1', 'MAP2', 'SMCHD1', 'MGAT2', 'MAPRE3', 'CHIA', 'ACKR4', 'FGF7', 'FETUB', 'HSD17B1', 'IFNA10', 'ITGB6', 'PTHLH', 'PTGIS']"
1.0,14.0,23.0,3402.0,0.06666666666666667,0.041666666666666664,0.05128205128205127,0.04745808908125161,0.06666666666666667,0.05,0.041666666666666664,['TP53'],"['MEOX2', 'UBQLN1', 'GRB2', 'AGR2', 'UBQLN2', 'APPBP2', 'TRAF3', 'CIDEB', 'A2M', 'CAV1', 'PRKCA', 'CFTR', 'TBC1D22B', 'VIM']","['NPPA', 'APOA1', 'KRAS', 'NCOA3', 'RASSF1', 'NOS3', 'MKI67', 'MTOR', 'TGFB1', 'DNMT1', 'GMPR2', 'TP63', 'SELENBP1', 'ROBO1', 'TYRP1', 'SYCP1', 'ARID1A', 'GPX3', 'ID3', 'IREB2', 'OGG1', 'MMP14', 'MUC2']"
3.0,92.0,9.0,3336.0,0.031578947368421054,0.25,0.05607476635514019,0.08029190976579126,0.0,0.0,0.0,"['CCT2', 'COL1A1', 'ANXA2']","['VCAM1', 'PCNA', 'HSCB', 'ADRB2', 'RGS2', 'RBPMS', 'CUL3', 'ZNF785', 'DLST', 'MLF1', 'LRP1', 'METTL3', 'NUDC', 'GPC4', 'C3AR1', 'BIRC2', 'NME2', 'KRTAP10-3', 'POT1', 'HSF2BP', 'REL', 'MYO19', 'FLNA', 'MYOC', 'BLMH', 'LMO4', 'CD109', 'GEM', 'PICK1', 'HDAC10', 'NUFIP1', 'KRTAP10-7', 'MTNR1A', 'FANCL', 'CLPP', 'COMT', 'IQGAP1', 'HSD17B10', 'CEP128', 'PSMC5', 'CDKN2A', 'CEP126', 'P2RY6', 'TAFAZZIN', 'CTNNB1', 'THRAP3', 'STX8', 'SLC39A4', 'RPGRIP1L', 'GET4', 'RAB5A', 'PSMD2', 'INSR', 'MESD', 'PPP1CB', 'APOE', 'ZNF254', 'SMARCA2', 'SERPINA12', 'HPCAL1', 'EGLN3', 'PPM1D', 'SBF1', 'FAM209A', 'TTR', 'SLC9A1', 'PSMA1', 'ABL2', 'PIN1', 'SCRN1', 'COPRS', 'HNRNPK', 'CRYZL1', 'MCM2', 'ADAM33', 'ST8SIA4', 'HDAC2', 'TRIM28', 'MYCBP2', 'TRMT2A', 'RAC1', 'RPS27A', 'SMURF1', 'CAPZA2', 'LIMS1', 'SHBG', 'CFL1', 'TFAP2C', 'CTSA', 'GDPD5', 'CKAP4', 'NDUFV1']","['IL6', 'COL1A2', 'VDR', 'PNP', 'RAB7B', 'TPM4', 'RSU1', 'DAAM2', 'ATIC']"
7.0,172.0,46.0,3215.0,0.03910614525139665,0.1320754716981132,0.060344827586206906,0.04508137299895107,0.06666666666666667,0.15,0.09433962264150944,"['FYN', 'OPRM1', 'FHL3', 'EP300', 'HTR2A', 'COMT', 'GEMIN4']","['AGR2', 'CAND1', 'UBQLN2', 'FLNA', 'HSPB1', 'CTNNA3', 'LGALS8', 'CYP2A6', 'STUB1', 'FGFR1', 'DLG4', 'ARRB2', 'CUL1', 'CSNK2B', 'KEAP1', 'TIMM13', 'A2M', 'LAMTOR5', 'HSPA9', 'H1-2', 'ZBTB16', 'HNRNPAB', 'UBE2I', 'CANX', 'TERF2IP', 'ABI2', 'SDHA', 'VHL', 'HSPD1', 'ATXN1', 'KRTAP10-8', 'MAGI3', 'XYLT1', 'HNRNPK', 'CSNK2A1', 'ATP2B4', 'BECN1', 'CEACAM6', 'TCTN3', 'RHOA', 'PTPN11', 'MAPK6', 'EPS15', 'HMGB3', 'GNAI1', 'DLGAP4', 'PLSCR1', 'KCTD15', 'TBC1D22B', 'BTRC', 'HAX1', 'OTUB2', 'RASSF1', 'SIAH2', 'TP53BP1', 'GSK3B', 'TARDBP', 'PLCG1', 'ACAD11', 'TINF2', 'SPTAN1', 'H3C13', 'SLAMF1', 'DVL3', 'PMP22', 'G3BP1', 'GNMT', 'PRPF40A', 'H3C12', 'MTOR', 'ERRFI1', 'TSPAN7', 'HSPA8', 'ID2', 'MAPK1', 'MAPK3', 'PRKCA', 'DMWD', 'NDE1', 'EIF3F', 'PPP1CC', 'ZHX1', 'ELP1', 'PPP1CB', 'EPB41L2', 'PPP5C', 'H1-1', 'FEZ1', 'GHITM', 'C1QL4', 'USP11', 'FHL2', 'KIFC3', 'CREB3', 'CUL5', 'BBS1', 'HMOX2', 'SEC22B', 'C1orf94', 'TMEM30B', 'RHEB', 'GLRX3', 'AQP1', 'HAVCR2', 'CDC23', 'RTN4', 'NOP56', 'PTGER3', 'LONRF1', 'RETREG3', 'PDGFRA', 'NUDCD3', 'FGB', 'KLHL42', 'PDZK1IP1', 'GPR152', 'MID2', 'MIPOL1', 'NCAPH2', 'TOLLIP', 'CCDC120', 'PTGIR', 'CBWD1', 'SCGB1D1', 'IPO13', 'BBS2', 'USP54', 'INPPL1', 'AMOT', 'RFWD3', 'BCL2L11', 'AP1M1', 'NUP58', 'HLA-DPA1', 'CAPZA2', 'KLHL6', 'WDR83', 'CDK4', 'HMGA1', 'SRRM2', 'NFKBID', 'DDIT4L', 'NOD1', 'FAM90A1', 'BLK', 'VAPB', 'USP7', 'PUF60', 'USP20', 'NFS1', 'EIF4A3', 'CENPB', 'TSNAX', 'VAMP2', 'RXRA', 'SUOX', 'VPS11', 'FBLN1', 'ARHGAP32', 'EPHA1', 'TSPAN3', 'TLR3', 'CLINT1', 'RHOXF2', 'CCND1', 'TRIM32', 'ALCAM', 'MBD3', 'DNAJC18', 'SLC9A6', 'CLEC2D', 'ECPAS']","['CDH5', 'APOE', 'NMUR2', 'OASL', 'GABRA2', 'MOB4', 'CDH8', 'LHB', 'TAC1', 'GAP43', 'GABRB1', 'GRM1', 'KIAA0040', 'OPRD1', 'NRDC', 'GABRB2', 'BAZ1A', 'ATP5ME', 'DPYSL2', 'RFC1', 'CDH13', 'EPHA8', 'ALK', 'HTR1B', 'PHF3', 'EGF', 'LEP', 'AKR1C4', 'PER3', 'TBX19', 'SLC46A1', 'SDHAF3', 'ST18', 'GABRA5', 'FABP2', 'FSHB', 'ASTN1', 'BHMT', 'ADH7', 'ADH1A', 'CDH9', 'C1D', 'NLGN4X', 'PDYN', 'REN', 'LILRA1']"
3.0,27.0,20.0,3390.0,0.1,0.13043478260869565,0.11320754716981132,0.10739945137078295,0.13333333333333333,0.1,0.08695652173913043,"['AGT', 'SIRT1', 'LEPR']","['APP', 'DAXX', 'LMNA', 'GOPC', 'BAG6', 'MAST2', 'YWHAZ', 'PFKFB3', 'MYC', 'UBC', 'ATXN1', 'CCL5', 'UBQLN1', 'RAF1', 'AR', 'XRCC5', 'CHP1', 'CANX', 'GRN', 'ANK2', 'HDAC6', 'ESR2', 'YTHDF1', 'PLEKHF2', 'E2F1', 'MBOAT7', 'SGTB']","['PPARG', 'BCL2', 'CPT1A', 'SLC35C2', 'AOC3', 'MMP9', 'TNF', 'SRSF2', 'FOXO3', 'ACOX1', 'PTGS2', 'ID1', 'REN', 'LEP', 'CAV3', 'STS', 'UCP2', 'S1PR5', 'S1PR2', 'GSR']"
6.0,82.0,13.0,3339.0,0.06818181818181818,0.3157894736842105,0.11214953271028037,0.1369855829864692,0.13333333333333333,0.1,0.10526315789473684,"['APP', 'MAPT', 'INSR', 'CALM1', 'EPHA1', 'IGF2R']","['COPS5', 'GRB2', 'ATXN1', 'STUB1', 'TRIM55', 'CREB3', 'CTNNB1', 'SPRED1', 'EGFR', 'CAND1', 'PIK3R1', 'SYNCRIP', 'FXR1', 'SOD1', 'PRPF31', 'CYSRT1', 'ERBB2', 'PTPN11', 'BRCA1', 'E2F1', 'HSD17B10', 'IGFBP5', 'FHL2', 'KAT5', 'CASP6', 'TAFA3', 'UBQLN2', 'TCEANC', 'SPP1', 'APOA1', 'LAMP2', 'ADAMTSL4', 'IKBKG', 'MGST3', 'PTPN6', 'CD81', 'HSPA1A', 'HNRNPH2', 'C5AR2', 'PDGFRB', 'FLOT2', 'SRPK1', 'DKC1', 'CANX', 'ZBTB24', 'CDCA8', 'PARK7', 'DCTN1', 'PPP1CA', 'PLB1', 'PSMA1', 'SCD', 'CHRNA3', 'PIAS1', 'MTA1', 'TRIM54', 'XIAP', 'FAF2', 'CHEK1', 'PHACTR4', 'TRAF4', 'RPS3A', 'SH3GLB1', 'ACTN1', 'ATP6AP2', 'IQGAP1', 'MICAL1', 'ADAM32', 'SMAD3', 'CTCFL', 'VPS35', 'VAC14', 'FLNA', 'LASP1', 'FARSA', 'SRPRB', 'DGUOK', 'RBBP4', 'NBPF19', 'S100A9', 'NRAS', 'HMGA1']","['NCSTN', 'PGRMC1', 'BACE1', 'ADAM10', 'IGF1', 'LEP', 'BDNF', 'TPP1', 'MSI1', 'CRH', 'CHRNB2', 'MS4A4A', 'HLA-DRB5']"
1.0,16.0,11.0,3412.0,0.058823529411764705,0.08333333333333333,0.06896551724137931,0.06614081971519331,0.06666666666666667,0.05,0.08333333333333333,['TP53'],"['PSEN1', 'TP53BP1', 'EP300', 'HTT', 'PHB', 'RNF128', 'TEX101', 'UGGT1', 'MYC', 'PRKN', 'ATXN1', 'RELA', 'ERBB2', 'WFS1', 'YWHAB', 'HSPA5']","['EWSR1', 'ARMC6', 'GFAP', 'PFN1', 'PLA2G4A', 'SIGMAR1', 'SLC6A1', 'ERBB4', 'NEFH', 'GLE1', 'GSR']"
5.0,179.0,32.0,3224.0,0.02717391304347826,0.13513513513513514,0.04524886877828054,0.037836956167278765,0.0,0.05,0.02702702702702703,"['REL', 'LCN2', 'CDK6', 'TRAF1', 'FKBP5']","['PIK3R1', 'CFTR', 'STUB1', 'NUMA1', 'LHFPL5', 'RELA', 'ADRB2', 'FBP1', 'HDAC1', 'MAPK1', 'HGS', 'TOR1A', 'SLC9A3R1', 'TRAF2', 'SGTA', 'NFYC', 'PEX19', 'CUL3', 'LRRK2', 'METTL14', 'DNM2', 'ZDHHC17', 'SERPINB4', 'CAND1', 'TEX101', 'PRPF31', 'TNFRSF1A', 'PIAS1', 'VCP', 'ATXN1', 'BMPR2', 'SFXN5', 'DDX31', 'HNRNPU', 'HSPA5', 'PSMC5', 'RFFL', 'FOS', 'UNC93B1', 'SYNPO', 'METTL3', 'EZH2', 'RAF1', 'SNX27', 'SORT1', 'TMBIM6', 'SPRED1', 'XIAP', 'SOD1', 'ARRB1', 'YBX3', 'TOR1AIP2', 'GLRX3', 'HNRNPA0', 'NDUFB6', 'HNRNPH3', 'MPP1', 'TXN', 'ATP6V0D1', 'ERG28', 'DYNLL1', 'SERPINB5', 'PECAM1', 'PIP4K2A', 'IFFO1', 'NPM1', 'RCHY1', 'KDM1A', 'DMWD', 'RIF1', 'UNC119', 'PVR', 'ANXA2', 'NECAB2', 'KBTBD7', 'UGT8', 'PDHA1', 'H4-16', 'TCEANC', 'USP22', 'HOXC8', 'FXR1', 'LGALS9C', 'CNTF', 'TSC1', 'NEDD8', 'PTPN6', 'CUL4A', 'MORF4L1', 'CERCAM', 'BET1', 'ARNT', 'LUC7L2', 'YWHAB', 'CSK', 'CHUK', 'SH3KBP1', 'BLZF1', 'MAPK3', 'ZFYVE9', 'COPB1', 'PLCG1', 'HIF1AN', 'HIP1', 'ARMC8', 'GPRC5C', 'TPI1', 'DHX9', 'ITGB4', 'PDIA3', 'CHCHD3', 'RASSF5', 'ENSA', 'MYD88', 'BAK1', 'MAP3K7', 'SLC30A1', 'INSR', 'PSMB8', 'KRTAP6-3', 'INS', 'AIFM1', 'MTNR1B', 'CYTH2', 'BTN2A2', 'TCTN3', 'CHD3', 'PDZD3', 'MATR3', 'WTAP', 'TNS2', 'RUNDC3A', 'FADD', 'ABI2', 'CLDN19', 'TGFBR2', 'SEC22A', 'PDGFB', 'MUL1', 'RPL23', 'GNAI2', 'PROS1', 'RAB3IL1', 'MPPE1', 'POU6F2', 'ILK', 'BANP', 'FXR2', 'FGA', 'SPG7', 'KLC3', 'ZNF747', 'CDKN2A', 'C3', 'GOLGA5', 'PARK7', 'VDAC3', 'LAT', 'NDUFA10', 'SPG21', 'H2AZ1', 'ATP2A3', 'TMEM214', 'MRAP2', 'FAF1', 'HIVEP1', 'YIPF5', 'TMEM185A', 'USP8', 'RARA', 'UHRF2', 'TAL1', 'PRDX6', 'ATF3', 'CANX', 'SYNGR1', 'TIMP1', 'EZR', 'RNF213']","['IL6R', 'TXNIP', 'IGFBP3', 'RUNX1', 'TXNDC5', 'VEGFA', 'GDF5', 'KRT18', 'ABCC2', 'FCGR2A', 'PMEL', 'BCL2A1', 'IRF5', 'ATIC', 'KIF5A', 'RUNX2', 'AGER', 'NFKBIL1', 'TLE3', 'ANXA3', 'RASGRP1', 'RCAN1', 'SLC22A4', 'BGN', 'CD2', 'CD244', 'CD5', 'CCN1', 'IFNG', 'IL18', 'IL23A', 'GSDME']"
1.0,37.0,16.0,3386.0,0.02631578947368421,0.058823529411764705,0.03636363636363636,0.03221362053730145,0.0,0.0,0.0,['ADRB2'],"['HUWE1', 'GRB2', 'IL4R', 'HSCB', 'CRMP1', 'EP300', 'SP1', 'TERF1', 'IQCB1', 'RNF4', 'HSP90AA1', 'MAP3K5', 'UBQLN4', 'HIF1A', 'MEOX2', 'REL', 'KAT2A', 'ALB', 'APOE', 'MDM2', 'SQSTM1', 'GOLGA2', 'ATP5F1A', 'YWHAZ', 'TSG101', 'AKT1', 'UBC', 'APOA1', 'HOXA1', 'DLST', 'APC', 'TRIM28', 'PARVG', 'COPS5', 'ISG15', 'CALM1', 'CDK15']","['ARG1', 'CXCL14', 'IL33', 'CCL2', 'MAVS', 'KIF3A', 'EDN1', 'PLAU', 'ZNF835', 'SCGB3A2', 'ADCY2', 'CD14', 'MMP10', 'MMP1', 'HLA-DPB1', 'HLA-G']"
