tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,tp_proteins,fp_proteins,fn_proteins
3.0,38.0,26.0,3373.0,0.07317073170731707,0.10344827586206896,0.0857142857142857,0.07776979845843927,0.13333333333333333,0.1,0.10344827586206896,"['EP300', 'ERBB2', 'CCND1']","['SP1', 'NCOA1', 'BRCA1', 'ARNT', 'PDGFRA', 'LATS2', 'EPHA2', 'SHC1', 'MAP2K1', 'IGF1R', 'CDK6', 'MAPK1', 'MRPS22', 'MSH2', 'CYLC2', 'ERBB3', 'GNL3', 'HSPA9', 'FGR', 'DIRAS3', 'SOX4', 'SOCS1', 'CDKN2B', 'PRSS50', 'CXXC1', 'TNS3', 'ANP32B', 'CDK2', 'XRCC5', 'DNTTIP2', 'POM121C', 'KCNE1', 'SELENOP', 'ATP5F1C', 'BRPF3', 'PTK7', 'RET', 'TRIM24']","['PPARG', 'MET', 'GMPR2', 'DNMT1', 'PTEN', 'GRB7', 'UPF3A', 'CEACAM1', 'NOS3', 'KDR', 'PGAM1', 'KRAS', 'VPS51', 'UBQLN1', 'TYRP1', 'CKB', 'OGG1', 'CXCL8', 'MPP1', 'PAWR', 'RBM15B', 'KRT20', 'TNFRSF10A', 'EXOSC8', 'TNF', 'CYP2A6']"
22.0,132.0,51.0,3235.0,0.14285714285714285,0.3013698630136986,0.19383259911894274,0.18271109664414242,0.4,0.35,0.1643835616438356,"['GRIN2A', 'GHSR', 'FYN', 'ALDH1A1', 'HTT', 'SYNGR2', 'EGFR', 'GAPDH', 'DNAJC5', 'PTK2B', 'COPS5', 'CHRNA4', 'PSMD2', 'NUPR1', 'CDH15', 'COL12A1', 'PDE4D', 'PPIC', 'CGA', 'FKBP5', 'KIAA0040', 'AKR1A1']","['PARK7', 'DDX20', 'ZNF302', 'HSPA1A', 'AKT1', 'UBQLN1', 'MAP4K1', 'KPNB1', 'SET', 'SHB', 'SELENOP', 'PELO', 'TUBB', 'VAV1', 'KAT5', 'PNP', 'PABPC1', 'CGB8', 'APEX1', 'CALM1', 'CALM2', 'KLF12', 'CSF2', 'RPL26', 'PLB1', 'NOD1', 'PAX6', 'APLP2', 'MRPS22', 'ABL2', 'SDHB', 'HTR6', 'MRPL49', 'ZSCAN9', 'HSPA5', 'ARL1', 'SLFN12L', 'SLC4A3', 'SSTR3', 'S100A4', 'SCARB1', 'H2AP', 'KLK3', 'ABCA7', 'EVA1A', 'hCG_1820408', 'PRKCE', 'LCK', 'SOS1', 'DNAJC21', 'ACOT13', 'CENPV', 'SMAD4', 'CASP1', 'AP2A1', 'G3BP1', 'SLC35F1', 'EXTL3', 'APBB3', 'POMT1', 'SEPTIN4', 'PLCB4', 'UTP6', 'RPN1', 'APOBEC3B', 'SMAD3', 'SAMD4A', 'ZMYM3', 'BAG6', 'RPS19', 'LPIN1', 'C16orf87', 'FBXO3', 'SAMD3', 'LDHAL6B', 'NPAS2', 'FXR1', 'UBE2I', 'PRPS1L1', 'AGTR2', 'NXF5', 'SSR4', 'RNPS1', 'SATB1', 'BCR', 'SRSF3', 'TTR', 'TENM1', 'SNX12', 'SPOUT1', 'ALG9', 'VHL', 'SSR1', 'RORA', 'ZEB1', 'ZMAT3', 'CDK7', 'ENO1', 'MOV10', 'PPP2R1B', 'MED21', 'SDHAF4', 'LRRC8D', 'DIPK1B', 'TAMALIN', 'KIAA0825', 'HNRNPUL2', 'MEF2D', 'RANBP1', 'METTL7A', 'RBMXL1', 'CDCA2', 'TMPPE', 'LRRK1', 'SMAP', 'STX16', 'ACP1', 'BRD2', 'AP2S1', 'COPB1', 'STAT3', 'BCLAF1', 'OGFR', 'TIGD1', 'GLO1', 'TMEM236', 'TPD52L2', 'NOP16', 'RPL4', 'RPL13', 'ANXA2', 'TUBB1']","['SLC29A1', 'CNR2', 'CEACAM1', 'APOA1', 'EPS15', 'SLC6A3', 'PPP1R8', 'SLC46A1', 'GABRA5', 'YWHAG', 'IPO11', 'CYP2E1', 'GRM8', 'ANKRD7', 'CHRNB4', 'TRH', 'IL6R', 'SGTB', 'GPHN', 'ADCY5', 'AKR1C4', 'GRM7', 'FABP2', 'CTNNA3', 'PANK2', 'NRDC', 'AK2', 'MBP', 'FOLR1', 'CHRNA3', 'GRM1', 'ERBB3', 'TNIP1', 'BRCC3', 'ADRA2A', 'ACTG1', 'PPP1CC', 'CHRM2', 'ADH6', 'IL10', 'CSNK2A2', 'TBX19', 'MRPL9', 'MMP9', 'ZCCHC14', 'SMURF1', 'FIBP', 'GRM2', 'CDK20', 'ECHS1', 'CYP2A13']"
9.0,48.0,19.0,3364.0,0.15789473684210525,0.32142857142857145,0.21176470588235294,0.2163432062495483,0.2,0.2,0.21428571428571427,"['PPARGC1A', 'INSR', 'BAX', 'MAP3K5', 'PRKCD', 'CHP2', 'MMP2', 'IL6R', 'AGT']","['SNCA', 'TP73', 'CREBBP', 'EEF1B2', 'CDCA7', 'PLEKHG2', 'HSP90B1', 'MTOR', 'NCOA1', 'HIPK2', 'SOCS3', 'PSAP', 'JAK2', 'CILK1', 'NPC1', 'COPB1', 'TBP', 'PFKFB4', 'HSPA2', 'NDN', 'MRTFA', 'CSNK1D', 'STAT3', 'PDGFRA', 'PLEKHM3', 'SERAC1', 'MBOAT7', 'CEBPB', 'REEP4', 'CEP55', 'CARM1', 'ARNT', 'NR1H3', 'SRGAP2', 'DENND4A', 'TIMP3', 'BCL2L11', 'RITA1', 'ARL16', 'SGSM1', 'MCL1', 'RNF112', 'LACTB', 'PSEN1', 'CD177', 'ANTKMT', 'RIPK4', 'MAP3K7']","['YWHAQ', 'BACE1', 'PTGS2', 'IL17RC', 'FGF21', 'MMP9', 'PRKCE', 'SLC39A8', 'SLC2A4', 'GCK', 'MYOC', 'PCK1', 'PDX1', 'NQO1', 'S1PR5', 'NOS2', 'GPX1', 'SERPINE1', 'ADRA1A']"
6.0,44.0,20.0,3370.0,0.12,0.23076923076923078,0.15789473684210525,0.15767149521547266,0.26666666666666666,0.25,0.23076923076923078,"['PSEN1', 'DHCR24', 'CHRNA4', 'PHGDH', 'BACE1', 'INS']","['RNF32', 'EIF2S2', 'ZNF366', 'BAK1', 'ATIC', 'AP2B1', 'FBXL12', 'GGA1', 'LYNX1', 'BAD', 'EXOC6', 'MARK4', 'XIAP', 'GAP43', 'CTNND1', 'IFIT5', 'CLCF1', 'CD81', 'RNF112', 'SNCA', 'FLNB', 'UMPS', 'STAMBPL1', 'MTMR14', 'AP1M2', 'CELF2', 'PTGES3', 'CD244', 'SERPINA5', 'MGST3', 'SAMD3', 'KLRF1', 'LOXL1', 'PHB', 'PSMA2', 'P3H3', 'ITM2B', 'RCC1', 'S100B', 'STAT5A', 'CDKN1A', 'CKAP5', 'RAB10', 'PDAP1']","['ATP5F1A', 'RIN3', 'IGF1', 'VEGFA', 'TMEM17', 'IGF1R', 'CYP46A1', 'BEX2', 'SPRED1', 'CHRNB2', 'TNF', 'HLA-DRB5', 'ESR1', 'MTHFR', 'TPP1', 'SMG7', 'CD2AP', 'NECTIN2', 'VAPB', 'UBE2Q2']"
1.0,6.0,15.0,3418.0,0.14285714285714285,0.0625,0.08695652173913043,0.09172136864929376,0.26666666666666666,0.2,0.25,['WDR61'],"['ELAVL1', 'RNF112', 'ANXA2', 'CHEK1', 'ENKUR', 'HNRNPDL']","['VCP', 'TP53', 'HNRNPA2B1', 'SQSTM1', 'SOD1', 'ANXA11', 'RB1', 'PFN1', 'GSR', 'COPA', 'DRD2', 'NEFH', 'PPARGC1A', 'PON2', 'GLE1']"
11.0,62.0,35.0,3332.0,0.1506849315068493,0.2391304347826087,0.18487394957983191,0.17602511001854101,0.26666666666666666,0.25,0.1956521739130435,"['SYK', 'STAT1', 'A2M', 'CXCL8', 'HDAC2', 'PLB1', 'OPTN', 'BMP2', 'IL2', 'BTRC', 'APP']","['PIK3R1', 'COPB1', 'CYLD', 'JAK2', 'CXCL11', 'SLC2A1', 'ATP5F1A', 'NEO1', 'TPX2', 'FOXA3', 'IL1R1', 'KDR', 'CCL5', 'CCDC47', 'CCR7', 'LYN', 'MPI', 'THADA', 'NEIL2', 'RAB14', 'DEPTOR', 'RADIL', 'L2HGDH', 'EPS8L1', 'FLNC', 'NOXA1', 'KEAP1', 'ZAP70', 'THEM6', 'RNF213', 'MLXIPL', 'IPMK', 'ITIH3', 'GALNT3', 'PRMT1', 'CCND1', 'SQOR', 'MTHFD2', 'TMED10', 'GAPDH', 'YAP1', 'LGALS4', 'ODF3L2', 'KDM5A', 'PROS1', 'MAP3K5', 'ZNF564', 'CLPTM1', 'MYEOV', 'PTPN6', 'ATP5PD', 'SIRPA', 'NFKB2', 'POLD1', 'MAVS', 'TNFRSF6B', 'LRRN4', 'NT5DC3', 'CCL26', 'GCDH', 'DCAF16', 'AP4S1']","['LY96', 'DDIT4', 'SLC25A12', 'IL2RB', 'CCL21', 'MMP10', 'TAGAP', 'MMEL1', 'TNF', 'CCKBR', 'AKAP8', 'AGER', 'BMP6', 'CLEC12A', 'HNRNPC', 'TYK2', 'FCGR2A', 'ANKRD55', 'CD40', 'KIF5A', 'CDK6', 'FPGS', 'HSCB', 'HOXD10', 'PPM1B', 'ABCB1', 'GPRC5A', 'F2', 'PTPRC', 'NDUFA4L2', 'MLH1', 'HLA-DRB1', 'RUNX2', 'IGFBP3', 'CD83']"
4.0,29.0,12.0,3395.0,0.12121212121212122,0.25,0.163265306122449,0.16859922972963287,0.26666666666666666,0.2,0.25,"['NR1H4', 'GRB2', 'ESR1', 'CFH']","['EP300', 'IGF1R', 'RBBP6', 'CTNNB1', 'AR', 'PRDX1', 'PDGFRA', 'KLF5', 'PDGFRB', 'S100A8', 'NRIP1', 'RUVBL2', 'CAST', 'ARHGEF11', 'STMN1', 'IRS2', 'SLC24A1', 'NCOR1', 'NR5A1', 'DIAPH1', 'PRDM2', 'TP53', 'VDR', 'ST13', 'EZR', 'MYRIP', 'PRR12', 'SRC', 'CNOT1']","['PRDX4', 'NOS2', 'UGP2', 'ALOX5', 'SERPINE1', 'GSTM3', 'LDLR', 'ALOX15', 'PARP1', 'CCL2', 'AGER', 'IFNG']"
5.0,73.0,40.0,3322.0,0.0641025641025641,0.1111111111111111,0.08130081300813008,0.06839606967282812,0.0,0.0,0.06666666666666667,"['H1-2', 'WNT3', 'WDR1', 'SOX5', 'NCOA2']","['DMPK', 'TCAP', 'PDGFRA', 'SYNM', 'YWHAZ', 'RAF1', 'TGFB1I1', 'MAST3', 'SRSF2', 'SLITRK3', 'PPFIBP2', 'ZEB1', 'PIAS3', 'MYOM2', 'PDGFRB', 'HSP90B1', 'PPARGC1A', 'AP2B1', 'MYBPC3', 'ARRB1', 'PAK4', 'LAT2', 'C7orf50', 'PPP1R18', 'TNK1', 'GTF3C5', 'LPIN3', 'CHRNA4', 'TP53', 'UBE2I', 'VIM', 'UTP11', 'BAIAP2', 'MYCBP2', 'PTPN1', 'CCDC62', 'TBX22', 'PSMD2', 'TAF5L', 'CLASP2', 'PACS2', 'ARRB2', 'JOSD1', 'KIF7', 'PSMC6', 'CAPN6', 'CAMTA2', 'EIF3D', 'NTRK1', 'SNRNP25', 'CCDC17', 'AMY2A', 'IGL', 'AKT1', 'MRTFA', 'CDPF1', 'PSMC2', 'CSK', 'EGFL6', 'RAPGEF1', 'SSH1', 'TBC1D1', 'HSP90AB1', 'IL18RAP', 'HUNK', 'TRIP11', 'ADRA1D', 'KDM6A', 'CBY1', 'TIGD6', 'WDR5', 'LMX1B', 'UTRN']","['EDN1', 'REEP3', 'CDKN1A', 'ERBB4', 'NR3C1', 'ARMH3', 'SGCA', 'SLC27A6', 'CASQ2', 'DGKB', 'PLEC', 'SMAD7', 'DNAH10', 'RBM20', 'CGA', 'LRRC10', 'GEMIN4', 'CREB5', 'CKAP4', 'IRF2BPL', 'SYNPO2L', 'CASZ1', 'KIF3C', 'FBRSL1', 'MFF', 'SLC35F1', 'CAPN10', 'AKAP6', 'FAM153B', 'DES', 'MKI67', 'BIRC2', 'USP34', 'TH', 'COL1A2', 'MEMO1', 'PSMD5', 'SORL1', 'LHX3', 'CYP2C19']"
25.0,304.0,44.0,3067.0,0.07598784194528875,0.36231884057971014,0.12562814070351758,0.12973136059866866,0.26666666666666666,0.2,0.10144927536231885,"['SHC1', 'CAD', 'CRK', 'SHANK3', 'IL2RB', 'GABBR1', 'HLA-A', 'DAO', 'GSTP1', 'RNF8', 'NRCAM', 'GRIA2', 'MYC', 'DNAJC5', 'NTF3', 'SLC6A4', 'NRXN1', 'CACNA1C', 'PTEN', 'DRD3', 'GRIK2', 'RBM4', 'DIXDC1', 'DLX1', 'HTR5A']","['RIMS3', 'FHOD1', 'DLG3', 'DLGAP3', 'HLA-DRB3', 'CTNNB1', 'HID1', 'BRD4', 'RASAL2', 'STIM1', 'SCAF1', 'STAC', 'CLU', 'IGF2BP3', 'CSF2RB', 'YWHAZ', 'KRAS', 'FOSL2', 'CCAR2', 'HS2ST1', 'ADGRB2', 'PSMD4', 'JAK1', 'ACTBL2', 'POLR2A', 'ITGA6', 'UBQLN4', 'RANBP9', 'GCM2', 'SLC39A10', 'GCDH', 'LGALS1', 'GNB1', 'AKT1', 'P4HA3', 'PARP1', 'ACOT7', 'GRIP2', 'BCR/ABL fusion', 'G3BP1', 'MAPK14', 'NBL1', 'SLC25A31', 'AGAP7P', 'NPAS3', 'CSNK2A1', 'YWHAB', 'RAF1', 'OSTF1', 'WT1', 'SLC25A3', 'KDM1A', 'GUSBP1', 'ELMO2', 'AKAP6', 'VIPR1', 'VRK1', 'NR1D1', 'MTA1', 'NFS1', 'MAPK9', 'TBP', 'ECSCR', 'IQCH', 'ZNF365', 'CBX1', 'TNIP2', 'RNF38', 'MAPKAPK2', 'ZBTB7A', 'LILRB2', 'CTCF', 'CTNND1', 'PNO1', 'JUN', 'DNM2', 'AP2M1', 'RPP40', 'TIAL1', 'RPL12', 'RPL27', 'PKP4', 'BECN1', 'KDM2B', 'NUAK2', 'GMPS', 'SHC3', 'EIF3A', 'RFC3', 'RSPO3', 'TANGO6', 'SLC37A1', 'SLC1A4', 'CGB8', 'NOMO2', 'IGSF1', 'PML', 'SCMH1', 'LRRC8A', 'HDHD2', 'SOS2', 'ESYT2', 'AP1S1', 'HNRNPR', 'UBE2K', 'MAGEA2B', 'HMBOX1', 'COL18A1', 'YAF2', 'BRD8', 'SERPINA12', 'H2AC21', 'CCND2', 'ADAM10', 'BAK1', 'IDI1', 'RGS5', 'KCTD18', 'XRCC6', 'AAMP', 'MSI2', 'NOP16', 'LARP4', 'PIAS2', 'DCTN2', 'MBD2', 'PTPN1', 'MCM4', 'RASA1', 'CYP21A2', 'MANF', 'PGAM1', 'STXBP1', 'PRPF6', 'BUB1', 'LDHB', 'MORF4L2', 'AP4S1', 'STT3A', 'AIPL1', 'CCDC43', 'STK32C', 'COL4A6', 'MYL7', 'CRNKL1', 'SLC3A2', 'MYH11', 'PRKCA', 'TOP1', 'MAPK7', 'TMEM161A', 'ZNF687', 'GRK6', 'TYK2', 'GAB1', 'HELLS', 'UNC93B1', 'SPAG5', 'HCK', 'PNKP', 'PDCD5', 'VKORC1L1', 'KIF15', 'C7orf50', 'TXNDC12', 'PPP1CC', 'TGFB1', 'CABLES1', 'ABCC2', 'EVA1B', 'KCNE4', 'APH1B', 'H2BC17', 'RPS27', 'UBTF', 'DHFR2', 'UBA1', 'RNF183', 'MCM3', 'HNRNPAB', 'ABI2', 'PHLDB2', 'PPP1R9B', 'FITM2', 'AMBRA1', 'GNAI1', 'TUFM', 'RARA', 'HNRNPD', 'OSBP2', 'ARSB', 'PRAG1', 'PDE4C', 'TRIM4', 'AGRP', 'PDE6H', 'ERBB3', 'PTK7', 'PPP3CA', 'GTF2F2', 'PIK3CA', 'ZNF622', 'CGGBP1', 'MUC1', 'ACTL6A', 'KRTAP12-4', 'SLC25A6', 'ETV6', 'TXNDC16', 'VAMP8', 'PARP11', 'USP10', 'UNC13B', 'HACE1', 'NQO2', 'NECTIN1', 'EHBP1', 'GTPBP4', 'BTRC', 'LAMA4', 'PFKL', 'PHACTR4', 'MRS2', 'HGF', 'HK1', 'RNF41', 'PSMD3', 'PSEN2', 'KLF15', 'UBL4A', 'BHLHE40', 'ATF4', 'IGF2R', 'STOML2', 'SEC31A', 'TXN', 'DMKN', 'IP6K2', 'INHBE', 'TUT4', 'COL4A1', 'PANX2', 'GPM6B', 'TMEM59L', 'OTUD1', 'CCNH', 'PNKD', 'FBXW8', 'MDN1', 'KDELR1', 'WDR6', 'MORF4L1', 'ATP6AP2', 'CHUK', 'EPRS1', 'CRY1', 'SFTPB', 'PGGHG', 'DYNLT5', 'PCDHGC5', 'OLFML2A', 'CSRNP3', 'FBXO39', 'NBPF12', 'PP2D1', 'PRXL2C', 'CRTAM', 'CMTM1', 'TMEM138', 'SLC17A7', 'GIMAP4', 'DDO', 'zf30', 'AEBP1', 'ATP8A2', 'ATP8B4', 'ZNF665', 'FOXRED2', 'VEZT', 'FNDC3A', 'ZNF483', 'C12orf74', 'PBK', 'MRM3', 'PNMA2', 'LDOC1', 'CEP57L1', 'CCND1', 'BNIPL', 'TFAP2B', 'RAD51AP1', 'TBL2', 'NPC1', 'SUCLG1', 'CSNK1A1L', 'C17orf97', 'GPRASP2', 'GRAMD1A', 'OPA1', 'NELFCD', 'AP3D1', 'NACA', 'RRP8', 'NUDT21']","['IL4R', 'IGFBP3', 'GTF2F1', 'TBXA2R', 'BDNF', 'PITX1', 'BCL2', 'DOCK4', 'SNRPN', 'MEOX2', 'DPYD', 'ALG1', 'MARK1', 'XDH', 'IL4', 'GABRA2', 'ACE', 'POMC', 'TAF1C', 'VWA8', 'IKBKB', 'MAPK3', 'CDH10', 'AQP4', 'ROBO4', 'FBXO40', 'PRKCB', 'ZFP36', 'PLAUR', 'ACADSB', 'DHFR', 'KIF1A', 'NBPF19', 'NBEA', 'CADPS2', 'KDM5B', 'SNTG2', 'JAKMIP1', 'NRP2', 'COMT', 'CSDE1', 'ITGA4', 'BCL7B', 'KDM5C']"
1.0,23.0,32.0,3384.0,0.041666666666666664,0.030303030303030304,0.03508771929824561,0.027581024381095682,0.06666666666666667,0.05,0.06060606060606061,['EGFR'],"['CDK1', 'CDK4', 'SMARCB1', 'FZR1', 'ASH2L', 'STUB1', 'FGFR4', 'NSD3', 'HEMGN', 'MET', 'PAGR1', 'HDAC1', 'SOX3', 'PIK3CA', 'CTNND1', 'MAPKAPK3', 'TEAD2', 'PRKDC', 'WT1', 'YWHAZ', 'ENO1', 'MAPK3', 'ABL2']","['TFAP2A', 'IFNAR1', 'COL12A1', 'TRPV1', 'CDH1', 'CYP3A4', 'MDM4', 'TBL1XR1', 'CALHM1', 'UGT2B7', 'TNKS1BP1', 'GABARAP', 'FBXW8', 'FAS', 'ADRA1A', 'ZMYND12', 'SLC19A1', 'LOXL1', 'HMGN5', 'NRSN1', 'PRSS3', 'PSMB2', 'MPO', 'GPX1', 'MMP9', 'LRP1', 'ESPL1', 'AQP3', 'EIF2S1', 'MT2A', 'CYP4B1', 'NCAN']"
