tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,tp_proteins,fp_proteins,fn_proteins
0.0,6.0,22.0,3412.0,0.0,0.0,0.0,-0.0033535191524002037,0.06666666666666667,0.05,0.09090909090909091,[],"['DIP2A', 'TGM2', 'MMRN1', 'CARTPT', 'ABCB9', 'EIF2A']","['TIMP3', 'COL1A1', 'PRLR', 'TGFBR1', 'JAK2', 'ECM1', 'TFRC', 'ARNT', 'MAPRE3', 'GLS', 'IL24', 'FST', 'RBP4', 'CD164', 'FETUB', 'LIF', 'IL11', 'CD163', 'IFNA10', 'MMP11', 'CRISP3', 'SST']"
0.0,8.0,22.0,3410.0,0.0,0.0,0.0,-0.003873438501973371,0.13333333333333333,0.1,0.09090909090909091,[],"['MMP2', 'CEACAM7', 'FKBP9', 'NPTN', 'NCOA7', 'UBQLN2', 'NPPA', 'LNX2']","['LGALS3', 'TIMP3', 'COL1A1', 'TNR', 'TGFB1', 'IL20RA', 'TFRC', 'PAEP', 'CHIA', 'KLK10', 'DHFR', 'LIF', 'COL4A6', 'IL6', 'ALPG', 'ITGB6', 'PTGIS', 'HABP2', 'CSF3', 'IFI6', 'HSD17B1', 'MMP15']"
3.0,37.0,21.0,3379.0,0.075,0.125,0.09374999999999999,0.08864246869981657,0.13333333333333333,0.1,0.125,"['TP53', 'PTPN11', 'STAT3']","['BRCA1', 'SRC', 'SHC1', 'PIK3R2', 'FGFR4', 'RBBP5', 'NCOA2', 'AURKA', 'ARAF', 'JUP', 'SOCS1', 'GLIS2', 'JUN', 'IKBKB', 'ATAD2', 'RET', 'FRAT2', 'SQSTM1', 'DDX50', 'HGF', 'UHRF2', 'HIC1', 'FZR1', 'GRB2', 'TOP1', 'SET', 'MUC1', 'SOX4', 'ACP1', 'HEMGN', 'TPI1', 'AKAP13', 'SH2D2A', 'BLK', 'SYK', 'PRSS50', 'NCOR1']","['ABL1', 'ENO1', 'KRAS', 'EEF2', 'NFKB1', 'VEGFA', 'ARID1A', 'NPPA', 'SPP1', 'HK2', 'HLA-DPA1', 'MPP1', 'TNF', 'MMP14', 'GKN1', 'PAWR', 'KCNQ1', 'PLCE1', 'CYP19A1', 'CYP7B1', 'MUC2']"
0.0,14.0,12.0,3414.0,0.0,0.0,0.0,-0.003782165727643561,0.0,0.0,0.0,[],"['PRKN', 'CFTR', 'ATF2', 'LIG4', 'CUL1', 'VCAM1', 'DLST', 'DBN1', 'IQGAP1', 'CDK2', 'MIS12', 'CAMKMT', 'SCGB3A1', 'ACTA1']","['PARK7', 'FGB', 'COL1A2', 'RBM5', 'ERRFI1', 'GSN', 'GORAB', 'PGLS', 'IDH2', 'GPD2', 'OXCT1', 'RSU1']"
11.0,91.0,42.0,3296.0,0.10784313725490197,0.20754716981132076,0.14193548387096774,0.1311933214095195,0.26666666666666666,0.25,0.11320754716981132,"['GABBR1', 'GRIN2B', 'GABRA1', 'GABRB3', 'LCK', 'ADH1B', 'EGF', 'GRIN1', 'XRCC5', 'IPO11', 'CAMK2A']","['NTRK2', 'SLC4A3', 'PRUNE2', 'ZMIZ1', 'TNS4', 'CD2', 'GNAI1', 'DNAJC5', 'SLC9A9', 'ATP2B4', 'VAV3', 'ADRB2', 'H3C13', 'COL14A1', 'PIAS2', 'VPS13A', 'CCND1', 'ZHX1', 'MAPK1', 'DNAJC18', 'PARP1', 'SREBF2', 'CCKBR', 'RAPGEF1', 'EEF2', 'NEUROD1', 'UBQLN1', 'VAV1', 'ADAM15', 'YY1', 'CRK', 'STRAP', 'PRDX1', 'NOS1AP', 'PPP1R13L', 'SIRT1', 'AKR1C2', 'AGER', 'PCNA', 'NFYA', 'CSNK2B', 'TERF2IP', 'UTP6', 'SH2D3A', 'FLT3', 'CRELD1', 'EXOC5', 'IPO8', 'VLDLR', 'SOCS3', 'PGR', 'HSPA4', 'IGF2BP1', 'TNRC6C', 'ARMC1', 'PLD2', 'GRB10', 'PTPRZ1', 'SLA2', 'SHC4', 'TYRO3', 'TMPPE', 'CDH1', 'PRKCD', 'TNS3', 'SOCS1', 'PDZD8', 'NFATC1', 'ASB13', 'PKM', 'HPS6', 'GLRB', 'ARID1A', 'DHX9', 'UCN', 'OR1D2', 'ALKAL2', 'PRSS53', 'SSTR5', 'RAD50', 'COL5A1', 'ANKS1B', 'DLX4', 'PIK3CB', 'ENO1', 'AGO3', 'FBXL5', 'RYBP', 'ASH2L', 'TNS1', 'DGKZ']","['GATA4', 'CHRNB3', 'SLC6A1', 'CREB1', 'BRCA1', 'CHRNA5', 'BAG3', 'CHRM2', 'TESK2', 'THEMIS', 'HDAC2', 'AKR1C3', 'CCK', 'CYP2E1', 'KCNJ6', 'SPG21', 'OSBPL10', 'FHL3', 'GAP43', 'NMUR2', 'GRM2', 'GRM1', 'TKT', 'CDK20', 'CAT', 'PHF3', 'ALK', 'OPRK1', 'NRXN3', 'GRM3', 'ZNF699', 'SLCO3A1', 'IL6', 'PDE4B', 'MOG', 'LEP', 'ADCY7', 'CDH15', 'DSCAML1', 'FABP2', 'NPY5R', 'LILRA1']"
3.0,14.0,20.0,3403.0,0.17647058823529413,0.13043478260869565,0.15,0.14682201937876221,0.2,0.15,0.13043478260869565,"['SIRT1', 'BCL2', 'IRS2']","['PAK4', 'BCL2L12', 'YWHAE', 'CTNNB1', 'DAXX', 'TP73', 'ACTB', 'CEBPB', 'MDH1', 'SP1', 'COL12A1', 'HTRA2', 'YWHAB', 'STUB1']","['FOXO3', 'OTUB1', 'LEP', 'TIMP2', 'AOC3', 'CPT1A', 'VEGFA', 'S100A6', 'SOD2', 'ID1', 'CYP1A1', 'AIFM1', 'CASP3', 'ATP2A3', 'LDB2', 'KCNJ11', 'CHRM2', 'GCK', 'SLC2A4', 'PCSK2']"
2.0,14.0,17.0,3407.0,0.125,0.10526315789473684,0.11428571428571428,0.11020000079086234,0.13333333333333333,0.1,0.10526315789473684,"['NOS3', 'DHCR24']","['PSENEN', 'FARSA', 'MAST1', 'MGARP', 'MBP', 'PIK3R1', 'MICAL2', 'WDR61', 'IQSEC1', 'GCG', 'DIAPH3', 'GAP43', 'FLOT2', 'IFIT5']","['PTAFR', 'CASP3', 'PPARG', 'VEGFA', 'SOD2', 'SLC30A4', 'EIF2S1', 'BIN1', 'WWOX', 'TFAM', 'NECTIN2', 'MS4A4A', 'APOC1', 'SLC30A6', 'ABCA7', 'NPY', 'IQCK']"
1.0,5.0,11.0,3423.0,0.16666666666666666,0.08333333333333333,0.1111111111111111,0.11568719272458214,0.06666666666666667,0.05,0.08333333333333333,['HNRNPA1'],"['TP53BP1', 'PRKN', 'OTUB1', 'RNF183', 'HNRNPH2']","['SQSTM1', 'UBQLN2', 'PON1', 'TBK1', 'TP53', 'CFAP410', 'NEK1', 'GFAP', 'ERBB4', 'DAO', 'TREM2']"
0.0,14.0,37.0,3389.0,0.0,0.0,0.0,-0.0066656150065146505,0.06666666666666667,0.05,0.05405405405405406,[],"['LCK', 'IL1R1', 'RELA', 'SRC', 'BID', 'EDF1', 'HSP90AB1', 'PDGFRA', 'SIX3', 'TNFRSF6B', 'NCOR2', 'TIFA', 'CXCL11', 'JAK2']","['TNFAIP3', 'CXCL6', 'IKZF3', 'MPO', 'NCF1', 'PTPN22', 'FASLG', 'HLA-DRB1', 'HOXD13', 'RBPJ', 'TNFRSF14', 'IGFBP3', 'KRT18', 'TLE3', 'SOD2', 'CD244', 'GART', 'CAT', 'MIF', 'AGER', 'PRKCQ', 'MTHFR', 'ARID5B', 'BCL2A1', 'HOXD10', 'PXK', 'IL2RB', 'PLEK', 'FPGS', 'ABCG2', 'CSF2', 'IL1B', 'IL23A', 'CP', 'BMP6', 'B3GNT9', 'MMEL1']"
1.0,17.0,16.0,3406.0,0.05555555555555555,0.058823529411764705,0.05714285714285714,0.05234736513973924,0.06666666666666667,0.05,0.058823529411764705,['IL6R'],"['PF4', 'CCL13', 'CXCL11', 'CCL17', 'VEGFB', 'TLX1', 'CXCL1', 'BAZ2A', 'TTF2', 'TNFRSF1B', 'EXOSC1', 'MAGI3', 'PRDX1', 'NAT1', 'PADI3', 'TPD52', 'FGG']","['PDE4B', 'IL1RL1', 'HLA-DQA1', 'GSTP1', 'ALOX5', 'PTEN', 'ALDH2', 'ORMDL3', 'VEGFA', 'NPSR1', 'CHTF18', 'MMP10', 'NOS2', 'CDHR3', 'NPY', 'IFNL3']"
