tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,tp_proteins,fp_proteins,fn_proteins
25.0,4.0,4.0,3407.0,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.8608962888828233,0.8,0.85,0.8620689655172413,"['PCNA', 'HSPA8', 'STK11', 'CLU', 'NCOA3', 'NFKB1', 'TPM3', 'ALOX5', 'GRB7', 'PGR', 'ID3', 'MMP14', 'SOD2', 'PRKD1', 'GPX3', 'GAST', 'RARB', 'ACE', 'RUNX3', 'OGG1', 'PRL', 'DDR1', 'CYP19A1', 'CYP7B1', 'MUC2']","['HADHA', 'C7orf25', 'RPS28', 'RLIM']","['ATP2B2', 'CDC16', 'ANAPC5', 'CLNK']"
66.0,24.0,4.0,3346.0,0.7333333333333333,0.9428571428571428,0.8250000000000001,0.8277008658947441,0.8666666666666667,0.75,0.7142857142857143,"['COPS5', 'EGFR', 'SNCA', 'TERF2IP', 'CFTR', 'SLC22A9', 'GABRG2', 'ICAM1', 'HGS', 'CSNK2A2', 'PSMD2', 'A2M', 'RACK1', 'HSPA9', 'SPG21', 'GABRB3', 'GAPDH', 'GABRA1', 'GABRB2', 'CHRNA3', 'EPS15', 'PDZD3', 'TACR1', 'GEMIN4', 'HLA-DRA', 'NTSR1', 'GHSR', 'KPNA3', 'GRIN1', 'IL6R', 'DRD4', 'TKT', 'MTHFR', 'OPRL1', 'AKR1C4', 'CHRM2', 'IL17A', 'CARTPT', 'GGT1', 'RIOK3', 'ITM2A', 'FTO', 'NRDC', 'SLCO3A1', 'CDH13', 'CYP2B6', 'PPIC', 'NR4A2', 'NRXN3', 'REN', 'RGS4', 'PHLDA2', 'GGH', 'ANKK1', 'PHF3', 'TAGLN3', 'CRHBP', 'TFAP2B', 'CHRNB3', 'EPHA8', 'CDH10', 'TPH1', 'ADH5', 'CDH11', 'HNMT', 'SLC46A1']","['HSP90AB1', 'STX1A', 'FN1', 'SNW1', 'SLC9A3R2', 'ERBB2', 'KRTAP10-8', 'KAT5', 'WDR5', 'YWHAQ', 'GOLGA2', 'ARRB2', 'CEP152', 'HSF2BP', 'PRKN', 'AKT1', 'TCTN3', 'SOD1', 'KRT40', 'SRC', 'VHL', 'TRIM63', 'FXR1', 'SMAD3']","['PPP1CC', 'MRPL9', 'PLEKHA1', 'RABEPK']"
26.0,3.0,4.0,3407.0,0.896551724137931,0.8666666666666667,0.8813559322033899,0.8804586594501993,1.0,0.95,0.9,"['NR3C2', 'SGTB', 'SLC9A1', 'CCL5', 'PRKCA', 'ATF3', 'MYOC', 'PCK2', 'IL6R', 'BCL2', 'PDK2', 'MAP3K5', 'NOS3', 'SOD2', 'UCP2', 'PFKM', 'PDK4', 'CCL20', 'LEP', 'REN', 'ACE', 'SLC2A2', 'CD68', 'S1PR4', 'NOS2', 'NQO1']","['ZMYM4', 'LRRC45', 'MYC']","['ADRB3', 'FANCL', 'CYB5B', 'HEY1']"
23.0,4.0,2.0,3411.0,0.8518518518518519,0.92,0.8846153846153846,0.884402339571717,0.9333333333333333,0.9,0.84,"['RPL10A', 'GSK3B', 'VLDLR', 'PYY', 'TNF', 'C5AR2', 'SOD2', 'CHRNB2', 'ATP5F1A', 'AMFR', 'BACE1', 'TF', 'C9', 'MS4A4A', 'RADIL', 'CASS4', 'INPP5D', 'SLC2A4', 'PRDM2', 'CRH', 'ABCA7', 'ACHE', 'IQCK']","['ZNF688', 'IPO5', 'GRB2', 'SRI']","['BEX2', 'CDK11A']"
15.0,0.0,1.0,3424.0,1.0,0.9375,0.967741935483871,0.9681044764756864,1.0,0.75,0.9375,"['HTR3A', 'OPTN', 'PRPH', 'TAF15', 'ATXN2', 'SETX', 'ANG', 'DBR1', 'PTGS2', 'CCNF', 'NEFH', 'MOBP', 'CAMK1G', 'GSR', 'ARHGEF28']",[],['NOTCH2NLA']
47.0,12.0,3.0,3378.0,0.7966101694915254,0.94,0.8623853211009174,0.863228109181414,0.9333333333333333,0.9,0.86,"['APP', 'HSCB', 'CDC5L', 'EP300', 'QSOX1', 'REL', 'OPTN', 'TRAF1', 'TRAF6', 'CCL21', 'PPM1B', 'HSPB2', 'CCL8', 'CDK6', 'CXCL6', 'IL2RA', 'LCN2', 'PTGS2', 'CXCL8', 'CRP', 'NR4A3', 'NCF1', 'IL6R', 'GDF5', 'FOXP3', 'BMP4', 'IRAK1', 'PLB1', 'ADAMTS2', 'CTLA4', 'MTHFR', 'HLA-DRB1', 'RAP2A', 'IL18', 'CD28', 'PRDM1', 'PXK', 'MPO', 'STEEP1', 'STS', 'CAT', 'ANKRD55', 'CITED2', 'GGH', 'HOXD10', 'ABCG2', 'ABCC3']","['HSP90AB1', 'RBCK1', 'S100A4', 'HSPB1', 'HSP90AA1', 'C1orf43', 'GOLGA2', 'FOXN2', 'TLE5', 'ERBB2', 'NTAQ1', 'CDC37']","['PRTFDC1', 'AKAP8', 'ATP1B1']"
14.0,1.0,3.0,3422.0,0.9333333333333333,0.8235294117647058,0.8749999999999999,0.8761470777994887,0.9333333333333333,0.7,0.8235294117647058,"['UBQLN1', 'VCAM1', 'CALM1', 'GSTM3', 'ALOX5', 'IL6ST', 'NCF1', 'CRP', 'SLC16A2', 'ADIPOQ', 'PPARG', 'SOCS3', 'APOA4', 'NPC1']",['RPL18A'],"['BCAS2', 'TUBGCP4', 'SH2B1']"
38.0,12.0,4.0,3386.0,0.76,0.9047619047619048,0.8260869565217391,0.8269653663690953,0.7333333333333333,0.75,0.7142857142857143,"['MTUS2', 'HSPB2', 'PLEC', 'UBQLN4', 'CAPN1', 'CALM2', 'CKAP4', 'TTN', 'FZD7', 'SOX10', 'NKX2-5', 'NEBL', 'NOS3', 'GJA5', 'GOSR2', 'CASQ2', 'HERC1', 'UST', 'SCMH1', 'ASAH1', 'ZFHX3', 'DPF3', 'COG5', 'GYPC', 'FBXO32', 'ZNF462', 'PHLDB2', 'WIPF1', 'KCNE2', 'IRF2BPL', 'FGF5', 'SPATS2L', 'MEX3C', 'AKAP6', 'SOX15', 'SSPN', 'RPL3L', 'RBM20']","['CUL3', 'HTT', 'HSP90AB1', 'ESR1', 'PCGF6', 'USP39', 'TRAF2', 'ACSL4', 'SDCBP', 'H1-5', 'SUB1', 'SPRED1']","['CDC37', 'AP1B1', 'COL1A2', 'CAPN10']"
62.0,29.0,7.0,3342.0,0.6813186813186813,0.8985507246376812,0.775,0.7774818366546764,0.6,0.6,0.6956521739130435,"['HSPA5', 'CRK', 'H2AX', 'MUC7', 'DNAJC5', 'AP1M1', 'ACTN2', 'IL5RA', 'PAX6', 'BDNF', 'AVP', 'SEC22C', 'POMC', 'VLDLR', 'PLAUR', 'MYO1D', 'IL2', 'GDPD1', 'GNG2', 'DMD', 'CHRNA4', 'LZTR1', 'HTR3C', 'GOLPH3L', 'GABBR1', 'STATH', 'GABRA1', 'IL5', 'CUL7', 'DLGAP2', 'GJA1', 'HTR2A', 'SHANK1', 'SHANK2', 'IL4', 'IL1RN', 'RELN', 'PRL', 'DRD3', 'SCAMP5', 'PRKCB', 'STK39', 'ADNP', 'MEF2C', 'SNTG2', 'ROBO2', 'JAKMIP1', 'GRIA1', 'NOS2', 'CSDE1', 'NTF4', 'TBR1', 'TPH2', 'IL6', 'ROBO4', 'BTD', 'FARP2', 'JMJD1C', 'FBXO40', 'GPX1', 'GABRA4', 'ASIC2']","['CUL3', 'YWHAG', 'HSP90AB1', 'ATXN1', 'LMNA', 'NPM1', 'MDM2', 'NCK1', 'ABL1', 'GRN', 'UBC', 'SRC', 'KRTAP10-8', 'KIF1B', 'ABLIM1', 'PTPRO', 'CSNK2A1', 'DLD', 'ATRIP', 'VIM', 'KRTAP7-1', 'IKBKG', 'KDM1B', 'UBQLN4', 'DCAF12', 'ABI2', 'GTPBP1', 'USHBP1', 'CSNK2B']","['CNTN4', 'CDH9', 'PGRMC2', 'C8orf33', 'HTR2B', 'DUSP16', 'ALG1']"
29.0,6.0,4.0,3401.0,0.8285714285714286,0.8787878787878788,0.8529411764705883,0.8518503779101485,0.8666666666666667,0.9,0.8484848484848485,"['APP', 'TP53', 'MYC', 'NOTCH1', 'CYP3A4', 'USP7', 'MMP2', 'MMP9', 'ERBB3', 'GSTM1', 'PABPC1', 'TNF', 'SOD2', 'FANCC', 'IFNA2', 'KMT2C', 'MT2A', 'KLF5', 'ENO2', 'IGF1', 'MTHFR', 'ANKFY1', 'ERCC2', 'PRDM2', 'TRPV1', 'GPX1', 'NQO1', 'MT1A', 'MT3']","['HLA-A', 'COPS5', 'RAB31', 'HSP90AB1', 'BRCA1', 'PYCARD']","['ADRA1A', 'CLDN7', 'TCAP', 'EIF2S1']"
