tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,tp_proteins,fp_proteins,fn_proteins
21.0,2.0,1.0,3416.0,0.9130434782608695,0.9545454545454546,0.9333333333333332,0.9331281076737606,0.8666666666666667,0.9,0.9090909090909091,"['IGFBP1', 'APOE', 'JAK2', 'SERPINB4', 'AGTR1', 'IL11', 'EMP1', 'MAPRE3', 'TGFBI', 'CYP1A1', 'PTGIS', 'NCAM1', 'FST', 'CYP24A1', 'TNR', 'CD7', 'IFNA10', 'FETUB', 'INHA', 'HABP2', 'CSRNP3']","['EGFR', 'HSCB']",['PPID']
21.0,7.0,1.0,3411.0,0.75,0.9545454545454546,0.84,0.8450407942288864,0.7333333333333333,0.75,0.7727272727272727,"['LGALS3', 'IGFBP3', 'CEACAM5', 'SPAG5', 'IGF1', 'EMP1', 'ACE2', 'KLK10', 'CXCL10', 'IL20RA', 'CYP1A1', 'PTGIS', 'GLS', 'CHIA', 'NCAM1', 'FST', 'COL4A6', 'IFI35', 'IFNA10', 'COL5A2', 'COL13A1']","['SEC22A', 'RASSF1', 'RPL12', 'SNU13', 'HTT', 'SOX14', 'HNRNPC']",['BAALC']
22.0,2.0,2.0,3414.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9160811865729899,0.8666666666666667,0.9,0.9166666666666666,"['TCF7L2', 'PHB', 'PPARG', 'APOA1', 'NFKB1', 'PIK3CA', 'RASSF1', 'TPM3', 'KDR', 'VEGFA', 'PLAU', 'FGF9', 'PGR', 'SOD2', 'PRKD1', 'RUNX3', 'GAST', 'CXCL8', 'MSLN', 'CA1', 'GHRL', 'CYP7B1']","['CUL3', 'MAPK9']","['HLA-DPA1', 'RUNDC3A']"
9.0,2.0,3.0,3426.0,0.8181818181818182,0.75,0.7826086956521738,0.782625934792171,0.7333333333333333,0.55,0.8333333333333334,"['GSN', 'CCT2', 'VCL', 'COL1A2', 'CLEC11A', 'OXCT1', 'GPC6', 'REN', 'CYP19A1']","['KRTAP5-9', 'SPRYD4']","['CALCR', 'PTH', 'BUB1B']"
48.0,17.0,5.0,3370.0,0.7384615384615385,0.9056603773584906,0.8135593220338984,0.8147113555259963,0.5333333333333333,0.6,0.7358490566037735,"['SNCA', 'CYP2A13', 'AR', 'RACK1', 'COMT', 'GAPDH', 'NFKB1', 'NTSR1', 'CRHR1', 'TF', 'GRIN1', 'CNR2', 'KPNA3', 'GRM2', 'TAC1', 'LRP8', 'CTNNA2', 'CDH8', 'CHRNA4', 'CHRNA5', 'GGT1', 'EPHX1', 'RFC1', 'CDK20', 'THSD7B', 'CDH13', 'NR4A2', 'NAP1L4', 'GPHN', 'DPYSL2', 'NRXN3', 'TACR3', 'GGH', 'SLC18A2', 'SLC6A1', 'TFAP2B', 'NQO2', 'LHB', 'ZNF699', 'SGIP1', 'AKR1A1', 'TAGLN3', 'THEMIS', 'HTR1B', 'CDH10', 'PDE4B', 'ADH5', 'ANKRD7']","['HTT', 'HSCB', 'LMNA', 'CTNNB1', 'MDFI', 'FN1', 'SNW1', 'UBQLN2', 'SLC22A9', 'HNF4A', 'PRAME', 'ARSK', 'ARRB2', 'GOLGA2', 'CRK', 'ICAM1', 'CUL2']","['RPGRIP1L', 'UTP14A', 'ATP5ME', 'THAP3', 'FDXR']"
18.0,1.0,5.0,3416.0,0.9473684210526315,0.782608695652174,0.8571428571428571,0.8602314282880593,0.9333333333333333,0.9,0.782608695652174,"['TP53', 'CAV1', 'SIRT1', 'INSR', 'PKLR', 'CHRM2', 'BDKRB1', 'VEGFA', 'TIMP2', 'S100A6', 'S1PR2', 'S1PR4', 'PRKCE', 'PCSK2', 'ACOT1', 'NQO1', 'IAPP', 'NKX6-1']",['CPLX1'],"['SLC35C2', 'TMEM67', 'SRSF2', 'PIP5K1A', 'KIAA1109']"
18.0,1.0,1.0,3420.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9470761088632133,1.0,0.9,0.9473684210526315,"['ENO1', 'GSK3B', 'APOE', 'WWOX', 'CLU', 'TNF', 'PRNP', 'ADAM10', 'PPARG', 'EPHA1', 'PLCG2', 'ABI3', 'HMOX1', 'F2', 'TREM2', 'SOD2', 'SLC30A6', 'PCDH11X']",['PCTP'],['BLOC1S1']
12.0,2.0,0.0,3426.0,0.8571428571428571,1.0,0.923076923076923,0.9255499844933457,0.8,0.6,0.9166666666666666,"['UBQLN2', 'MATR3', 'EWSR1', 'PON3', 'DAO', 'GFAP', 'NEK1', 'CFAP410', 'TREM2', 'CD40LG', 'CCNF', 'MOBP']","['MYBPC2', 'GOLGA8G']",[]
35.0,11.0,2.0,3392.0,0.7608695652173914,0.9459459459459459,0.8433734939759038,0.8465970093376688,0.5333333333333333,0.65,0.7567567567567568,"['FKBP5', 'NCF1', 'DDX6', 'CXCR4', 'CXCL8', 'MAB21L2', 'FOXP3', 'TLR2', 'GDF5', 'VEGFA', 'IL6', 'ACKR3', 'TXNDC5', 'CTSD', 'CD28', 'GRK6', 'NR4A3', 'NFKBIL1', 'PTPN22', 'NDUFA4L2', 'MTHFR', 'MMP10', 'KIF5A', 'IRF5', 'LHX2', 'STS', 'PRKCQ', 'IRF8', 'CD5', 'GSDME', 'FPGS', 'LY96', 'RASGRP1', 'GIN1', 'ABCC3']","['APP', 'KIF1B', 'HSCB', 'LMNA', 'CFTR', 'HSP90AB1', 'CD2BP2', 'MICAL1', 'LHFPL5', 'PKIG', 'NUMA1']","['KRT18', 'LYZL1']"
17.0,2.0,0.0,3421.0,0.8947368421052632,1.0,0.9444444444444444,0.9456289244541289,0.8666666666666667,0.85,0.8823529411764706,"['SCGB3A2', 'ADRB2', 'ARG1', 'PPP2CA', 'TNIP1', 'IL4', 'IL5', 'KIF3A', 'IL33', 'ALDH2', 'MMP1', 'ORMDL3', 'RNASE3', 'ADCY2', 'PLA2G7', 'ADCYAP1R1', 'TSLP']","['PFDN5', 'S100B']",[]
10.0,0.0,2.0,3428.0,1.0,0.8333333333333334,0.9090909090909091,0.9126047472395481,0.8,0.6,0.9166666666666666,"['ADIPOQ', 'NOS3', 'CCL4', 'CRP', 'VEGFA', 'SOD2', 'PLA2G2A', 'NOS2', 'NR1H4', 'CYP27A1']",[],"['IFNG', 'CETP']"
29.0,3.0,2.0,3406.0,0.90625,0.9354838709677419,0.9206349206349206,0.9200197065068529,0.8666666666666667,0.9,0.9032258064516129,"['CUL4A', 'CAV1', 'CDK6', 'RPS2', 'GATA4', 'PKP2', 'SYNE2', 'GOSR2', 'HTR4', 'CGA', 'PAK2', 'PITX2', 'MYH7', 'ASAH1', 'ZNF462', 'SCMH1', 'SGCA', 'NPPB', 'SUN1', 'HIP1R', 'VWF', 'SCN5A', 'MYOT', 'USP34', 'PPFIA4', 'AOPEP', 'UBE4B', 'MEX3C', 'DNAH10']","['HTT', 'MTNR1A', 'HSCB']","['WNT8A', 'NCAM1']"
48.0,17.0,5.0,3370.0,0.7384615384615385,0.9056603773584906,0.8135593220338984,0.8147113555259963,0.6666666666666666,0.55,0.6792452830188679,"['HOXA1', 'HRAS', 'DISC1', 'MAPK3', 'DAB1', 'MCC', 'PECAM1', 'ABAT', 'GABRA1', 'UBE2H', 'NRXN1', 'PER1', 'CHRNB2', 'DLGAP2', 'COP1', 'MAOB', 'CADM1', 'IL4', 'TDO2', 'PLA2G4A', 'EGR2', 'MEF2C', 'NPAS2', 'ROBO2', 'ZMYND11', 'MTHFR', 'EGF', 'SYNGAP1', 'RORA', 'RAB11FIP5', 'ADSL', 'BTD', 'TNFRSF1B', 'DOCK4', 'ADA', 'SLC19A1', 'GABRA2', 'HTN1', 'TPH2', 'NRXN2', 'ROBO3', 'MAGEL2', 'ACE', 'HTR5A', 'BRSK2', 'WDFY4', 'MTF1', 'TCN2']","['HSCB', 'PICK1', 'TMEM17', 'CD74', 'TCTN3', 'UBAC1', 'PAXIP1', 'NCK1', 'CTSD', 'TUSC3', 'CRK', 'NSFL1C', 'RPL32', 'HSPA8', 'ABL1', 'CUL2', 'KRT31']","['CSMD3', 'CCT8', 'NAGLU', 'MSN', 'TAF8']"
15.0,1.0,1.0,3423.0,0.9375,0.9375,0.9375,0.9372079439252337,0.9333333333333333,0.75,0.9375,"['GSK3B', 'NCAN', 'SRPK2', 'BDNF', 'AKR1C4', 'GRIN2A', 'SCN2A', 'INS', 'SLC6A4', 'RELN', 'PC', 'PDE4B', 'PVALB', 'SLC5A3', 'GRIK4']",['NEXN'],['CGB2']
26.0,4.0,1.0,3409.0,0.8666666666666667,0.9629629629629629,0.912280701754386,0.9128363089316139,0.9333333333333333,0.85,0.8518518518518519,"['TP53', 'KRAS', 'HRAS', 'CREBBP', 'USP7', 'CDKN2A', 'PABPC1', 'SOX2', 'FANCC', 'FANCA', 'CCNE1', 'KDM6A', 'MDM4', 'KRT16', 'GSTP1', 'TBL1XR1', 'MTHFR', 'IGSF21', 'LOXL4', 'PRDM2', 'PRSS3', 'GGH', 'TRPV1', 'NAT1', 'MT3', 'ANPEP']","['TP53BP2', 'EPB41L2', 'ZFP36', 'TNC']",['DDX20']
25.0,4.0,2.0,3409.0,0.8620689655172413,0.9259259259259259,0.8928571428571429,0.8925578136496525,0.8,0.85,0.8518518518518519,"['SRC', 'NOTCH1', 'CREBBP', 'ERBB3', 'CDH1', 'PABPC1', 'TNF', 'MTOR', 'TERT', 'FAS', 'FANCA', 'IFNA2', 'ENO2', 'NOTCH2', 'FBXW8', 'PTGS2', 'NRSN1', 'GSTO2', 'SLC19A1', 'CLPTM1L', 'GSTZ1', 'ANXA2R', 'HMGN5', 'CHD6', 'APOBEC3B']","['APP', 'HSCB', 'MAL', 'COPS5']","['ARID4B', 'INPP5K']"
27.0,5.0,0.0,3408.0,0.84375,1.0,0.9152542372881356,0.9178855687800869,0.8666666666666667,0.8,0.8148148148148148,"['ERBB2', 'CTNNB1', 'CDK4', 'STK11', 'CDKN2A', 'CDK6', 'APC', 'ATM', 'CDKN2C', 'PIK3CA', 'PDIA3', 'ATR', 'MYOD1', 'PLAUR', 'NOS3', 'PPARA', 'RET', 'FASN', 'ENOX2', 'KDM6A', 'SOD2', 'GPX3', 'KCNH2', 'LIN28B', 'APOBEC3A', 'TRPV1', 'WDR74']","['CFTR', 'GRB2', 'COPS5', 'DHX15', 'UVRAG']",[]
33.0,7.0,2.0,3398.0,0.825,0.9428571428571428,0.88,0.8806859230511198,0.8,0.8,0.8285714285714286,"['UBE2I', 'CDC42', 'BCL2L1', 'RAN', 'TGFBR2', 'CDK4', 'PHB', 'CASK', 'RPS14', 'PTN', 'RPL3', 'PKM', 'EFEMP1', 'NDN', 'GGT1', 'DNMT3B', 'CORO1A', 'PGR', 'SCD', 'MRC2', 'SCARB1', 'FURIN', 'NSMF', 'MIF', 'VAMP8', 'EPHX1', 'CSF2', 'SOX9', 'EPCAM', 'LGALS7', 'ADCY5', 'SELENOP', 'MERTK']","['HTT', 'CUL3', 'ERBB2', 'HSPA2', 'SNX17', 'SHD', 'ATXN1']","['E2F3', 'C1D']"
