tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,tp_proteins,fp_proteins,fn_proteins
1.0,37.0,15.0,3387.0,0.02631578947368421,0.0625,0.037037037037037035,0.03365173240087744,0.0,0.0,0.0,['KPNB1'],"['HSPB1', 'MDM2', 'COPS5', 'YWHAQ', 'SRC', 'SDCBP', 'RELA', 'CAND1', 'H2AX', 'CDC37', 'SPRED1', 'CTNNB1', 'LZTS2', 'UBE2K', 'SQSTM1', 'SMAD3', 'AGR2', 'AKT1', 'GNB2', 'ERBB3', 'CUL2', 'EWSR1', 'CDKN1A', 'TNFAIP3', 'HSPA1A', 'MAD2L2', 'PRKDC', 'STAT3', 'RNF111', 'MAPK1', 'KLHL20', 'FYN', 'QARS1', 'KIF1B', 'HGS', 'PIAS1', 'LRIF1']","['TRIM8', 'TRIM25', 'TRIM31', 'TRIM38', 'TRIM2', 'TRIM45', 'IRF8', 'NDUFA9', 'TRIM46', 'TRIM62', 'HLA-G', 'GBP1', 'HLA-DRB3', 'GBP7', 'HLA-DQB2']"
3.0,7.0,11.0,3419.0,0.3,0.21428571428571427,0.25,0.25098225721830925,0.2,0.2,0.21428571428571427,"['POLR2C', 'CTR9', 'POLR2J']","['TP53', 'TP53BP1', 'GOLGA2', 'MED19', 'CUL5', 'PIH1D1', 'HTT']","['ATM', 'SUPT16H', 'NELFA', 'RELA', 'POLR2K', 'WDR61', 'CCNT2', 'NELFE', 'COG6', 'GTF2H3', 'GTF2H5']"
7.0,4.0,4.0,3425.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6351971155120761,0.5333333333333333,0.4,0.6363636363636364,"['POLR2C', 'POLR2B', 'POLR2D', 'PAF1', 'CCNT1', 'EAF1', 'TCEA1']","['COPS5', 'CSNK2A1', 'LMNA', 'SNW1']","['ELL', 'ERCC2', 'IWS1', 'GTF2H2']"
7.0,1.0,4.0,3428.0,0.875,0.6363636363636364,0.7368421052631579,0.7455344812397289,0.6,0.45,0.6363636363636364,"['PSMA1', 'PSMC5', 'PSMC1', 'PSMA5', 'PSMD1', 'PSMA7', 'PSMB7']",['UCHL5'],"['PSME1', 'CUL3', 'PSMD9', 'NFKBIB']"
3.0,6.0,9.0,3422.0,0.3333333333333333,0.25,0.28571428571428575,0.28652872201560825,0.2,0.15,0.25,"['H2AC8', 'H2AX', 'H2BC9']","['ASF1A', 'SMARCA4', 'ASF1B', 'NEK4', 'DNAJC9', 'VCAM1']","['H2BC3', 'PRC1', 'H2BC12', 'H2BU1', 'H2BC17', 'H4C8', 'H2AC7', 'H2AC18', 'H2BC6']"
6.0,2.0,7.0,3425.0,0.75,0.46153846153846156,0.5714285714285714,0.5871762678643359,0.4666666666666667,0.35,0.5384615384615384,"['PSMC3', 'PSMA3', 'PSMC2', 'PSMA6', 'PSMB5', 'PSMB2']","['MAPK6', 'VCAM1']","['PSMD10', 'RBX1', 'PSMB10', 'PSMD9', 'ELOB', 'LIMD1', 'ATF4']"
5.0,30.0,19.0,3386.0,0.14285714285714285,0.20833333333333334,0.1694915254237288,0.16551073495237997,0.06666666666666667,0.1,0.125,"['AURKB', 'PPP2CA', 'NUF2', 'SDHA', 'DSN1']","['SNW1', 'DCTN1', 'PPP1CA', 'YWHAZ', 'YWHAG', 'LRRK2', 'PCNA', 'UBE2I', 'NTAQ1', 'HSP90AB1', 'CUL1', 'ATXN1', 'KDM1A', 'EGFR', 'H3C12', 'CUL5', 'GSK3B', 'KPNA2', 'ARRB2', 'HSPD1', 'YWHAE', 'DDX5', 'CDK1', 'TUBB', 'PPP1CB', 'KAT5', 'PRKDC', 'EEF1A1', 'PRKN', 'METTL14']","['EFTUD2', 'RANBP2', 'PPP2R1B', 'RPS27', 'DYNC1I1', 'CENPH', 'CLASP1', 'DYNC1LI2', 'CLASP2', 'NUP160', 'SKA1', 'ERCC6L', 'CENPT', 'USP49', 'DYNLL2', 'SKA2', 'CLIP1', 'PCDHGB1', 'ZDHHC13']"
2.0,27.0,17.0,3394.0,0.06896551724137931,0.10526315789473684,0.08333333333333333,0.07892996304202664,0.06666666666666667,0.05,0.05263157894736842,"['PPP2CA', 'DYNLL1']","['APP', 'EGLN3', 'P2RY6', 'YWHAG', 'UBE2I', 'OFD1', 'NTAQ1', 'CUL1', 'ESR1', 'KPNB1', 'EGFR', 'CAND1', 'DLST', 'SMAD2', 'GSK3B', 'DDX5', 'CEP128', 'DNM2', 'METTL14', 'TCP1', 'FXR2', 'DISC1', 'DDX17', 'RB1', 'FUS', 'GAPDH', 'APC']","['MAPRE1', 'SEH1L', 'SPC24', 'KIF2A', 'MAD2L1', 'NUP98', 'CDCA8', 'SKA1', 'PPP2R5D', 'AHCTF1', 'PPP2R5C', 'KIF18A', 'NUP43', 'CENPI', 'INCENP', 'CENPN', 'CENPS-CORT']"
2.0,36.0,19.0,3383.0,0.05263157894736842,0.09523809523809523,0.06779661016949153,0.06312890627070045,0.06666666666666667,0.05,0.047619047619047616,"['DYNC1H1', 'KIF2C']","['MYC', 'VCAM1', 'PPP1CA', 'LNX1', 'FN1', 'VIM', 'LMNA', 'HSP90AB1', 'ATXN1', 'AKT1', 'CDC37', 'FLNA', 'ESR2', 'YWHAQ', 'UBC', 'KPNA2', 'DCTN2', 'TCP1', 'YWHAH', 'HNRNPU', 'HGS', 'FXR1', 'EP300', 'SKP1', 'CDK2', 'DDX5', 'DISC1', 'CUL2', 'XRCC6', 'PIN1', 'PML', 'SVIL', 'CDKN2A', 'SDHA', 'ERBB2', 'TXLNA']","['NXF1', 'ITGB3BP', 'BUB3', 'MAD1L1', 'SEC13', 'NUDC', 'BIRC5', 'NUP98', 'DYNC1I2', 'CDCA8', 'PPP2R5E', 'CENPA', 'B9D2', 'ERCC6L', 'NUP85', 'TMF1', 'RCC2', 'PPP2R5B', 'ZWILCH']"
5.0,57.0,15.0,3363.0,0.08064516129032258,0.25,0.12195121951219512,0.13334574704908375,0.2,0.2,0.2,"['PMF1', 'PPP2R1A', 'PPP2CA', 'KIF2C', 'MAD1L1']","['CDC5L', 'CUL3', 'MKI67', 'HSPA8', 'PCNA', 'UBE2I', 'HSP90AA1', 'KPNB1', 'ARRB2', 'CAND1', 'DLD', 'MYH9', 'TRIM27', 'RIF1', 'CCT8', 'RB1', 'KRT18', 'RPL10', 'TRIM28', 'CSNK2B', 'TARDBP', 'TSC1', 'TRIM54', 'NUP58', 'BICD2', 'NXF1', 'ACTG1', 'ATF2', 'TNIP1', 'NUP153', 'PSMC5', 'LARP7', 'NUP62', 'SCLT1', 'CYLD', 'NUP54', 'DDB1', 'PIK3R1', 'HSD17B10', 'ATM', 'TRAF1', 'EEF1D', 'USP2', 'NEDD8', 'RPL10A', 'HNRNPH1', 'SF3B3', 'TUBA1A', 'EXOC7', 'MCM7', 'PIK3R3', 'AXIN1', 'MECP2', 'PKM', 'HOXA1', 'RACGAP1', 'RPS11']","['SEC13', 'KIF2A', 'PPP2R1B', 'DYNC1I1', 'NDE1', 'PPP2R5E', 'CLASP2', 'KIF2B', 'ERCC6L', 'CENPP', 'CENPO', 'CLIP1', 'INCENP', 'CENPK', 'RAB5IF']"
10.0,6.0,10.0,3414.0,0.625,0.5,0.5555555555555556,0.5567300532474274,0.6,0.6,0.6,"['RPS6', 'RPS3', 'RPS4X', 'RPL18', 'RPL30', 'RPL21', 'RPLP2', 'RPL32', 'RPS18', 'RPL27']","['VCAM1', 'COPS5', 'LARP7', 'CUL5', 'NOP56', 'STAU1']","['RPS15', 'RPL13A', 'RPS28', 'RPL10L', 'ZFC3H1', 'RPL22L1', 'RPL3L', 'RPL39L', 'TSPO', 'RPS4Y2']"
13.0,5.0,8.0,3414.0,0.7222222222222222,0.6190476190476191,0.6666666666666666,0.6667757932003463,0.7333333333333333,0.65,0.6666666666666666,"['RPS6', 'RPS3', 'RPS13', 'RPS4X', 'RPLP0', 'RPL3', 'RPS25', 'RPL13', 'RPL31', 'RPS14', 'RPLP2', 'RPLP1', 'RPL27']","['NPM1', 'HNRNPU', 'METTL14', 'CNBP', 'MAGOH']","['RPL38', 'RPL13A', 'RPL10L', 'MRPS5', 'SAFB2', 'RPL34', 'TAX1BP1', 'RPS4Y1']"
