tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,tp_proteins,fp_proteins,fn_proteins
6.0,27.0,9.0,3398.0,0.18181818181818182,0.4,0.25000000000000006,0.26506251694008764,0.2,0.2,0.2,"['GBP2', 'HLA-DQA1', 'TRIM21', 'STAT1', 'HLA-B', 'IRF3']","['ASMTL', 'MYC', 'MEOX2', 'PRMT1', 'IKBKG', 'CLK3', 'CPNE2', 'NME7', 'HSP90AA1', 'ERBB2', 'REL', 'COPS5', 'TP53BP1', 'CALR', 'GOLGA2', 'ARRB1', 'STUB1', 'COL14A1', 'MYO19', 'HSPE1', 'MAP4K4', 'WDFY3', 'SUMO1', 'FBXO17', 'H2BC9', 'PRL', 'ABL1']","['MID1', 'GBP6', 'TRIM35', 'TRIM14', 'HLA-DMA', 'HLA-G', 'IRF6', 'MT2A', 'GBP4']"
3.0,5.0,9.0,3423.0,0.375,0.25,0.3,0.30422239294892106,0.3333333333333333,0.3,0.3333333333333333,"['POLR2C', 'CDK9', 'POLR2G']","['TP53', 'ESR1', 'VHL', 'CUL5', 'BRCA1']","['MNAT1', 'CCNT1', 'POLR2F', 'SSRP1', 'ELOB', 'GTF2H5', 'GTF2H3', 'NELFE', 'IPO8']"
6.0,8.0,6.0,3420.0,0.42857142857142855,0.5,0.4615384615384615,0.46088390938285106,0.4,0.35,0.5,"['POLR2C', 'SUPT5H', 'POLR2G', 'CDC73', 'AFF4', 'LEO1']","['MED26', 'TP53', 'AR', 'MYC', 'PIH1D1', 'GOLGA2', 'CUL3', 'NTAQ1']","['CCNT1', 'MLLT3', 'WDR61', 'IWS1', 'GTF2H5', 'CUL1']"
5.0,9.0,9.0,3417.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.3545158869151864,0.4,0.4,0.35714285714285715,"['PSMC3', 'PSMA4', 'PSMC5', 'SEM1', 'CUL3']","['VPS28', 'ESR2', 'MEOX2', 'IKBKG', 'PITX1', 'ESR1', 'UBQLN1', 'FN1', 'SPRED1']","['PSMD7', 'PSMD6', 'PSMD8', 'PSMA8', 'PSMD5', 'CARM1', 'PSMB11', 'CEPT1', 'C22orf23']"
4.0,10.0,7.0,3419.0,0.2857142857142857,0.36363636363636365,0.32,0.31988412249386605,0.26666666666666666,0.2,0.36363636363636365,"['H2BC15', 'H3C12', 'H2AC8', 'H3-3B']","['SMARCB1', 'RBBP4', 'VCAM1', 'HDAC6', 'MCM6', 'HIRA', 'XPC', 'GRB2', 'MCM7', 'HNRNPA2B1']","['H2BC17', 'H4C5', 'H4C8', 'H4C9', 'H4C14', 'H3C4', 'H2AC6']"
6.0,7.0,7.0,3420.0,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.45949585867881754,0.4666666666666667,0.35,0.46153846153846156,"['PSMB1', 'PSMB4', 'PSMA3', 'PSMD2', 'PSMC5', 'PSMA6']","['MYC', 'SQSTM1', 'PROP1', 'PRKN', 'SMAD2', 'HIF1AN', 'TLX3']","['CUL2', 'PSMD8', 'PSME1', 'RPS3', 'RPS27A', 'PSMD9', 'AJUBA']"
10.0,24.0,11.0,3395.0,0.29411764705882354,0.47619047619047616,0.3636363636363637,0.3694268579723,0.3333333333333333,0.45,0.42857142857142855,"['PPP2CA', 'CENPU', 'CENPH', 'SPC24', 'CENPC', 'DYNLL1', 'SEH1L', 'ZWINT', 'SEC13', 'KIF2C']","['DCTN1', 'COPS5', 'LMNA', 'FN1', 'CHEK2', 'TP53', 'TP53BP1', 'LRRK2', 'H4-16', 'FAM9B', 'DGCR8', 'PPP2R2B', 'DISC1', 'LNX1', 'NUP54', 'SPICE1', 'YWHAQ', 'ZNF785', 'PKN3', 'SIKE1', 'IPPK', 'CEP126', 'CBX1', 'MAPT']","['BIRC5', 'CENPS', 'KIF2B', 'PPP2R5D', 'NUDC', 'DYNC1LI2', 'PPP2R5C', 'CLASP1', 'INTS9', 'PPP2R5B', 'GATD3']"
3.0,15.0,19.0,3403.0,0.16666666666666666,0.13636363636363635,0.15,0.14581866935839297,0.13333333333333333,0.15,0.18181818181818182,"['CENPH', 'PPP1CC', 'ZWINT']","['DCTN1', 'MKI67', 'CATSPER1', 'CBX5', 'HSCB', 'FN1', 'NUP153', 'H3C12', 'PACC1', 'DYNLT1', 'DCTN2', 'DGCR8', 'YWHAZ', 'KDM1A', 'NINL']","['KIF2C', 'PPP2CB', 'PPP2R1B', 'CENPA', 'DYNC1I1', 'PAFAH1B1', 'BIRC5', 'PPP2R5D', 'B9D2', 'NUDC', 'SKA2', 'NUP37', 'PPP2R5C', 'CHAT', 'PMF1-BGLAP', 'ERCC6L', 'CENPL', 'MCUB', 'ATP5F1D']"
13.0,27.0,9.0,3391.0,0.325,0.5909090909090909,0.41935483870967744,0.43351459337609605,0.5333333333333333,0.5,0.45454545454545453,"['PPP2R1A', 'BUB1', 'SPC24', 'PMF1', 'BUB1B', 'NDEL1', 'DSN1', 'NUP107', 'KNL1', 'CENPT', 'NUP133', 'SGO2', 'MAD2L1']","['CDC5L', 'BRCA1', 'LMNA', 'DCTN2', 'CEP170', 'H4-16', 'NTAQ1', 'MEOX2', 'PPP2R2B', 'HDAC1', 'REL', 'NUP54', 'KDM1A', 'PPP1CB', 'PIAS4', 'CBX1', 'CCDC183', 'IQCF1', 'RAE1', 'NCL', 'BRCA2', 'PSEN1', 'H2BC21', 'HSF2BP', 'NCOR1', 'TANK', 'CENPJ']","['DYNC1LI1', 'KIF2A', 'CLASP2', 'NUP37', 'CCDC68', 'CENPK', 'SPDL1', 'TMF1', 'WDR25']"
6.0,17.0,13.0,3404.0,0.2608695652173913,0.3157894736842105,0.28571428571428575,0.28266765684341466,0.3333333333333333,0.25,0.2631578947368421,"['NDC80', 'PLK1', 'PPP2CA', 'BUB1', 'CENPT', 'BIRC5']","['HTT', 'CATSPER1', 'CHEK2', 'NUP153', 'CTNNA3', 'NTAQ1', 'FAM9B', 'MDC1', 'LNX1', 'TUBB', 'DCAF7', 'SPICE1', 'CEP126', 'IQCF1', 'NUP188', 'DYRK1A', 'GOPC']","['MAD1L1', 'SGO1', 'MAD2L1', 'CENPS', 'NUP85', 'B9D2', 'CLASP2', 'PPP2R5C', 'XPO1', 'SPDL1', 'ERCC6L', 'RCC2', 'CENPL']"
10.0,16.0,11.0,3403.0,0.38461538461538464,0.47619047619047616,0.42553191489361697,0.42406493172243065,0.4666666666666667,0.45,0.47619047619047616,"['RPLP2', 'RPS3', 'RPL10', 'RPSA', 'RPS7', 'RPL15', 'RPL19', 'RPL24', 'RPL17', 'RPL13']","['ZC3H18', 'ESR2', 'SRPK2', 'LARP7', 'PCNA', 'PABPC1', 'COPS6', 'SRSF3', 'AGR2', 'ARRB2', 'DHX30', 'CUL4B', 'NAP1L1', 'SNRPF', 'EIF4A3', 'MAGEB2']","['RPS15', 'RPL27', 'RPL13A', 'RPS18', 'RPS24', 'RPL36AL', 'IBTK', 'RPL29', 'RPL3L', 'TSC22D1', 'UNC13C']"
15.0,19.0,7.0,3399.0,0.4411764705882353,0.6818181818181818,0.5357142857142857,0.5449402521744452,0.6,0.5,0.5,"['RPS13', 'RPL36', 'RPS2', 'RPS3', 'RPS3A', 'RPS7', 'RPL19', 'RPS14', 'RPS15A', 'RPS4Y1', 'RPL23', 'RPS26', 'RPL21', 'RPS10', 'RPL27A']","['ZC3H18', 'ESR2', 'APP', 'RRS1', 'UPF1', 'VIM', 'ATXN1', 'GRB2', 'MAD2L2', 'LMNA', 'HTT', 'WFS1', 'NAP1L1', 'BAG6', 'RACK1', 'H3C12', 'PLK1', 'NOP56', 'H2AX']","['RPL26L1', 'GSPT2', 'RPS24', 'MRPL55', 'SAFB2', 'PRPF40A', 'SYNC']"
9.0,14.0,10.0,3407.0,0.391304347826087,0.47368421052631576,0.42857142857142855,0.4270585997045758,0.4666666666666667,0.4,0.42105263157894735,"['RPL10', 'RPS25', 'RPL36', 'RPL3', 'RPS4X', 'RPL7A', 'RPL14', 'RPS4Y1', 'RPS5']","['ZC3H18', 'NPM1', 'HNRNPU', 'SRPK2', 'NEK4', 'LARP7', 'PCNA', 'VCP', 'AGR2', 'COPS6', 'RALY', 'CNBP', 'KAT5', 'FN1']","['RPL35', 'RPL31', 'RPS28', 'RPS21', 'ETF1', 'RPL34', 'RPL41', 'YTHDC2', 'RPL37', 'RPS4Y2']"
5.0,4.0,7.0,3424.0,0.5555555555555556,0.4166666666666667,0.4761904761904762,0.47956804902964906,0.4666666666666667,0.4,0.5833333333333334,"['PSMC5', 'PSMA3', 'PSMA1', 'PSME2', 'DVL3']","['RNF11', 'UBQLN1', 'ATG5', 'CDC5L']","['PSMC4', 'PSMB6', 'PSMD12', 'PSMD6', 'RPS27A', 'PSMD10', 'ENG']"
16.0,46.0,17.0,3361.0,0.25806451612903225,0.48484848484848486,0.3368421052631579,0.34534883660609633,0.13333333333333333,0.15,0.2727272727272727,"['SNW1', 'SNRPE', 'HNRNPA2B1', 'CPSF3', 'YBX1', 'POLR2G', 'SRSF3', 'CPSF1', 'U2SURP', 'SRRM2', 'SNRPD2', 'AQR', 'CPSF2', 'TRA2B', 'HNRNPH2', 'HNRNPUL1']","['CAND1', 'VCAM1', 'CUL5', 'LMNA', 'STN1', 'MYC', 'CUL2', 'HMGB1', 'BAG4', 'LMO2', 'TP53BP1', 'APP', 'SORBS3', 'SRPK1', 'COPS6', 'EMC2', 'TLE5', 'LUC7L2', 'HSP90AB1', 'DLST', 'APPBP2', 'TRA2A', 'TARDBP', 'HSPB1', 'TP53', 'TOP1', 'PRPF4', 'CCNH', 'PABPC1', 'METTL3', 'HMGA1', 'SNRPA', 'CHEK2', 'HDAC11', 'CDC73', 'ESR2', 'CDK8', 'VHL', 'UBE2D1', 'MMGT1', 'TUT1', 'CCNG1', 'CCT7', 'LGALS1', 'MAPK3', 'LGALS3']","['SYMPK', 'LSM2', 'DHX38', 'CSTF2T', 'TXNL4A', 'RBM22', 'HNRNPL', 'SRRT', 'DDX42', 'DNAJC8', 'SNU13', 'PPIL4', 'KLHDC2', 'PPWD1', 'PPIL6', 'CWC25', 'ACTR3C']"
5.0,23.0,7.0,3405.0,0.17857142857142858,0.4166666666666667,0.25,0.26900852113367874,0.2,0.2,0.16666666666666666,"['RPS27', 'RPS4X', 'RPS23', 'EIF3C', 'EIF3L']","['COPS5', 'MAD2L2', 'HSPA5', 'NEK4', 'RC3H1', 'STAU1', 'EEF1A1', 'DCC', 'SMARCD1', 'UBE2I', 'ATXN1', 'NDRG1', 'CFTR', 'GSK3B', 'TLE5', 'EIF4A3', 'JUN', 'RPL7', 'HDAC1', 'NUDC', 'COPS6', 'RAN', 'NCOA6']","['EIF3M', 'RPS26', 'EIF4B', 'EIF2S2', 'RPS4Y2', 'RALBP1', 'EIF1AX']"
5.0,22.0,8.0,3405.0,0.18518518518518517,0.38461538461538464,0.25,0.2629634419956275,0.13333333333333333,0.2,0.07692307692307693,"['EIF4A1', 'PICK1', 'EIF3H', 'EIF3I', 'PABPC1']","['CAND1', 'SMAD2', 'MEOX2', 'COPS5', 'TP53', 'CUL1', 'RC3H1', 'MTNR1A', 'SOD1', 'FXR1', 'MAPK6', 'DCC', 'EEF1A1', 'PRNP', 'PPP1CC', 'UBQLN2', 'CUL5', 'CAPZA2', 'SRPK1', 'ZNF76', 'ZC3H18', 'CDC5L']","['EIF3G', 'EIF3K', 'EIF4E', 'RPS10', 'EIF4B', 'RPS27L', 'RPS27', 'CSN3']"
5.0,19.0,6.0,3410.0,0.20833333333333334,0.45454545454545453,0.28571428571428575,0.30455533249044514,0.13333333333333333,0.2,0.18181818181818182,"['RPLP2', 'RPL19', 'RPL22', 'RPL12', 'RPL28']","['RPS6', 'SRPK2', 'CUL3', 'COPS5', 'RRS1', 'RPS7', 'CEP70', 'RPSA', 'COX15', 'G3BP2', 'MKI67', 'CFTR', 'SDCBP2', 'RPS15A', 'HDAC6', 'H1-4', 'RPS25', 'P2RY6', 'EGFR']","['RPL13A', 'RPL10L', 'RPLP1', 'POLR1B', 'RPL34', 'RPL29']"
14.0,12.0,5.0,3409.0,0.5384615384615384,0.7368421052631579,0.6222222222222222,0.6275335342942094,0.5333333333333333,0.55,0.5263157894736842,"['RPL6', 'RPS8', 'RPS13', 'RPLP1', 'RPL30', 'RPS14', 'RPS7', 'RPL18A', 'RPS9', 'RPL7A', 'RPS25', 'RPL5', 'RPL12', 'RPS12']","['ESR2', 'SRPK2', 'LARP7', 'KTN1', 'PSTPIP1', 'MDM2', 'RPL9P9', 'MAD2L2', 'CTNNB1', 'DDX56', 'MYC', 'SNRPF']","['RPS15', 'RPS28', 'NAP1L5', 'RPL41', 'IMMT']"
10.0,15.0,8.0,3407.0,0.4,0.5555555555555556,0.46511627906976744,0.46816416173923464,0.5333333333333333,0.45,0.5,"['RPS2', 'RPSA', 'RPS15', 'RPS9', 'RPL14', 'RPS14', 'RPS25', 'RPL24', 'RPL23A', 'RPL18A']","['HMGB1', 'CTNNB1', 'VCP', 'MDM2', 'FN1', 'COPS6', 'H3C12', 'RALY', 'PPP1CC', 'FBL', 'CUL4B', 'RBM34', 'P2RY6', 'CEP128', 'IKBKG']","['RPL32', 'RPL38', 'RPS29', 'EPB41L3', 'UBA52', 'RPL29', 'RPL3L', 'RPL22L1']"
11.0,11.0,10.0,3408.0,0.5,0.5238095238095238,0.5116279069767442,0.5086973700203601,0.4,0.5,0.5238095238095238,"['ESR1', 'EEF1A1', 'RPL36', 'RPS23', 'RPL5', 'RPS25', 'RPL23A', 'RPS26', 'RPL13', 'RPL21', 'RPL22']","['ZC3H18', 'HNRNPU', 'CUL5', 'TP53', 'PSTPIP1', 'LMNA', 'METTL14', 'ARRB2', 'MKI67', 'EXOSC4', 'HTT']","['RPL27A', 'RPS27A', 'RPS18', 'RPL26', 'RPL10L', 'ARIH2', 'RPL3L', 'RPL37', 'METTL18', 'GZF1']"
