tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,tp_proteins,fp_proteins,fn_proteins
4.0,3.0,12.0,3421.0,0.5714285714285714,0.25,0.34782608695652173,0.3761458050858056,0.4666666666666667,0.4,0.4375,"['GBP1', 'HLA-B', 'GBP3', 'IRF1']","['OTUB2', 'KIR3DS1', 'UBE2W']","['HLA-DRA', 'IRF3', 'HLA-DMA', 'HLA-DRB3', 'HLA-DQB1', 'IRF5', 'SP100', 'EPHA3', 'TRIM14', 'FCGR1A', 'TRIM45', 'OAS1']"
10.0,6.0,2.0,3422.0,0.625,0.8333333333333334,0.7142857142857143,0.7205925778505667,0.6666666666666666,0.5,0.6666666666666666,"['POLR2A', 'CTR9', 'POLR2B', 'POLR2F', 'ERCC2', 'GTF2F1', 'CDC73', 'POLR2L', 'MLLT1', 'MLLT3']","['KMT2A', 'GTF2E1', 'ERCC5', 'GTF2B', 'GPN3', 'ESR1']","['NELFCD', 'RELA']"
7.0,7.0,5.0,3421.0,0.5,0.5833333333333334,0.5384615384615384,0.5383282552346002,0.5333333333333333,0.5,0.5833333333333334,"['POLR2B', 'POLR2F', 'CDK7', 'CTDP1', 'POLR2H', 'GTF2F1', 'POLR2I']","['GTF2H2C_2', 'PIH1D1', 'GTF2E1', 'GTF2B', 'RECQL5', 'AFF1', 'ASB6']","['SUPT6H', 'NELFCD', 'NELFE', 'IWS1', 'H3-4']"
8.0,1.0,4.0,3427.0,0.8888888888888888,0.6666666666666666,0.761904761904762,0.7691270395507103,0.6666666666666666,0.5,0.75,"['PSMB7', 'PSMC2', 'PSMD13', 'PSMD1', 'PSMC3', 'PSMC5', 'PSMD5', 'PSMB8']",['ADRM1'],"['PSMB10', 'PSMF1', 'CARM1', 'GARS1']"
4.0,13.0,8.0,3415.0,0.23529411764705882,0.3333333333333333,0.27586206896551724,0.2770719876573426,0.2,0.2,0.25,"['H4-16', 'H2BC14', 'H2AC14', 'H3C12']","['NASP', 'MCM2', 'SSRP1', 'H2AC21', 'RNF168', 'ATRX', 'CC2D1B', 'CBX2', 'PARP1', 'CENPA', 'MIER3', 'TAF1B', 'DNMT1']","['H2BC3', 'H2AC4', 'CCT5', 'H3C7', 'H3C8', 'H3-3A', 'H4C14', 'H2BC7']"
6.0,2.0,6.0,3426.0,0.75,0.5,0.6,0.6113013341884423,0.5333333333333333,0.4,0.5833333333333334,"['PSMA4', 'PSMA7', 'PSMB2', 'PSMC2', 'PSMD4', 'PSMD6']","['USP14', 'ADRM1']","['PSMB10', 'PSME3', 'RPS27A', 'UBB', 'UBA52', 'AJUBA']"
7.0,7.0,12.0,3414.0,0.5,0.3684210526315789,0.4242424242424242,0.42650223816691407,0.4666666666666667,0.5,0.47368421052631576,"['NDC80', 'NUP107', 'DYNC1I2', 'DYNC1I1', 'SGO1', 'KIF2C', 'DYNC1LI2']","['SNW1', 'NIN', 'RAE1', 'DELEC1', 'SUGT1', 'TPR', 'EGLN3']","['CDC20', 'NDEL1', 'INCENP', 'CENPF', 'ZW10', 'PPP2R5E', 'BIRC5', 'KIF18A', 'CLASP2', 'TAOK1', 'ERCC6L', 'CENPS-CORT']"
13.0,3.0,7.0,3417.0,0.8125,0.65,0.7222222222222223,0.7253173228927752,0.8666666666666667,0.65,0.65,"['NDC80', 'NUP133', 'BUB1', 'CENPC', 'CENPT', 'NUP160', 'PAFAH1B1', 'DYNC1I1', 'SGO1', 'CENPI', 'KIF2C', 'PPP2R5C', 'MAD2L1']","['DZIP1', 'STK25', 'EVI5']","['PPP2R5B', 'RANBP2', 'NDE1', 'KNTC1', 'TAOK1', 'CHAT', 'CENPL']"
15.0,8.0,5.0,3412.0,0.6521739130434783,0.75,0.6976744186046512,0.6975032980000129,0.8,0.7,0.7,"['SPC24', 'CENPO', 'NUP133', 'BUB1', 'NSL1', 'CENPQ', 'NUP85', 'NUP37', 'PAFAH1B1', 'PPP2R5D', 'NDEL1', 'PPP2R1A', 'MAD2L1', 'INCENP', 'ZW10']","['FAM43A', 'KPNB1', 'MLF1', 'SUGT1', 'EGLN3', 'CENPX', 'ANAPC4', 'C12orf40']","['PPP1CC', 'BUB3', 'RPS27', 'CDK5', 'XPO1']"
10.0,9.0,11.0,3410.0,0.5263157894736842,0.47619047619047616,0.5,0.4977131953440061,0.6,0.5,0.5238095238095238,"['BUB1B', 'NUP85', 'CENPM', 'CENPI', 'CENPK', 'CDCA8', 'ITGB3BP', 'PPP2R5C', 'MAPRE1', 'MAD2L1']","['DCTN1', 'OFD1', 'DGCR8', 'PPME1', 'WNT3A', 'MLF1', 'TBCCD1', 'AAAS', 'UBR5']","['CENPE', 'CENPF', 'RANBP2', 'PPP1CC', 'RANGAP1', 'MAD1L1', 'CLASP2', 'ERCC6L', 'KRT31', 'ADIPOQ', 'RCC2']"
