tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives,tp_proteins,fp_proteins,fn_proteins
15.0,2.0,1.0,3422.0,0.8823529411764706,0.9375,0.9090909090909091,0.909074681950831,0.8666666666666667,0.75,0.875,"['GBP5', 'TRIM5', 'HLA-E', 'TRIM21', 'GBP3', 'HLA-F', 'MID1', 'TRIM2', 'TRIM26', 'SP100', 'HLA-DPB1', 'TRIM62', 'OAS3', 'TRIM17', 'OAS1']","['RBM39', 'ATP2B2']",['SELENON']
11.0,0.0,1.0,3428.0,1.0,0.9166666666666666,0.9565217391304348,0.9572874902407936,0.7333333333333333,0.55,0.9166666666666666,"['POLR2C', 'CDK9', 'CDK7', 'POLR2B', 'POLR2D', 'AFF4', 'TCEA1', 'SUPT16H', 'RTF1', 'NELFE', 'CCNT2']",[],['ATM']
10.0,0.0,2.0,3428.0,1.0,0.8333333333333334,0.9090909090909091,0.9126047472395481,0.6666666666666666,0.5,0.8333333333333334,"['POLR2A', 'POLR2E', 'GTF2H1', 'ERCC2', 'SSRP1', 'SUPT16H', 'TCEA1', 'CCNT1', 'WDR61', 'IWS1']",[],"['CUL1', 'SIAH1']"
11.0,0.0,0.0,3429.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0,"['PSMD2', 'PSMB4', 'PSMC1', 'PSMB7', 'PSMB2', 'PSMD1', 'PSMD13', 'PSMD5', 'PSME1', 'PSMF1', 'PSMD9']",[],[]
9.0,2.0,3.0,3426.0,0.8181818181818182,0.75,0.7826086956521738,0.782625934792171,0.7333333333333333,0.55,0.8333333333333334,"['H2BC15', 'H3C4', 'H3C7', 'H2BC5', 'H4C4', 'H2BC14', 'H2BC3', 'H2BC11', 'H2AC6']","['AP2M1', 'CHAF1A']","['PRDM9', 'H2AJ', 'PRC1']"
11.0,2.0,2.0,3425.0,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.845570245336805,0.8,0.6,0.8461538461538461,"['PSMA1', 'PSMC5', 'PSMD4', 'PSMD12', 'HIF1A', 'PSME1', 'UBB', 'RBX1', 'EPAS1', 'EGLN1', 'RPS27A']","['BRAP', 'NUDT18']","['PSMB11', 'ATF4']"
15.0,2.0,6.0,3417.0,0.8823529411764706,0.7142857142857143,0.7894736842105262,0.7927704237983264,0.9333333333333333,0.85,0.8571428571428571,"['PPP2R1A', 'CENPQ', 'DSN1', 'SEH1L', 'DYNC1H1', 'ZW10', 'NUDC', 'DYNC1LI1', 'KNTC1', 'CENPM', 'RANBP2', 'MAD2L1', 'DYNC1LI2', 'RPS27', 'PPP2R5B']","['STK26', 'RAG1']","['ERCC6L', 'RCC2', 'PMF1-BGLAP', 'CENPL', 'PCDHGB1', 'LEMD3']"
18.0,1.0,3.0,3418.0,0.9473684210526315,0.8571428571428571,0.9,0.9005562627792888,0.9333333333333333,0.95,0.9523809523809523,"['PPP2R1A', 'SPC25', 'CENPA', 'PPP2CB', 'DYNC1I1', 'NSL1', 'ZW10', 'CENPK', 'CENPM', 'RANBP2', 'CENPN', 'DYNC1LI2', 'NDE1', 'CKAP5', 'RPS27', 'CLIP1', 'SPDL1', 'CLASP1']",['EP300'],"['PMF1-BGLAP', 'CENPS-CORT', 'SPRY2']"
20.0,0.0,1.0,3419.0,1.0,0.9523809523809523,0.975609756097561,0.9757573870682547,1.0,1.0,0.9523809523809523,"['NUF2', 'SEH1L', 'NUP133', 'MAPRE1', 'PPP2CB', 'NUP43', 'DYNC1I1', 'AHCTF1', 'CENPN', 'NUDC', 'DYNLL2', 'SGO1', 'MAD1L1', 'PPP2R5E', 'KIF2A', 'RPS27', 'ZWILCH', 'INCENP', 'SPDL1', 'TAOK1']",[],['NXF1']
19.0,4.0,2.0,3415.0,0.8260869565217391,0.9047619047619048,0.8636363636363636,0.8636646697800348,0.8666666666666667,0.85,0.8571428571428571,"['CENPO', 'CENPH', 'DSN1', 'NUF2', 'PPP2CB', 'DYNC1I1', 'ZW10', 'DYNC1I2', 'CENPM', 'KIF2B', 'CENPI', 'SKA1', 'CENPP', 'XPO1', 'KIF2A', 'CKAP5', 'SPDL1', 'CLASP1', 'PMF1-BGLAP']","['CUL3', 'FOXK2', 'HTT', 'CDC5L']","['C11orf49', 'AGT']"
14.0,3.0,5.0,3418.0,0.8235294117647058,0.7368421052631579,0.7777777777777778,0.7778264157214465,0.8666666666666667,0.7,0.7368421052631579,"['RPL6', 'RPS16', 'RPL30', 'RPLP0', 'RPL13', 'RPL31', 'RPS18', 'RPL26', 'RPS28', 'RPL38', 'RPS29', 'UBA52', 'RPL39', 'RPL37']","['COPS5', 'NARS1', 'CUL5']","['IBTK', 'ZFC3H1', 'TSC22D1', 'ZNF792', 'FAM78B']"
15.0,6.0,4.0,3415.0,0.7142857142857143,0.7894736842105263,0.7500000000000001,0.7494901124910578,0.8666666666666667,0.75,0.7368421052631579,"['RPL6', 'RPL4', 'RPS14', 'RPL11', 'RPS19', 'RPL21', 'RPS10', 'RPL22', 'RPS4Y1', 'RPL27A', 'RPS18', 'RPS17', 'RPL13A', 'RPL3L', 'RPL39']","['CUL1', 'ESR1', 'ECT2', 'HMGB1', 'APP', 'CUL5']","['RPL39L', 'MRPS5', 'MRPL50', 'MRPL55']"
16.0,7.0,3.0,3414.0,0.6956521739130435,0.8421052631578947,0.761904761904762,0.7639707997139519,0.8,0.8,0.7894736842105263,"['RPS6', 'RPL37A', 'RPL30', 'RPL8', 'RPL36', 'RPS25', 'RPL12', 'RPL13', 'RPL17', 'RPS15', 'RPLP2', 'RPS24', 'RPS4Y2', 'RPS27', 'RPS21', 'RPL34']","['CUL3', 'VCAM1', 'MAD2L2', 'HNRNPU', 'PDLIM4', 'KARS1', 'PCGF2']","['CD79A', 'ZBTB14', 'MRPS18A']"
10.0,0.0,2.0,3428.0,1.0,0.8333333333333334,0.9090909090909091,0.9126047472395481,0.7333333333333333,0.55,0.9166666666666666,"['PSMA1', 'PSMA3', 'PSMD2', 'PSMC3', 'PSMA7', 'PSMA4', 'PSMD6', 'PSME4', 'DVL3', 'UBA52']",[],"['DVL1', 'NAPA']"
32.0,2.0,2.0,3404.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9405892715277538,1.0,1.0,0.9411764705882353,"['HNRNPA1', 'PRPF8', 'MAGOH', 'SNRPF', 'SNRPA1', 'SF3B1', 'SF3A1', 'YBX1', 'SNRPB', 'POLR2E', 'SNRPD3', 'POLR2G', 'XAB2', 'SRSF3', 'CPSF3', 'NCBP1', 'SNRPB2', 'SRRM1', 'ALYREF', 'HNRNPUL1', 'SRSF6', 'DHX9', 'CSTF3', 'U2SURP', 'HNRNPR', 'ELAVL1', 'CLP1', 'PQBP1', 'SNU13', 'PRCC', 'CWC22', 'PCF11']","['SRPK2', 'GRB2']","['ZNF341', 'IFNA21']"
11.0,0.0,1.0,3428.0,1.0,0.9166666666666666,0.9565217391304348,0.9572874902407936,0.8,0.6,1.0,"['RPS23', 'RPS15A', 'EIF3I', 'RPS26', 'RPS15', 'EIF3L', 'RPS28', 'RPS17', 'RPS29', 'EIF2S2', 'EIF2S1']",[],['EIF4H']
12.0,1.0,0.0,3427.0,0.9230769230769231,1.0,0.9600000000000001,0.9606287771186212,0.8,0.6,0.9166666666666666,"['RPS2', 'RPS4Y1', 'RPS9', 'EIF3H', 'RPS19', 'RPS10', 'EIF4A2', 'RPS4Y2', 'RPS24', 'RPS17', 'RPS21', 'RPL13A']",['VCAM1'],[]
8.0,0.0,3.0,3429.0,1.0,0.7272727272727273,0.8421052631578948,0.852430055408813,0.6,0.45,0.8181818181818182,"['RPL10', 'RPL36', 'RPL15', 'RPL12', 'RPL22', 'RPL26', 'RPL10L', 'RPL36AL']",[],"['RPL39L', 'TTK', 'SEC13']"
17.0,6.0,2.0,3415.0,0.7391304347826086,0.8947368421052632,0.8095238095238095,0.8121011140010056,0.8,0.8,0.7894736842105263,"['RPL10', 'RPL37A', 'RPS4X', 'RPL7A', 'RPL4', 'RPL5', 'RPL3', 'RPS15A', 'RPLP0', 'RPS26', 'RPL35', 'RPL27', 'RPLP1', 'RPS28', 'RPL38', 'RPS21', 'RPL36AL']","['CAND1', 'NPM1', 'COPS5', 'VCAM1', 'LARP7', 'COX20']","['DGUOK', 'GEMIN7']"
18.0,2.0,1.0,3419.0,0.9,0.9473684210526315,0.9230769230769231,0.9229455995013829,0.9333333333333333,0.9,0.8947368421052632,"['RPS8', 'RPL10', 'RPS16', 'RPL7', 'RPL19', 'RPL11', 'RPS23', 'RPS5', 'RPS11', 'RPL12', 'RPL31', 'RPS10', 'RPS18', 'RPL38', 'UBA52', 'RPL10L', 'RPL36AL', 'RPS27A']","['CUL1', 'ZC3H18']",['SLC30A7']
17.0,4.0,2.0,3417.0,0.8095238095238095,0.8947368421052632,0.8500000000000001,0.8502008793498785,0.8666666666666667,0.8,0.8421052631578947,"['RPL37A', 'RPL14', 'RPL7', 'RPL19', 'RPS23', 'RPS19', 'RPL24', 'RPS26', 'RPS4Y1', 'RPL27', 'RPL28', 'RPL38', 'RPS29', 'RPL36AL', 'RPS27L', 'EEF2', 'RPL39']","['CUL3', 'NEK4', 'WDR4', 'CUL5']","['RPL39L', 'GZF1']"
18.0,4.0,1.0,3417.0,0.8181818181818182,0.9473684210526315,0.8780487804878049,0.8797079804332065,0.9333333333333333,0.85,0.8421052631578947,"['RPS8', 'RPS2', 'RPS3', 'RPL3', 'RPSA', 'RPS14', 'RPL10A', 'RPS11', 'RPL23', 'RPS26', 'RPL31', 'RPL35', 'RPS24', 'RPS18', 'RPS27', 'RPS27A', 'RPL35A', 'RPL39']","['CUL1', 'ZC3H18', 'MTNR1A', 'MTRNR2L1']",['GRN']
10.0,3.0,2.0,3425.0,0.7692307692307693,0.8333333333333334,0.8,0.7999166385480513,0.8,0.6,0.8333333333333334,"['RPS3', 'RPSA', 'RPS15A', 'RPS7', 'EIF3B', 'RPS20', 'RPS15', 'EIF3G', 'RPS17', 'RPS21']","['RPL36', 'STUB1', 'CUL3']","['EIF2S1', 'EIF1AX']"
24.0,6.0,2.0,3408.0,0.8,0.9230769230769231,0.8571428571428571,0.8582046374554714,1.0,0.95,0.8846153846153846,"['CENPU', 'PPP2R1A', 'CENPO', 'NUP107', 'TUBA1A', 'ZWINT', 'DYNLL1', 'ITGB3BP', 'PPP2R1B', 'SEC13', 'MAPRE1', 'B9D2', 'NSL1', 'CENPT', 'TUBA8', 'RANBP2', 'SKA1', 'DYNLL2', 'RANGAP1', 'TUBB8', 'TUBB1', 'ZWILCH', 'INCENP', 'TAOK1']","['NUP54', 'GIT1', 'NEK4', 'PTPDC1', 'RELL2', 'WRN']","['CHUK', 'UBA1']"
23.0,6.0,3.0,3408.0,0.7931034482758621,0.8846153846153846,0.8363636363636363,0.8363140420211811,0.8666666666666667,0.85,0.8076923076923077,"['TUBA1A', 'SPC24', 'DYNLL1', 'AHCTF1', 'NUP98', 'NUP160', 'PDS5A', 'SGO1', 'CDCA8', 'CENPK', 'DYNC1LI1', 'KIF2B', 'SKA1', 'TUBA8', 'BUB3', 'PPP2R5E', 'TUBB2B', 'RANGAP1', 'CKAP5', 'KIF2A', 'PPP2R5B', 'TUBAL3', 'RCC2']","['CUL3', 'SNW1', 'CYLD', 'NEK4', 'APP', 'PAFAH1B2']","['CENPL', 'WDCP', 'MOB2']"
13.0,1.0,1.0,3425.0,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9282795429905762,0.8666666666666667,0.65,0.9285714285714286,"['PSMC3', 'PSMD14', 'PSMB4', 'PSMA7', 'PSMD12', 'CDC23', 'PSMB6', 'PSMD8', 'ANAPC5', 'ANAPC7', 'CDC26', 'PSME3', 'UBA52']",['TMEM30A'],['MATN3']
