tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
24.0,27.0,2.0,3326.0,0.47058823529411764,0.9230769230769231,0.6233766233766235,0.6557818528880345,0.6666666666666666,0.65,0.5
53.0,105.0,10.0,3211.0,0.33544303797468356,0.8412698412698413,0.4796380090497737,0.5187127351583529,0.26666666666666666,0.2,0.2857142857142857
20.0,36.0,7.0,3317.0,0.35714285714285715,0.7407407407407407,0.48192771084337344,0.5090957005289912,0.06666666666666667,0.15,0.18518518518518517
20.0,33.0,2.0,3324.0,0.37735849056603776,0.9090909090909091,0.5333333333333334,0.5820677930049083,0.4,0.45,0.45454545454545453
10.0,10.0,5.0,3355.0,0.5,0.6666666666666666,0.5714285714285715,0.5752041446428737,0.4666666666666667,0.5,0.4666666666666667
41.0,88.0,4.0,3247.0,0.3178294573643411,0.9111111111111111,0.47126436781609193,0.5292474743535521,0.06666666666666667,0.1,0.17777777777777778
13.0,20.0,2.0,3344.0,0.3939393939393939,0.8666666666666667,0.5416666666666666,0.5818570051724056,0.4666666666666667,0.35,0.4666666666666667
32.0,73.0,6.0,3268.0,0.3047619047619048,0.8421052631578947,0.44755244755244755,0.4984770974971464,0.13333333333333333,0.2,0.21052631578947367
56.0,139.0,7.0,3177.0,0.28717948717948716,0.8888888888888888,0.43410852713178294,0.4912948340608427,0.26666666666666666,0.3,0.19047619047619047
24.0,47.0,6.0,3302.0,0.3380281690140845,0.8,0.4752475247524753,0.5140555040837005,0.13333333333333333,0.15,0.2
22.0,51.0,8.0,3299.0,0.3013698630136986,0.7333333333333333,0.42718446601941745,0.46333504177904394,0.3333333333333333,0.4,0.3
25.0,45.0,4.0,3305.0,0.35714285714285715,0.8620689655172413,0.5050505050505051,0.5495984715759501,0.4666666666666667,0.35,0.3448275862068966
35.0,53.0,3.0,3289.0,0.3977272727272727,0.9210526315789473,0.5555555555555556,0.5993291113305061,0.26666666666666666,0.35,0.3157894736842105
31.0,59.0,6.0,3283.0,0.34444444444444444,0.8378378378378378,0.4881889763779528,0.5301051797072379,0.2,0.2,0.24324324324324326
11.0,11.0,2.0,3355.0,0.5,0.8461538461538461,0.6285714285714286,0.6487994836658401,0.4,0.5,0.38461538461538464
33.0,51.0,2.0,3294.0,0.39285714285714285,0.9428571428571428,0.5546218487394958,0.6032043954186925,0.26666666666666666,0.25,0.3142857142857143
26.0,57.0,6.0,3290.0,0.3132530120481928,0.8125,0.4521739130434783,0.4977301018374285,0.26666666666666666,0.25,0.21875
26.0,52.0,2.0,3299.0,0.3333333333333333,0.9285714285714286,0.4905660377358491,0.5511787604756607,0.4666666666666667,0.45,0.32142857142857145
13.0,10.0,1.0,3355.0,0.5652173913043478,0.9285714285714286,0.7027027027027025,0.7231107944140738,0.4,0.5,0.42857142857142855
21.0,39.0,4.0,3315.0,0.35,0.84,0.49411764705882355,0.5375238535983465,0.06666666666666667,0.1,0.16
16.0,18.0,0.0,3346.0,0.47058823529411764,1.0,0.6399999999999999,0.6841565789515052,0.4666666666666667,0.45,0.4375
17.0,34.0,4.0,3324.0,0.3333333333333333,0.8095238095238095,0.4722222222222222,0.5152721894664619,0.26666666666666666,0.25,0.23809523809523808
23.0,46.0,3.0,3307.0,0.3333333333333333,0.8846153846153846,0.4842105263157894,0.5380608178138584,0.26666666666666666,0.2,0.23076923076923078
29.0,61.0,7.0,3282.0,0.32222222222222224,0.8055555555555556,0.46031746031746035,0.5020086171907675,0.2,0.15,0.1388888888888889
51.0,117.0,11.0,3200.0,0.30357142857142855,0.8225806451612904,0.44347826086956527,0.48611424250587726,0.3333333333333333,0.25,0.22580645161290322
19.0,37.0,6.0,3318.0,0.3392857142857143,0.76,0.4691358024691359,0.5027558635721389,0.2,0.2,0.28
20.0,27.0,2.0,3330.0,0.425531914893617,0.9090909090909091,0.5797101449275361,0.6187760835008976,0.4666666666666667,0.4,0.4090909090909091
54.0,114.0,6.0,3205.0,0.32142857142857145,0.9,0.4736842105263158,0.5259542241829228,0.3333333333333333,0.3,0.2833333333333333
58.0,131.0,10.0,3180.0,0.30687830687830686,0.8529411764705882,0.45136186770428016,0.49704900077047137,0.2,0.25,0.16176470588235295
26.0,32.0,1.0,3321.0,0.4482758620689655,0.9629629629629629,0.6117647058823529,0.653534883476524,0.4,0.45,0.4074074074074074
32.0,68.0,7.0,3273.0,0.32,0.8205128205128205,0.46043165467625896,0.5043247215407993,0.2,0.25,0.2564102564102564
18.0,18.0,4.0,3339.0,0.5,0.8181818181818182,0.6206896551724137,0.6367396489240662,0.2,0.2,0.2727272727272727
15.0,26.0,7.0,3331.0,0.36585365853658536,0.6818181818181818,0.47619047619047616,0.4951752833288343,0.2,0.15,0.18181818181818182
10.0,21.0,4.0,3344.0,0.3225806451612903,0.7142857142857143,0.4444444444444444,0.47702796704667727,0.26666666666666666,0.3,0.2857142857142857
31.0,84.0,11.0,3254.0,0.26956521739130435,0.7380952380952381,0.39490445859872614,0.435636714595747,0.2,0.15,0.14285714285714285
26.0,46.0,3.0,3304.0,0.3611111111111111,0.896551724137931,0.5148514851485149,0.5639107938886927,0.26666666666666666,0.25,0.2413793103448276
13.0,22.0,5.0,3339.0,0.37142857142857144,0.7222222222222222,0.490566037735849,0.5145411825244969,0.26666666666666666,0.2,0.2222222222222222
42.0,89.0,6.0,3242.0,0.32061068702290074,0.875,0.46927374301675984,0.5200009877780033,0.26666666666666666,0.25,0.20833333333333334
18.0,19.0,1.0,3341.0,0.4864864864864865,0.9473684210526315,0.6428571428571428,0.676645540773932,0.4,0.5,0.47368421052631576
17.0,21.0,2.0,3339.0,0.4473684210526316,0.8947368421052632,0.5964912280701755,0.6300389566301938,0.26666666666666666,0.25,0.2631578947368421
21.0,26.0,0.0,3332.0,0.44680851063829785,1.0,0.6176470588235294,0.6658445799133628,0.3333333333333333,0.35,0.38095238095238093
18.0,35.0,4.0,3323.0,0.33962264150943394,0.8181818181818182,0.48,0.5228403881628848,0.26666666666666666,0.35,0.36363636363636365
26.0,37.0,4.0,3313.0,0.4126984126984127,0.8666666666666667,0.5591397849462365,0.5933649753734452,0.4,0.4,0.36666666666666664
24.0,35.0,6.0,3315.0,0.4067796610169492,0.8,0.5393258426966292,0.5654620412375204,0.3333333333333333,0.25,0.2
60.0,123.0,7.0,3189.0,0.32786885245901637,0.8955223880597015,0.4799999999999999,0.5287320135854581,0.3333333333333333,0.3,0.208955223880597
14.0,17.0,2.0,3346.0,0.45161290322580644,0.875,0.5957446808510638,0.6263854260730162,0.3333333333333333,0.45,0.375
13.0,15.0,3.0,3348.0,0.4642857142857143,0.8125,0.5909090909090908,0.6119132994593692,0.4,0.5,0.4375
22.0,19.0,1.0,3337.0,0.5365853658536586,0.9565217391304348,0.6875000000000001,0.7140958122422677,0.5333333333333333,0.45,0.43478260869565216
11.0,23.0,6.0,3339.0,0.3235294117647059,0.6470588235294118,0.4313725490196078,0.4538511536515021,0.2,0.25,0.17647058823529413
38.0,79.0,6.0,3256.0,0.3247863247863248,0.8636363636363636,0.4720496894409938,0.5208250399908727,0.26666666666666666,0.25,0.25
31.0,60.0,7.0,3281.0,0.34065934065934067,0.8157894736842105,0.48062015503875977,0.5197018012078217,0.3333333333333333,0.3,0.21052631578947367
25.0,54.0,6.0,3295.0,0.31645569620253167,0.8064516129032258,0.4545454545454545,0.4986653015438222,0.3333333333333333,0.4,0.3548387096774194
14.0,10.0,1.0,3354.0,0.5833333333333334,0.9333333333333333,0.7179487179487181,0.7365005715933765,0.4666666666666667,0.55,0.4666666666666667
19.0,25.0,3.0,3333.0,0.4318181818181818,0.8636363636363636,0.5757575757575758,0.6074117890300609,0.26666666666666666,0.3,0.3181818181818182
22.0,48.0,8.0,3302.0,0.3142857142857143,0.7333333333333333,0.44,0.4735348094987574,0.26666666666666666,0.25,0.16666666666666666
11.0,15.0,1.0,3352.0,0.4230769230769231,0.9166666666666666,0.5789473684210527,0.6210182323322101,0.3333333333333333,0.4,0.4166666666666667
12.0,17.0,0.0,3350.0,0.41379310344827586,1.0,0.5853658536585366,0.6416415354227951,0.2,0.3,0.25
10.0,16.0,3.0,3350.0,0.38461538461538464,0.7692307692307693,0.5128205128205128,0.5416140295365273,0.3333333333333333,0.3,0.38461538461538464
35.0,76.0,4.0,3264.0,0.3153153153153153,0.8974358974358975,0.4666666666666666,0.5241467752342567,0.3333333333333333,0.3,0.23076923076923078
19.0,29.0,3.0,3328.0,0.3958333333333333,0.8636363636363636,0.5428571428571428,0.5810908293040569,0.4,0.35,0.3181818181818182
