tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
7.0,31.0,12.0,3329.0,0.18421052631578946,0.3684210526315789,0.24561403508771928,0.25471030684379636,0.06666666666666667,0.1,0.10526315789473684
9.0,31.0,10.0,3329.0,0.225,0.47368421052631576,0.30508474576271183,0.3211106431855118,0.06666666666666667,0.2,0.15789473684210525
15.0,30.0,7.0,3328.0,0.3333333333333333,0.6818181818181818,0.4477611940298507,0.4721042399305817,0.2,0.25,0.2727272727272727
4.0,9.0,7.0,3359.0,0.3076923076923077,0.36363636363636365,0.33333333333333337,0.3321373594609239,0.3333333333333333,0.5,0.2727272727272727
31.0,99.0,17.0,3232.0,0.23846153846153847,0.6458333333333334,0.348314606741573,0.379071770380629,0.06666666666666667,0.05,0.125
13.0,26.0,7.0,3333.0,0.3333333333333333,0.65,0.4406779661016949,0.4612379869811724,0.13333333333333333,0.25,0.25
13.0,20.0,4.0,3342.0,0.3939393939393939,0.7647058823529411,0.5199999999999999,0.5458912234176604,0.2,0.25,0.23529411764705882
6.0,12.0,5.0,3356.0,0.3333333333333333,0.5454545454545454,0.41379310344827586,0.4240570562754402,0.4,0.4,0.36363636363636365
19.0,63.0,14.0,3283.0,0.23170731707317074,0.5757575757575758,0.3304347826086957,0.35592088107615477,0.0,0.0,0.06060606060606061
7.0,19.0,8.0,3345.0,0.2692307692307692,0.4666666666666667,0.3414634146341463,0.3507427048961445,0.2,0.3,0.2
5.0,12.0,6.0,3357.0,0.29411764705882354,0.45454545454545453,0.35714285714285715,0.3630945002567512,0.3333333333333333,0.35,0.2727272727272727
17.0,47.0,12.0,3304.0,0.265625,0.5862068965517241,0.3655913978494624,0.3871886106823657,0.0,0.0,0.034482758620689655
39.0,97.0,9.0,3234.0,0.2867647058823529,0.8125,0.42391304347826086,0.47166893433060564,0.0,0.0,0.0625
5.0,19.0,9.0,3346.0,0.20833333333333334,0.35714285714285715,0.2631578947368421,0.2688596759901822,0.13333333333333333,0.15,0.07142857142857142
12.0,45.0,12.0,3310.0,0.21052631578947367,0.5,0.2962962962962963,0.3173038244433621,0.26666666666666666,0.2,0.20833333333333334
10.0,42.0,14.0,3313.0,0.19230769230769232,0.4166666666666667,0.2631578947368421,0.27571747041491657,0.2,0.15,0.16666666666666666
19.0,27.0,5.0,3328.0,0.41304347826086957,0.7916666666666666,0.5428571428571429,0.5678848137852323,0.3333333333333333,0.4,0.375
25.0,41.0,7.0,3306.0,0.3787878787878788,0.78125,0.510204081632653,0.5382036341799054,0.3333333333333333,0.3,0.28125
19.0,43.0,11.0,3306.0,0.3064516129032258,0.6333333333333333,0.4130434782608696,0.4336975639895625,0.2,0.15,0.13333333333333333
1.0,11.0,10.0,3358.0,0.08333333333333333,0.09090909090909091,0.08695652173913043,0.08392522380477747,0.2,0.4,0.0
16.0,46.0,13.0,3305.0,0.25806451612903225,0.5517241379310345,0.3516483516483517,0.3697702307536238,0.13333333333333333,0.15,0.20689655172413793
14.0,44.0,10.0,3311.0,0.2413793103448276,0.5833333333333334,0.34146341463414637,0.3686759535578121,0.13333333333333333,0.1,0.16666666666666666
14.0,29.0,9.0,3327.0,0.32558139534883723,0.6086956521739131,0.42424242424242425,0.44016781016783596,0.4,0.4,0.34782608695652173
5.0,13.0,6.0,3355.0,0.2777777777777778,0.45454545454545453,0.3448275862068966,0.3526838348590867,0.26666666666666666,0.35,0.2727272727272727
11.0,33.0,10.0,3325.0,0.25,0.5238095238095238,0.3384615384615385,0.3563065888641611,0.2,0.15,0.14285714285714285
7.0,7.0,4.0,3361.0,0.5,0.6363636363636364,0.56,0.5624843520366659,0.5333333333333333,0.55,0.36363636363636365
7.0,29.0,10.0,3333.0,0.19444444444444445,0.4117647058823529,0.2641509433962264,0.27781684181801436,0.06666666666666667,0.05,0.058823529411764705
7.0,19.0,8.0,3345.0,0.2692307692307692,0.4666666666666667,0.3414634146341463,0.3507427048961445,0.13333333333333333,0.15,0.13333333333333333
14.0,24.0,6.0,3335.0,0.3684210526315789,0.7,0.48275862068965514,0.5040020806123902,0.2,0.2,0.2
3.0,16.0,8.0,3353.0,0.15789473684210525,0.2727272727272727,0.19999999999999998,0.20414327470988533,0.13333333333333333,0.2,0.09090909090909091
20.0,36.0,8.0,3315.0,0.35714285714285715,0.7142857142857143,0.4761904761904762,0.49957129625316105,0.13333333333333333,0.2,0.21428571428571427
34.0,100.0,16.0,3229.0,0.2537313432835821,0.68,0.3695652173913044,0.40213272263595756,0.0,0.0,0.1
3.0,11.0,8.0,3357.0,0.21428571428571427,0.2727272727272727,0.23999999999999996,0.2389583082846945,0.26666666666666666,0.45,0.09090909090909091
14.0,39.0,5.0,3321.0,0.2641509433962264,0.7368421052631579,0.3888888888888889,0.43644157513655346,0.06666666666666667,0.1,0.05263157894736842
14.0,24.0,3.0,3338.0,0.3684210526315789,0.8235294117647058,0.509090909090909,0.5477613473218845,0.13333333333333333,0.35,0.23529411764705882
35.0,81.0,12.0,3252.0,0.3017241379310345,0.7446808510638298,0.4294478527607362,0.46336498349544114,0.13333333333333333,0.15,0.23404255319148937
38.0,104.0,15.0,3222.0,0.2676056338028169,0.7169811320754716,0.3897435897435897,0.42464449745091004,0.2,0.25,0.20754716981132076
7.0,20.0,6.0,3346.0,0.25925925925925924,0.5384615384615384,0.35000000000000003,0.3702802761007615,0.2,0.2,0.23076923076923078
13.0,28.0,7.0,3331.0,0.3170731707317073,0.65,0.42622950819672134,0.4495652199538247,0.2,0.25,0.25
