tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
9.0,17.0,6.0,2664.0,0.34615384615384615,0.6,0.43902439024390244,0.4518443419300452,0.3333333333333333,0.25,0.3333333333333333
5.0,12.0,10.0,2669.0,0.29411764705882354,0.3333333333333333,0.3125,0.30902301590061937,0.26666666666666666,0.4,0.26666666666666666
13.0,13.0,3.0,2667.0,0.5,0.8125,0.6190476190476191,0.6347575567049701,0.5333333333333333,0.5,0.5
4.0,7.0,6.0,2679.0,0.36363636363636365,0.4,0.380952380952381,0.37897076350788295,0.5333333333333333,0.4,0.3
18.0,34.0,19.0,2625.0,0.34615384615384615,0.4864864864864865,0.4044943820224719,0.4007105397345826,0.13333333333333333,0.2,0.21621621621621623
4.0,16.0,13.0,2663.0,0.2,0.23529411764705882,0.2162162162162162,0.21154267572287414,0.2,0.2,0.23529411764705882
5.0,8.0,9.0,2674.0,0.38461538461538464,0.35714285714285715,0.3703703703703704,0.3674607114329861,0.4666666666666667,0.6,0.42857142857142855
4.0,3.0,3.0,2685.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5703125,0.3333333333333333,0.25,0.5714285714285714
11.0,31.0,15.0,2639.0,0.2619047619047619,0.4230769230769231,0.3235294117647059,0.32471444987631604,0.0,0.0,0.07692307692307693
2.0,10.0,10.0,2674.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16294088425235967,0.3333333333333333,0.25,0.16666666666666666
2.0,2.0,6.0,2686.0,0.5,0.25,0.3333333333333333,0.35223916307727265,0.3333333333333333,0.25,0.625
8.0,22.0,16.0,2650.0,0.26666666666666666,0.3333333333333333,0.2962962962962963,0.29110512453822424,0.13333333333333333,0.1,0.08333333333333333
19.0,54.0,21.0,2602.0,0.2602739726027397,0.475,0.33628318584070793,0.3386713736904463,0.06666666666666667,0.05,0.15
4.0,17.0,7.0,2667.0,0.19047619047619047,0.36363636363636365,0.25,0.25907967594594455,0.06666666666666667,0.2,0.09090909090909091
17.0,25.0,2.0,2652.0,0.40476190476190477,0.8947368421052632,0.5573770491803278,0.5980870967417942,0.2,0.15,0.15789473684210525
15.0,19.0,4.0,2658.0,0.4411764705882353,0.7894736842105263,0.5660377358490566,0.5865068995672258,0.3333333333333333,0.3,0.2631578947368421
15.0,21.0,3.0,2656.0,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.5856810441915031,0.3333333333333333,0.3,0.2777777777777778
13.0,35.0,12.0,2636.0,0.2708333333333333,0.52,0.35616438356164387,0.3674061781142371,0.2,0.2,0.16
12.0,28.0,12.0,2644.0,0.3,0.5,0.37499999999999994,0.3803217011287546,0.26666666666666666,0.2,0.16666666666666666
6.0,5.0,2.0,2683.0,0.5454545454545454,0.75,0.631578947368421,0.6383721681331025,0.4666666666666667,0.35,0.375
10.0,23.0,11.0,2651.0,0.30303030303030304,0.47619047619047616,0.37037037037037035,0.3738468794010845,0.2,0.15,0.14285714285714285
10.0,21.0,9.0,2656.0,0.3225806451612903,0.5263157894736842,0.39999999999999997,0.4068142518493877,0.06666666666666667,0.1,0.10526315789473684
13.0,17.0,4.0,2661.0,0.43333333333333335,0.7647058823529411,0.5531914893617021,0.5722617336156884,0.4,0.45,0.47058823529411764
6.0,15.0,4.0,2671.0,0.2857142857142857,0.6,0.3870967741935483,0.41102816314777013,0.3333333333333333,0.3,0.3
6.0,20.0,10.0,2660.0,0.23076923076923078,0.375,0.2857142857142857,0.28885941018914096,0.3333333333333333,0.25,0.3125
3.0,8.0,6.0,2678.0,0.2727272727272727,0.3333333333333333,0.3,0.2989285865670064,0.4,0.4,0.2222222222222222
2.0,10.0,12.0,2672.0,0.16666666666666666,0.14285714285714285,0.15384615384615383,0.15022004401631578,0.3333333333333333,0.5,0.2857142857142857
5.0,12.0,8.0,2671.0,0.29411764705882354,0.38461538461538464,0.33333333333333337,0.3326732956847436,0.3333333333333333,0.4,0.23076923076923078
8.0,19.0,9.0,2660.0,0.2962962962962963,0.47058823529411764,0.3636363636363636,0.36846876050372573,0.06666666666666667,0.25,0.11764705882352941
1.0,7.0,7.0,2681.0,0.125,0.125,0.125,0.12239583333333333,0.4,0.3,0.125
10.0,25.0,13.0,2648.0,0.2857142857142857,0.43478260869565216,0.3448275862068965,0.3456486520118678,0.13333333333333333,0.1,0.21739130434782608
24.0,49.0,15.0,2608.0,0.3287671232876712,0.6153846153846154,0.42857142857142855,0.43913716849870243,0.06666666666666667,0.15,0.1794871794871795
2.0,7.0,7.0,2680.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.21961708638299632,0.4,0.3,0.2222222222222222
11.0,11.0,5.0,2669.0,0.5,0.6875,0.5789473684210527,0.5834551471055466,0.26666666666666666,0.45,0.3125
5.0,7.0,9.0,2675.0,0.4166666666666667,0.35714285714285715,0.3846153846153846,0.38279655933100987,0.4666666666666667,0.55,0.5
18.0,49.0,20.0,2609.0,0.26865671641791045,0.47368421052631576,0.3428571428571428,0.34473539507642226,0.13333333333333333,0.15,0.23684210526315788
