tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
2.0,12.0,24.0,3341.0,0.14285714285714285,0.07692307692307693,0.1,0.09977290769790641,0.13333333333333333,0.1,0.07692307692307693
8.0,45.0,55.0,3271.0,0.1509433962264151,0.12698412698412698,0.13793103448275862,0.12346488650609055,0.4,0.3,0.14285714285714285
4.0,20.0,23.0,3333.0,0.16666666666666666,0.14814814814814814,0.15686274509803924,0.15074078596587068,0.13333333333333333,0.15,0.14814814814814814
3.0,25.0,19.0,3332.0,0.10714285714285714,0.13636363636363635,0.11999999999999998,0.11437453055411843,0.06666666666666667,0.1,0.09090909090909091
3.0,15.0,12.0,3350.0,0.16666666666666666,0.2,0.1818181818181818,0.17858454916873748,0.2,0.15,0.2
3.0,55.0,42.0,3280.0,0.05172413793103448,0.06666666666666667,0.058252427184466014,0.044281975707674365,0.06666666666666667,0.1,0.06666666666666667
2.0,9.0,13.0,3355.0,0.18181818181818182,0.13333333333333333,0.15384615384615383,0.15248498053736728,0.13333333333333333,0.1,0.13333333333333333
6.0,49.0,32.0,3292.0,0.10909090909090909,0.15789473684210525,0.12903225806451613,0.11935690102655644,0.13333333333333333,0.15,0.10526315789473684
3.0,35.0,60.0,3281.0,0.07894736842105263,0.047619047619047616,0.0594059405940594,0.047544653588987365,0.2,0.15,0.047619047619047616
5.0,43.0,25.0,3306.0,0.10416666666666667,0.16666666666666666,0.12820512820512822,0.12193906853922584,0.26666666666666666,0.2,0.13333333333333333
4.0,33.0,26.0,3317.0,0.10810810810810811,0.13333333333333333,0.11940298507462686,0.11130628819650665,0.13333333333333333,0.1,0.1
3.0,11.0,26.0,3339.0,0.21428571428571427,0.10344827586206896,0.1395348837209302,0.1438399481932974,0.26666666666666666,0.25,0.20689655172413793
6.0,22.0,32.0,3320.0,0.21428571428571427,0.15789473684210525,0.18181818181818182,0.17600984007150305,0.2,0.2,0.15789473684210525
9.0,49.0,28.0,3293.0,0.15517241379310345,0.24324324324324326,0.18947368421052632,0.18314559199982414,0.26666666666666666,0.2,0.1891891891891892
2.0,20.0,11.0,3346.0,0.09090909090909091,0.15384615384615385,0.1142857142857143,0.11384730792737349,0.06666666666666667,0.05,0.07692307692307693
13.0,91.0,22.0,3254.0,0.125,0.37142857142857144,0.18705035971223022,0.20178289412176253,0.26666666666666666,0.25,0.17142857142857143
1.0,27.0,31.0,3320.0,0.03571428571428571,0.03125,0.03333333333333333,0.02476895274721409,0.06666666666666667,0.05,0.03125
5.0,19.0,23.0,3332.0,0.20833333333333334,0.17857142857142858,0.1923076923076923,0.18664357976083182,0.3333333333333333,0.25,0.17857142857142858
1.0,3.0,13.0,3362.0,0.25,0.07142857142857142,0.11111111111111112,0.1317670748332462,0.2,0.15,0.21428571428571427
6.0,25.0,19.0,3329.0,0.1935483870967742,0.24,0.21428571428571427,0.20901970681379461,0.2,0.2,0.16
2.0,15.0,14.0,3349.0,0.11764705882352941,0.125,0.12121212121212122,0.11695935429034363,0.13333333333333333,0.1,0.125
0.0,7.0,21.0,3351.0,0.0,0.0,0.0,-0.0036030852560087058,0.06666666666666667,0.05,0.047619047619047616
0.0,41.0,26.0,3312.0,0.0,0.0,0.0,-0.009759299799540056,0.0,0.0,0.0
2.0,20.0,34.0,3323.0,0.09090909090909091,0.05555555555555555,0.06896551724137931,0.06328150500551356,0.06666666666666667,0.1,0.1111111111111111
13.0,148.0,49.0,3169.0,0.08074534161490683,0.20967741935483872,0.11659192825112108,0.10399232178790374,0.13333333333333333,0.15,0.12903225806451613
0.0,7.0,25.0,3348.0,0.0,0.0,0.0,-0.003932462514644396,0.06666666666666667,0.05,0.04
1.0,13.0,21.0,3344.0,0.07142857142857142,0.045454545454545456,0.05555555555555555,0.05206384679514299,0.06666666666666667,0.1,0.09090909090909091
4.0,65.0,56.0,3254.0,0.057971014492753624,0.06666666666666667,0.06201550387596899,0.043964263790816895,0.26666666666666666,0.2,0.06666666666666667
7.0,90.0,61.0,3221.0,0.07216494845360824,0.10294117647058823,0.08484848484848484,0.06371085703626668,0.2,0.15,0.10294117647058823
4.0,24.0,23.0,3329.0,0.14285714285714285,0.14814814814814814,0.14545454545454545,0.1384704539870712,0.2,0.15,0.1111111111111111
5.0,42.0,34.0,3299.0,0.10638297872340426,0.1282051282051282,0.11627906976744187,0.10546045995730549,0.06666666666666667,0.1,0.10256410256410256
1.0,21.0,21.0,3336.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.03919896011048826,0.06666666666666667,0.05,0.045454545454545456
2.0,4.0,20.0,3353.0,0.3333333333333333,0.09090909090909091,0.14285714285714288,0.17138808440583664,0.13333333333333333,0.15,0.13636363636363635
1.0,12.0,13.0,3353.0,0.07692307692307693,0.07142857142857142,0.07407407407407408,0.07041373024864998,0.06666666666666667,0.05,0.07142857142857142
6.0,45.0,36.0,3293.0,0.11764705882352941,0.14285714285714285,0.12903225806451615,0.1175654202330616,0.0,0.15,0.09523809523809523
4.0,52.0,25.0,3298.0,0.07142857142857142,0.13793103448275862,0.09411764705882353,0.08844520928384705,0.13333333333333333,0.1,0.10344827586206896
4.0,15.0,14.0,3346.0,0.21052631578947367,0.2222222222222222,0.21621621621621623,0.21198284239765364,0.13333333333333333,0.2,0.16666666666666666
1.0,21.0,47.0,3310.0,0.045454545454545456,0.020833333333333332,0.028571428571428574,0.021377369490431928,0.06666666666666667,0.05,0.041666666666666664
1.0,13.0,18.0,3347.0,0.07142857142857142,0.05263157894736842,0.06060606060606061,0.05676441015217998,0.06666666666666667,0.1,0.05263157894736842
3.0,15.0,16.0,3345.0,0.16666666666666666,0.15789473684210525,0.16216216216216214,0.15761135124373898,0.2,0.15,0.15789473684210525
1.0,17.0,20.0,3341.0,0.05555555555555555,0.047619047619047616,0.05128205128205128,0.045945765678820215,0.06666666666666667,0.05,0.047619047619047616
0.0,9.0,22.0,3349.0,0.0,0.0,0.0,-0.004182277764646256,0.0,0.0,0.045454545454545456
4.0,34.0,26.0,3316.0,0.10526315789473684,0.13333333333333333,0.11764705882352941,0.10958285036945618,0.13333333333333333,0.1,0.06666666666666667
4.0,28.0,26.0,3322.0,0.125,0.13333333333333333,0.12903225806451615,0.12104278141968487,0.26666666666666666,0.2,0.13333333333333333
8.0,50.0,59.0,3262.0,0.13793103448275862,0.11940298507462686,0.12799999999999997,0.11195537495328502,0.13333333333333333,0.1,0.11940298507462686
6.0,25.0,10.0,3338.0,0.1935483870967742,0.375,0.25531914893617014,0.2646582131354863,0.2,0.2,0.1875
5.0,29.0,11.0,3334.0,0.14705882352941177,0.3125,0.2,0.2090178489384029,0.06666666666666667,0.15,0.0625
7.0,70.0,16.0,3286.0,0.09090909090909091,0.30434782608695654,0.13999999999999999,0.15619899043397267,0.13333333333333333,0.15,0.13043478260869565
1.0,8.0,16.0,3354.0,0.1111111111111111,0.058823529411764705,0.07692307692307691,0.07748271725379752,0.06666666666666667,0.05,0.058823529411764705
2.0,29.0,42.0,3306.0,0.06451612903225806,0.045454545454545456,0.05333333333333334,0.04370821927449759,0.13333333333333333,0.1,0.06818181818181818
3.0,49.0,35.0,3292.0,0.057692307692307696,0.07894736842105263,0.06666666666666667,0.05506622050133011,0.2,0.15,0.07894736842105263
5.0,40.0,26.0,3309.0,0.1111111111111111,0.16129032258064516,0.13157894736842105,0.12421646731862783,0.2,0.15,0.12903225806451613
2.0,11.0,13.0,3353.0,0.15384615384615385,0.13333333333333333,0.14285714285714288,0.13966900819770464,0.2,0.15,0.2
1.0,17.0,21.0,3341.0,0.05555555555555555,0.045454545454545456,0.049999999999999996,0.04462847279798927,0.06666666666666667,0.05,0.045454545454545456
4.0,28.0,26.0,3322.0,0.125,0.13333333333333333,0.12903225806451615,0.12104278141968487,0.2,0.15,0.13333333333333333
0.0,8.0,12.0,3359.0,0.0,0.0,0.0,-0.002908269723247632,0.0,0.0,0.0
0.0,6.0,12.0,3361.0,0.0,0.0,0.0,-0.002517888645817532,0.0,0.0,0.0
0.0,4.0,13.0,3362.0,0.0,0.0,0.0,-0.002139477519042497,0.0,0.0,0.0
0.0,19.0,39.0,3321.0,0.0,0.0,0.0,-0.008125801927918914,0.0,0.05,0.02564102564102564
1.0,13.0,21.0,3344.0,0.07142857142857142,0.045454545454545456,0.05555555555555555,0.05206384679514299,0.06666666666666667,0.1,0.09090909090909091
11.0,27.0,23.0,3318.0,0.2894736842105263,0.3235294117647059,0.30555555555555564,0.298571647748225,0.5333333333333333,0.45,0.3235294117647059
3.0,37.0,13.0,3326.0,0.075,0.1875,0.10714285714285712,0.11202754215997221,0.13333333333333333,0.1,0.125
9.0,74.0,46.0,3250.0,0.10843373493975904,0.16363636363636364,0.13043478260869565,0.11557099171771038,0.26666666666666666,0.2,0.10909090909090909
16.0,148.0,50.0,3165.0,0.0975609756097561,0.24242424242424243,0.1391304347826087,0.12734754788645683,0.2,0.15,0.12121212121212122
3.0,18.0,28.0,3330.0,0.14285714285714285,0.0967741935483871,0.11538461538461538,0.11088161822228829,0.2,0.15,0.0967741935483871
4.0,15.0,31.0,3329.0,0.21052631578947367,0.11428571428571428,0.14814814814814814,0.1486699953548313,0.26666666666666666,0.2,0.14285714285714285
2.0,35.0,10.0,3332.0,0.05405405405405406,0.16666666666666666,0.0816326530612245,0.08932814418959989,0.13333333333333333,0.1,0.16666666666666666
5.0,35.0,52.0,3288.0,0.125,0.08771929824561403,0.10309278350515463,0.09190550909107663,0.0,0.0,0.12280701754385964
1.0,26.0,37.0,3315.0,0.037037037037037035,0.02631578947368421,0.03076923076923077,0.021951186722470747,0.06666666666666667,0.05,0.05263157894736842
1.0,9.0,16.0,3353.0,0.1,0.058823529411764705,0.07407407407407408,0.07313005437922834,0.06666666666666667,0.1,0.11764705882352941
0.0,4.0,13.0,3362.0,0.0,0.0,0.0,-0.002139477519042497,0.06666666666666667,0.05,0.07692307692307693
4.0,122.0,25.0,3228.0,0.031746031746031744,0.13793103448275862,0.051612903225806445,0.04942154198194995,0.26666666666666666,0.2,0.13793103448275862
