tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
2.0,98.0,13.0,2583.0,0.02,0.13333333333333333,0.034782608695652174,0.038091357560262926,0.06666666666666667,0.05,0.06666666666666667
0.0,5.0,15.0,2676.0,0.0,0.0,0.0,-0.003224225257866228,0.0,0.0,0.0
1.0,8.0,15.0,2672.0,0.1111111111111111,0.0625,0.08,0.07924980344766125,0.13333333333333333,0.1,0.125
0.0,16.0,10.0,2670.0,0.0,0.0,0.0,-0.004714542880370678,0.0,0.0,0.0
3.0,48.0,34.0,2611.0,0.058823529411764705,0.08108108108108109,0.06818181818181818,0.05382744605894188,0.13333333333333333,0.15,0.08108108108108109
2.0,42.0,15.0,2637.0,0.045454545454545456,0.11764705882352941,0.06557377049180328,0.06370423363053922,0.06666666666666667,0.05,0.058823529411764705
0.0,15.0,14.0,2667.0,0.0,0.0,0.0,-0.005404205481301608,0.0,0.0,0.0
1.0,6.0,6.0,2682.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.140625,0.06666666666666667,0.05,0.14285714285714285
0.0,65.0,26.0,2605.0,0.0,0.0,0.0,-0.015510553554565149,0.0,0.0,0.0
2.0,80.0,10.0,2604.0,0.024390243902439025,0.16666666666666666,0.0425531914893617,0.05305178357580401,0.06666666666666667,0.05,0.08333333333333333
0.0,0.0,8.0,2688.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.1,0.25
4.0,102.0,20.0,2570.0,0.03773584905660377,0.16666666666666666,0.06153846153846154,0.06210127964833993,0.0,0.05,0.041666666666666664
0.0,91.0,40.0,2565.0,0.0,0.0,0.0,-0.02293679814825927,0.0,0.0,0.0
2.0,145.0,9.0,2539.0,0.013605442176870748,0.18181818181818182,0.025316455696202535,0.03587904110458192,0.0,0.0,0.0
1.0,9.0,18.0,2668.0,0.1,0.05263157894736842,0.06896551724137931,0.06779959137807512,0.06666666666666667,0.05,0.05263157894736842
1.0,13.0,18.0,2664.0,0.07142857142857142,0.05263157894736842,0.06060606060606061,0.05560474877573669,0.06666666666666667,0.05,0.05263157894736842
2.0,6.0,16.0,2671.0,0.25,0.1111111111111111,0.15384615384615383,0.16300053182850988,0.26666666666666666,0.25,0.2777777777777778
2.0,15.0,23.0,2656.0,0.11764705882352941,0.08,0.09523809523809526,0.09006921842135723,0.13333333333333333,0.1,0.08
1.0,3.0,23.0,2669.0,0.25,0.041666666666666664,0.07142857142857142,0.09894229432129384,0.06666666666666667,0.15,0.125
0.0,6.0,8.0,2682.0,0.0,0.0,0.0,-0.002576498218429393,0.0,0.0,0.0
2.0,21.0,19.0,2653.0,0.08695652173913043,0.09523809523809523,0.0909090909090909,0.08353020826717289,0.0,0.1,0.09523809523809523
2.0,13.0,17.0,2664.0,0.13333333333333333,0.10526315789473684,0.11764705882352941,0.11291999110551905,0.13333333333333333,0.1,0.10526315789473684
4.0,13.0,13.0,2665.0,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23043974871502,0.2,0.25,0.23529411764705882
1.0,2.0,9.0,2684.0,0.3333333333333333,0.1,0.15384615384615383,0.18097906361540173,0.06666666666666667,0.05,0.1
0.0,9.0,16.0,2671.0,0.0,0.0,0.0,-0.004471775743128221,0.0,0.05,0.0625
1.0,5.0,8.0,2681.0,0.16666666666666666,0.1111111111111111,0.13333333333333333,0.13372823603756404,0.06666666666666667,0.05,0.1111111111111111
0.0,1.0,14.0,2681.0,0.0,0.0,0.0,-0.001391730824761937,0.0,0.0,0.0
1.0,5.0,12.0,2678.0,0.16666666666666666,0.07692307692307693,0.10526315789473684,0.11034073296370638,0.06666666666666667,0.05,0.07692307692307693
1.0,21.0,16.0,2658.0,0.045454545454545456,0.058823529411764705,0.05128205128205128,0.04486000896470653,0.06666666666666667,0.05,0.058823529411764705
0.0,5.0,8.0,2683.0,0.0,0.0,0.0,-0.0023515732678878326,0.0,0.0,0.0
3.0,12.0,20.0,2661.0,0.2,0.13043478260869565,0.15789473684210528,0.1557226642243563,0.2,0.2,0.17391304347826086
4.0,82.0,35.0,2575.0,0.046511627906976744,0.10256410256410256,0.064,0.04871820221949252,0.0,0.05,0.07692307692307693
0.0,5.0,9.0,2682.0,0.0,0.0,0.0,-0.0024946841903953805,0.0,0.0,0.0
2.0,47.0,14.0,2633.0,0.04081632653061224,0.125,0.061538461538461535,0.061788844182132825,0.13333333333333333,0.1,0.125
1.0,16.0,13.0,2666.0,0.058823529411764705,0.07142857142857142,0.06451612903225808,0.05943984338589685,0.06666666666666667,0.1,0.07142857142857142
5.0,58.0,33.0,2600.0,0.07936507936507936,0.13157894736842105,0.09900990099009901,0.08564655195012708,0.13333333333333333,0.15,0.13157894736842105
3.0,45.0,39.0,2609.0,0.0625,0.07142857142857142,0.06666666666666667,0.05101255186726751,0.13333333333333333,0.15,0.07142857142857142
0.0,29.0,10.0,2657.0,0.0,0.0,0.0,-0.006362598033920837,0.0,0.0,0.0
0.0,18.0,17.0,2661.0,0.0,0.0,0.0,-0.006530840391755304,0.0,0.0,0.0
3.0,158.0,21.0,2514.0,0.018633540372670808,0.125,0.032432432432432434,0.026109475159028683,0.06666666666666667,0.05,0.041666666666666664
2.0,301.0,15.0,2377.0,0.006600660066006601,0.11764705882352941,0.0125,0.0013157284090068591,0.0,0.0,0.0
3.0,385.0,14.0,2293.0,0.007731958762886598,0.17647058823529413,0.014814814814814815,0.007376074434244518,0.0,0.0,0.0
2.0,17.0,10.0,2667.0,0.10526315789473684,0.16666666666666666,0.12903225806451615,0.12758610189565314,0.06666666666666667,0.1,0.08333333333333333
2.0,389.0,15.0,2289.0,0.005115089514066497,0.11764705882352941,0.009803921568627453,-0.00620691666591512,0.0,0.0,0.0
0.0,4.0,13.0,2679.0,0.0,0.0,0.0,-0.002683204710605697,0.0,0.0,0.0
0.0,0.0,8.0,2688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,90.0,20.0,2584.0,0.021739130434782608,0.09090909090909091,0.03508771929824561,0.02837041164671439,0.06666666666666667,0.1,0.09090909090909091
0.0,47.0,19.0,2630.0,0.0,0.0,0.0,-0.01122174936723259,0.0,0.0,0.0
1.0,18.0,10.0,2667.0,0.05263157894736842,0.09090909090909091,0.06666666666666667,0.06416619866954384,0.06666666666666667,0.05,0.09090909090909091
3.0,114.0,26.0,2553.0,0.02564102564102564,0.10344827586206896,0.0410958904109589,0.030733108406302365,0.0,0.05,0.034482758620689655
0.0,0.0,11.0,2685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
