tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
3.0,22.0,24.0,3391.0,0.12,0.1111111111111111,0.11538461538461538,0.10873937873885155,0.13333333333333333,0.1,0.1111111111111111
4.0,82.0,59.0,3295.0,0.046511627906976744,0.06349206349206349,0.053691275167785234,0.033674691495838474,0.13333333333333333,0.15,0.06349206349206349
4.0,27.0,23.0,3386.0,0.12903225806451613,0.14814814814814814,0.13793103448275862,0.13095406092546658,0.26666666666666666,0.2,0.14814814814814814
2.0,10.0,20.0,3408.0,0.16666666666666666,0.09090909090909091,0.11764705882352942,0.11895620407836958,0.2,0.15,0.13636363636363635
4.0,20.0,11.0,3405.0,0.16666666666666666,0.26666666666666666,0.2051282051282051,0.20647350444440637,0.2,0.2,0.2
8.0,60.0,37.0,3335.0,0.11764705882352941,0.17777777777777778,0.1415929203539823,0.13068690328275528,0.3333333333333333,0.25,0.13333333333333333
3.0,7.0,13.0,3417.0,0.3,0.1875,0.23076923076923075,0.23437958373127796,0.2,0.15,0.1875
8.0,28.0,30.0,3374.0,0.2222222222222222,0.21052631578947367,0.21621621621621623,0.2077781755599847,0.13333333333333333,0.1,0.21052631578947367
5.0,50.0,58.0,3327.0,0.09090909090909091,0.07936507936507936,0.0847457627118644,0.06901320194512298,0.26666666666666666,0.25,0.07936507936507936
4.0,62.0,26.0,3348.0,0.06060606060606061,0.13333333333333333,0.08333333333333333,0.07804821350981948,0.2,0.15,0.1
4.0,28.0,26.0,3382.0,0.125,0.13333333333333333,0.12903225806451615,0.12118458239063389,0.2,0.15,0.13333333333333333
1.0,4.0,28.0,3407.0,0.2,0.034482758620689655,0.0588235294117647,0.07994056021250827,0.13333333333333333,0.15,0.1724137931034483
4.0,18.0,34.0,3384.0,0.18181818181818182,0.10526315789473684,0.13333333333333333,0.131081265876855,0.2,0.15,0.15789473684210525
2.0,14.0,36.0,3388.0,0.125,0.05263157894736842,0.07407407407407407,0.0745281305149376,0.13333333333333333,0.15,0.13157894736842105
2.0,11.0,11.0,3416.0,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15063634935242756,0.13333333333333333,0.15,0.15384615384615385
3.0,27.0,32.0,3378.0,0.1,0.08571428571428572,0.09230769230769231,0.08395553567862095,0.2,0.15,0.14285714285714285
1.0,21.0,31.0,3387.0,0.045454545454545456,0.03125,0.037037037037037035,0.03021300629938301,0.0,0.05,0.03125
3.0,31.0,25.0,3381.0,0.08823529411764706,0.10714285714285714,0.0967741935483871,0.08906387259586493,0.13333333333333333,0.1,0.10714285714285714
0.0,6.0,14.0,3420.0,0.0,0.0,0.0,-0.0026720576157778864,0.06666666666666667,0.05,0.07142857142857142
7.0,33.0,18.0,3382.0,0.175,0.28,0.2153846153846154,0.21419088829606792,0.26666666666666666,0.25,0.2
2.0,28.0,14.0,3396.0,0.06666666666666667,0.125,0.08695652173913045,0.0854899942355114,0.13333333333333333,0.1,0.125
2.0,13.0,19.0,3406.0,0.13333333333333333,0.09523809523809523,0.1111111111111111,0.1080935089513102,0.13333333333333333,0.15,0.14285714285714285
1.0,25.0,25.0,3389.0,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.031138749943670857,0.06666666666666667,0.05,0.038461538461538464
6.0,19.0,30.0,3385.0,0.24,0.16666666666666666,0.19672131147540983,0.19299042561431573,0.3333333333333333,0.3,0.16666666666666666
3.0,27.0,60.0,3350.0,0.1,0.047619047619047616,0.06451612903225806,0.05714180472780345,0.2,0.15,0.047619047619047616
3.0,19.0,22.0,3396.0,0.13636363636363635,0.12,0.1276595744680851,0.12193596953328606,0.13333333333333333,0.15,0.12
1.0,15.0,21.0,3403.0,0.0625,0.045454545454545456,0.052631578947368425,0.04811196033710889,0.06666666666666667,0.05,0.045454545454545456
10.0,51.0,51.0,3328.0,0.16393442622950818,0.16393442622950818,0.16393442622950818,0.14884120338251206,0.26666666666666666,0.2,0.16393442622950818
6.0,74.0,63.0,3297.0,0.075,0.08695652173913043,0.08053691275167785,0.06046906276455077,0.26666666666666666,0.25,0.08695652173913043
2.0,29.0,25.0,3384.0,0.06451612903225806,0.07407407407407407,0.06896551724137931,0.06123619826453568,0.13333333333333333,0.1,0.07407407407407407
3.0,32.0,36.0,3369.0,0.08571428571428572,0.07692307692307693,0.08108108108108107,0.07122580894167964,0.2,0.15,0.10256410256410256
1.0,17.0,21.0,3401.0,0.05555555555555555,0.045454545454545456,0.049999999999999996,0.044727129134114085,0.06666666666666667,0.1,0.09090909090909091
1.0,3.0,21.0,3415.0,0.25,0.045454545454545456,0.07692307692307693,0.10426776563813259,0.06666666666666667,0.05,0.045454545454545456
1.0,9.0,13.0,3417.0,0.1,0.07142857142857142,0.08333333333333333,0.08135967080750693,0.13333333333333333,0.1,0.14285714285714285
6.0,35.0,36.0,3363.0,0.14634146341463414,0.14285714285714285,0.14457831325301207,0.13414403883186996,0.2,0.2,0.14285714285714285
2.0,27.0,27.0,3384.0,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.06104994995905741,0.13333333333333333,0.1,0.06896551724137931
1.0,8.0,17.0,3414.0,0.1111111111111111,0.05555555555555555,0.07407407407407407,0.07516247637257703,0.06666666666666667,0.05,0.05555555555555555
1.0,18.0,48.0,3373.0,0.05263157894736842,0.02040816326530612,0.02941176470588235,0.024142675040989464,0.06666666666666667,0.1,0.08163265306122448
2.0,9.0,17.0,3412.0,0.18181818181818182,0.10526315789473684,0.13333333333333333,0.13472789300381152,0.13333333333333333,0.1,0.10526315789473684
3.0,10.0,16.0,3411.0,0.23076923076923078,0.15789473684210525,0.18749999999999997,0.1871874672187834,0.2,0.15,0.15789473684210525
2.0,13.0,19.0,3406.0,0.13333333333333333,0.09523809523809523,0.1111111111111111,0.1080935089513102,0.13333333333333333,0.1,0.09523809523809523
0.0,23.0,22.0,3395.0,0.0,0.0,0.0,-0.006582134308457954,0.0,0.0,0.0
3.0,53.0,27.0,3357.0,0.05357142857142857,0.1,0.06976744186046512,0.062053564715368506,0.13333333333333333,0.15,0.1
1.0,27.0,29.0,3383.0,0.03571428571428571,0.03333333333333333,0.03448275862068965,0.026299773254074267,0.0,0.0,0.03333333333333333
7.0,39.0,60.0,3334.0,0.15217391304347827,0.1044776119402985,0.12389380530973454,0.1117886018966943,0.2,0.2,0.14925373134328357
2.0,23.0,14.0,3401.0,0.08,0.125,0.09756097560975609,0.09475077659111143,0.06666666666666667,0.05,0.0625
