tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
5.0,26.0,21.0,3327.0,0.16129032258064516,0.19230769230769232,0.17543859649122806,0.16914222115903177,0.3333333333333333,0.25,0.19230769230769232
14.0,36.0,49.0,3280.0,0.28,0.2222222222222222,0.24778761061946905,0.23679377941333318,0.5333333333333333,0.45,0.25396825396825395
4.0,11.0,23.0,3342.0,0.26666666666666666,0.14814814814814814,0.19047619047619047,0.19401328642738436,0.26666666666666666,0.2,0.14814814814814814
5.0,19.0,17.0,3338.0,0.20833333333333334,0.22727272727272727,0.21739130434782608,0.21224144230569714,0.26666666666666666,0.2,0.22727272727272727
2.0,20.0,13.0,3345.0,0.09090909090909091,0.13333333333333333,0.10810810810810811,0.10529824255613403,0.13333333333333333,0.1,0.13333333333333333
7.0,30.0,38.0,3305.0,0.1891891891891892,0.15555555555555556,0.17073170731707318,0.1614361307440614,0.26666666666666666,0.3,0.17777777777777778
8.0,39.0,7.0,3325.0,0.1702127659574468,0.5333333333333333,0.25806451612903225,0.29615994790151545,0.26666666666666666,0.25,0.26666666666666666
3.0,28.0,35.0,3313.0,0.0967741935483871,0.07894736842105263,0.08695652173913043,0.07804694873621751,0.13333333333333333,0.15,0.10526315789473684
12.0,55.0,51.0,3261.0,0.1791044776119403,0.19047619047619047,0.18461538461538463,0.16872111346501692,0.2,0.25,0.19047619047619047
8.0,25.0,22.0,3324.0,0.24242424242424243,0.26666666666666666,0.253968253968254,0.2472499401737121,0.4,0.35,0.26666666666666666
1.0,15.0,29.0,3335.0,0.0625,0.03333333333333333,0.04347826086956522,0.03943001861728199,0.06666666666666667,0.05,0.03333333333333333
8.0,23.0,21.0,3327.0,0.25806451612903225,0.27586206896551724,0.26666666666666666,0.2602521310720991,0.3333333333333333,0.25,0.27586206896551724
11.0,31.0,27.0,3311.0,0.2619047619047619,0.2894736842105263,0.2750000000000001,0.2666809128869632,0.4666666666666667,0.4,0.2894736842105263
8.0,42.0,29.0,3300.0,0.16,0.21621621621621623,0.18390804597701146,0.17552712320520994,0.26666666666666666,0.2,0.1891891891891892
4.0,8.0,9.0,3358.0,0.3333333333333333,0.3076923076923077,0.32,0.31773535696292027,0.3333333333333333,0.25,0.3076923076923077
3.0,15.0,32.0,3330.0,0.16666666666666666,0.08571428571428572,0.11320754716981132,0.11298305837228423,0.2,0.15,0.17142857142857143
7.0,24.0,25.0,3323.0,0.22580645161290322,0.21875,0.2222222222222222,0.21493277894359927,0.26666666666666666,0.2,0.21875
9.0,29.0,19.0,3322.0,0.23684210526315788,0.32142857142857145,0.2727272727272727,0.2688855392401326,0.4666666666666667,0.35,0.2857142857142857
3.0,6.0,11.0,3359.0,0.3333333333333333,0.21428571428571427,0.2608695652173913,0.2648406859779673,0.2,0.15,0.21428571428571427
6.0,23.0,19.0,3331.0,0.20689655172413793,0.24,0.22222222222222224,0.2165965878397643,0.3333333333333333,0.25,0.24
2.0,10.0,14.0,3354.0,0.16666666666666666,0.125,0.14285714285714288,0.14082134720068476,0.2,0.15,0.1875
3.0,19.0,18.0,3339.0,0.13636363636363635,0.14285714285714285,0.1395348837209302,0.13406455451124188,0.2,0.15,0.14285714285714285
3.0,23.0,23.0,3330.0,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.10852508660441855,0.2,0.15,0.11538461538461539
5.0,19.0,31.0,3324.0,0.20833333333333334,0.1388888888888889,0.16666666666666669,0.16285057349920443,0.26666666666666666,0.25,0.1388888888888889
12.0,45.0,50.0,3272.0,0.21052631578947367,0.1935483870967742,0.20168067226890754,0.18756862649512074,0.6,0.45,0.20967741935483872
3.0,6.0,22.0,3349.0,0.3333333333333333,0.12,0.1764705882352941,0.19655125490618378,0.26666666666666666,0.2,0.16
4.0,23.0,18.0,3334.0,0.14814814814814814,0.18181818181818182,0.16326530612244897,0.15805521818058768,0.2,0.15,0.18181818181818182
14.0,46.0,46.0,3273.0,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.2194737370693984,0.4,0.3,0.23333333333333334
19.0,32.0,49.0,3279.0,0.37254901960784315,0.27941176470588236,0.319327731092437,0.31068046085899037,0.5333333333333333,0.6,0.3088235294117647
8.0,13.0,19.0,3340.0,0.38095238095238093,0.2962962962962963,0.3333333333333333,0.3312759068928348,0.4,0.35,0.2962962962962963
4.0,37.0,35.0,3304.0,0.0975609756097561,0.10256410256410256,0.1,0.08925694306978262,0.26666666666666666,0.2,0.10256410256410256
3.0,19.0,19.0,3338.0,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.1307038210523465,0.13333333333333333,0.15,0.13636363636363635
5.0,23.0,17.0,3334.0,0.17857142857142858,0.22727272727272727,0.2,0.19555750266678856,0.3333333333333333,0.25,0.22727272727272727
1.0,5.0,13.0,3360.0,0.16666666666666666,0.07142857142857142,0.1,0.10671244510608222,0.06666666666666667,0.05,0.07142857142857142
7.0,31.0,35.0,3307.0,0.18421052631578946,0.16666666666666666,0.175,0.1653565552478068,0.3333333333333333,0.3,0.19047619047619047
6.0,12.0,23.0,3338.0,0.3333333333333333,0.20689655172413793,0.2553191489361702,0.25764348540713283,0.4,0.3,0.2413793103448276
