tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
4.0,110.0,15.0,3250.0,0.03508771929824561,0.21052631578947367,0.06015037593984962,0.07363010230135021,0.0,0.0,0.0
1.0,95.0,18.0,3265.0,0.010416666666666666,0.05263157894736842,0.017391304347826087,0.010962583045095616,0.0,0.0,0.0
2.0,15.0,20.0,3343.0,0.11764705882352941,0.09090909090909091,0.10256410256410256,0.09826284487651506,0.13333333333333333,0.1,0.09090909090909091
0.0,63.0,11.0,3305.0,0.0,0.0,0.0,-0.007877226168042652,0.0,0.0,0.0
3.0,33.0,45.0,3298.0,0.08333333333333333,0.0625,0.07142857142857144,0.060620146106287194,0.0,0.1,0.0625
1.0,23.0,19.0,3336.0,0.041666666666666664,0.05,0.04545454545454545,0.0394163433622385,0.0,0.0,0.0
1.0,33.0,16.0,3329.0,0.029411764705882353,0.058823529411764705,0.03921568627450981,0.03474179665431,0.0,0.0,0.0
0.0,10.0,11.0,3358.0,0.0,0.0,0.0,-0.003113578327814087,0.0,0.0,0.0
5.0,154.0,28.0,3192.0,0.031446540880503145,0.15151515151515152,0.05208333333333333,0.04898971644092733,0.0,0.05,0.030303030303030304
1.0,14.0,14.0,3350.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06250495441934205,0.06666666666666667,0.05,0.06666666666666667
1.0,19.0,10.0,3350.0,0.05,0.09090909090909091,0.06451612903225806,0.06332214210068275,0.06666666666666667,0.05,0.09090909090909091
2.0,50.0,27.0,3301.0,0.038461538461538464,0.06896551724137931,0.04938271604938272,0.04049908151776667,0.0,0.0,0.034482758620689655
9.0,154.0,39.0,3177.0,0.05521472392638037,0.1875,0.08530805687203791,0.07801871528006848,0.06666666666666667,0.05,0.08333333333333333
0.0,34.0,14.0,3331.0,0.0,0.0,0.0,-0.006502986928269458,0.0,0.0,0.0
1.0,23.0,23.0,3332.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.03481122702434178,0.06666666666666667,0.05,0.041666666666666664
2.0,26.0,22.0,3329.0,0.07142857142857142,0.08333333333333333,0.07692307692307691,0.07001866648735884,0.06666666666666667,0.05,0.08333333333333333
