tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
2.0,4.0,25.0,3409.0,0.3333333333333333,0.07407407407407407,0.12121212121212122,0.15417508718268205,0.2,0.25,0.18518518518518517
13.0,27.0,50.0,3350.0,0.325,0.20634920634920634,0.2524271844660194,0.2480888190202954,0.5333333333333333,0.55,0.23809523809523808
6.0,26.0,21.0,3387.0,0.1875,0.2222222222222222,0.20338983050847456,0.19727118118799988,0.26666666666666666,0.25,0.2222222222222222
3.0,4.0,19.0,3414.0,0.42857142857142855,0.13636363636363635,0.20689655172413793,0.2391480334989794,0.3333333333333333,0.25,0.22727272727272727
2.0,7.0,13.0,3418.0,0.2222222222222222,0.13333333333333333,0.16666666666666669,0.16934579718542955,0.13333333333333333,0.2,0.13333333333333333
7.0,37.0,38.0,3358.0,0.1590909090909091,0.15555555555555556,0.15730337078651688,0.14627023140410264,0.4666666666666667,0.35,0.15555555555555556
2.0,16.0,14.0,3408.0,0.1111111111111111,0.125,0.11764705882352941,0.11347862743433035,0.13333333333333333,0.15,0.125
7.0,25.0,31.0,3377.0,0.21875,0.18421052631578946,0.19999999999999998,0.19256106369694628,0.26666666666666666,0.3,0.18421052631578946
5.0,30.0,58.0,3347.0,0.14285714285714285,0.07936507936507936,0.1020408163265306,0.09417119570462999,0.2,0.15,0.12698412698412698
4.0,17.0,26.0,3393.0,0.19047619047619047,0.13333333333333333,0.1568627450980392,0.15320315584852215,0.26666666666666666,0.2,0.16666666666666666
2.0,19.0,28.0,3391.0,0.09523809523809523,0.06666666666666667,0.0784313725490196,0.07292610236506195,0.13333333333333333,0.1,0.13333333333333333
4.0,19.0,25.0,3392.0,0.17391304347826086,0.13793103448275862,0.15384615384615385,0.14849536624003667,0.26666666666666666,0.2,0.13793103448275862
6.0,24.0,32.0,3378.0,0.2,0.15789473684210525,0.17647058823529413,0.16956563537591882,0.26666666666666666,0.25,0.15789473684210525
8.0,42.0,30.0,3360.0,0.16,0.21052631578947367,0.1818181818181818,0.173075390912198,0.26666666666666666,0.2,0.13157894736842105
2.0,10.0,11.0,3417.0,0.16666666666666666,0.15384615384615385,0.16,0.157068084265772,0.13333333333333333,0.1,0.15384615384615385
7.0,29.0,28.0,3376.0,0.19444444444444445,0.2,0.19718309859154928,0.1888326264346281,0.3333333333333333,0.25,0.2
5.0,14.0,27.0,3394.0,0.2631578947368421,0.15625,0.19607843137254902,0.19707004659375144,0.3333333333333333,0.25,0.25
8.0,21.0,20.0,3391.0,0.27586206896551724,0.2857142857142857,0.28070175438596495,0.2747375252814991,0.26666666666666666,0.2,0.2857142857142857
0.0,5.0,14.0,3421.0,0.0,0.0,0.0,-0.0024388886353702995,0.0,0.0,0.0
5.0,15.0,20.0,3400.0,0.25,0.2,0.22222222222222224,0.21853603637651445,0.26666666666666666,0.25,0.2
3.0,12.0,13.0,3412.0,0.2,0.1875,0.19354838709677422,0.190001813140088,0.2,0.15,0.1875
5.0,15.0,16.0,3404.0,0.25,0.23809523809523808,0.24390243902439024,0.2394444129132102,0.3333333333333333,0.25,0.23809523809523808
5.0,26.0,21.0,3388.0,0.16129032258064516,0.19230769230769232,0.17543859649122806,0.16926694301049885,0.26666666666666666,0.2,0.19230769230769232
5.0,22.0,31.0,3382.0,0.18518518518518517,0.1388888888888889,0.15873015873015875,0.1527105167429849,0.3333333333333333,0.25,0.1388888888888889
8.0,45.0,55.0,3332.0,0.1509433962264151,0.12698412698412698,0.13793103448275862,0.12373510149174909,0.4,0.35,0.14285714285714285
3.0,5.0,22.0,3410.0,0.375,0.12,0.18181818181818182,0.20902417648640756,0.26666666666666666,0.25,0.28
4.0,15.0,18.0,3403.0,0.21052631578947367,0.18181818181818182,0.1951219512195122,0.19084036088159476,0.13333333333333333,0.2,0.18181818181818182
14.0,44.0,47.0,3335.0,0.2413793103448276,0.22950819672131148,0.23529411764705882,0.22191630881330088,0.4666666666666667,0.45,0.22950819672131148
14.0,49.0,55.0,3322.0,0.2222222222222222,0.2028985507246377,0.21212121212121213,0.19695330135103917,0.4666666666666667,0.4,0.21739130434782608
6.0,29.0,21.0,3384.0,0.17142857142857143,0.2222222222222222,0.1935483870967742,0.18793747108513456,0.13333333333333333,0.2,0.18518518518518517
4.0,26.0,35.0,3375.0,0.13333333333333333,0.10256410256410256,0.11594202898550725,0.1080817315452099,0.26666666666666666,0.2,0.15384615384615385
3.0,15.0,19.0,3403.0,0.16666666666666666,0.13636363636363635,0.15,0.14581866935839297,0.2,0.15,0.13636363636363635
