tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
1.0,3.0,18.0,3357.0,0.25,0.05263157894736842,0.08695652173913043,0.11251106879549123,0.06666666666666667,0.05,0.05263157894736842
3.0,4.0,16.0,3356.0,0.42857142857142855,0.15789473684210525,0.23076923076923078,0.25771188106102966,0.2,0.2,0.15789473684210525
1.0,23.0,21.0,3335.0,0.041666666666666664,0.045454545454545456,0.043478260869565216,0.0369727060480251,0.06666666666666667,0.05,0.045454545454545456
0.0,5.0,11.0,3363.0,0.0,0.0,0.0,-0.0022000004224001215,0.0,0.0,0.0
6.0,48.0,42.0,3283.0,0.1111111111111111,0.125,0.11764705882352941,0.10435920126307695,0.13333333333333333,0.1,0.10416666666666667
2.0,25.0,18.0,3334.0,0.07407407407407407,0.1,0.0851063829787234,0.07974378233822048,0.06666666666666667,0.05,0.05
3.0,16.0,14.0,3346.0,0.15789473684210525,0.17647058823529413,0.16666666666666669,0.16247116673636794,0.13333333333333333,0.15,0.17647058823529413
1.0,8.0,10.0,3360.0,0.1111111111111111,0.09090909090909091,0.09999999999999999,0.097848743819219,0.06666666666666667,0.05,0.09090909090909091
0.0,79.0,33.0,3267.0,0.0,0.0,0.0,-0.01536563728989353,0.0,0.0,0.0
2.0,7.0,13.0,3357.0,0.2222222222222222,0.13333333333333333,0.16666666666666669,0.1692953099283048,0.13333333333333333,0.1,0.13333333333333333
0.0,14.0,11.0,3355.0,0.0,0.0,0.0,-0.0036851298818421233,0.0,0.0,0.0
3.0,132.0,26.0,3219.0,0.022222222222222223,0.10344827586206896,0.03658536585365854,0.030170249944215494,0.0,0.0,0.0
6.0,166.0,42.0,3165.0,0.03488372093023256,0.125,0.05454545454545454,0.04046789003759732,0.0,0.0,0.020833333333333332
0.0,46.0,14.0,3319.0,0.0,0.0,0.0,-0.007577618603133814,0.0,0.0,0.0
6.0,34.0,18.0,3321.0,0.15,0.25,0.18749999999999997,0.1862439349315129,0.26666666666666666,0.2,0.16666666666666666
3.0,36.0,21.0,3319.0,0.07692307692307693,0.125,0.09523809523809525,0.08984162750292876,0.2,0.15,0.125
