tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
5.0,43.0,22.0,3370.0,0.10416666666666667,0.18518518518518517,0.13333333333333333,0.1298397887903262,0.13333333333333333,0.1,0.1111111111111111
25.0,194.0,38.0,3183.0,0.1141552511415525,0.3968253968253968,0.1773049645390071,0.18638116318750209,0.3333333333333333,0.25,0.19047619047619047
8.0,43.0,19.0,3370.0,0.1568627450980392,0.2962962962962963,0.20512820512820515,0.20714980280814826,0.13333333333333333,0.15,0.18518518518518517
6.0,36.0,16.0,3382.0,0.14285714285714285,0.2727272727272727,0.18749999999999997,0.1903202972873337,0.26666666666666666,0.25,0.2727272727272727
5.0,11.0,10.0,3414.0,0.3125,0.3333333333333333,0.3225806451612903,0.31968559036268773,0.26666666666666666,0.25,0.26666666666666666
13.0,84.0,32.0,3311.0,0.13402061855670103,0.28888888888888886,0.18309859154929578,0.18130807630377918,0.3333333333333333,0.25,0.17777777777777778
4.0,25.0,12.0,3399.0,0.13793103448275862,0.25,0.17777777777777778,0.18061519255588676,0.2,0.15,0.1875
2.0,54.0,36.0,3348.0,0.03571428571428571,0.05263157894736842,0.0425531914893617,0.030360455871739536,0.0,0.0,0.02631578947368421
23.0,243.0,40.0,3134.0,0.08646616541353383,0.36507936507936506,0.13981762917933127,0.14714311655440354,0.26666666666666666,0.2,0.09523809523809523
1.0,17.0,29.0,3393.0,0.05555555555555555,0.03333333333333333,0.04166666666666667,0.036532881307986716,0.0,0.05,0.06666666666666667
2.0,38.0,28.0,3372.0,0.05,0.06666666666666667,0.05714285714285715,0.04815496423796994,0.13333333333333333,0.1,0.06666666666666667
5.0,8.0,24.0,3403.0,0.38461538461538464,0.1724137931034483,0.23809523809523808,0.25341648216452506,0.3333333333333333,0.25,0.20689655172413793
6.0,38.0,32.0,3364.0,0.13636363636363635,0.15789473684210525,0.14634146341463414,0.1364747819190897,0.2,0.2,0.15789473684210525
7.0,57.0,31.0,3345.0,0.109375,0.18421052631578946,0.1372549019607843,0.12952918123979013,0.26666666666666666,0.2,0.15789473684210525
4.0,38.0,9.0,3389.0,0.09523809523809523,0.3076923076923077,0.14545454545454545,0.1657178314746997,0.2,0.2,0.23076923076923078
4.0,21.0,31.0,3384.0,0.16,0.11428571428571428,0.13333333333333333,0.12773987423519065,0.26666666666666666,0.2,0.17142857142857143
