tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
1.0,6.0,19.0,3414.0,0.14285714285714285,0.05,0.07407407407407408,0.08139541978068902,0.2,0.15,0.15
2.0,11.0,18.0,3409.0,0.15384615384615385,0.1,0.12121212121212123,0.11992264818008228,0.13333333333333333,0.15,0.15
7.0,74.0,15.0,3344.0,0.08641975308641975,0.3181818181818182,0.13592233009708737,0.15589099541161267,0.2,0.25,0.22727272727272727
1.0,31.0,10.0,3398.0,0.03125,0.09090909090909091,0.046511627906976744,0.04814735393541378,0.06666666666666667,0.05,0.09090909090909091
12.0,89.0,36.0,3303.0,0.1188118811881188,0.25,0.1610738255033557,0.15547679387987362,0.2,0.15,0.125
3.0,10.0,18.0,3409.0,0.23076923076923078,0.14285714285714285,0.17647058823529413,0.1776431543230619,0.2,0.15,0.14285714285714285
1.0,11.0,16.0,3412.0,0.08333333333333333,0.058823529411764705,0.06896551724137931,0.06614081971519331,0.06666666666666667,0.05,0.058823529411764705
0.0,3.0,11.0,3426.0,0.0,0.0,0.0,-0.0016733371820437026,0.06666666666666667,0.05,0.09090909090909091
2.0,58.0,31.0,3349.0,0.03333333333333333,0.06060606060606061,0.043010752688172046,0.03245032628695666,0.06666666666666667,0.05,0.030303030303030304
0.0,14.0,15.0,3411.0,0.0,0.0,0.0,-0.00423044136638814,0.0,0.0,0.0
1.0,17.0,10.0,3412.0,0.05555555555555555,0.09090909090909091,0.06896551724137931,0.06725997014738457,0.06666666666666667,0.05,0.09090909090909091
1.0,49.0,28.0,3362.0,0.02,0.034482758620689655,0.02531645569620253,0.0153683897701648,0.0,0.0,0.034482758620689655
6.0,154.0,43.0,3237.0,0.0375,0.12244897959183673,0.057416267942583726,0.043346209088582575,0.0,0.05,0.02040816326530612
0.0,21.0,15.0,3404.0,0.0,0.0,0.0,-0.005186512615333238,0.0,0.0,0.0
1.0,11.0,24.0,3404.0,0.08333333333333333,0.04,0.05405405405405406,0.052985039212531046,0.06666666666666667,0.05,0.04
2.0,11.0,22.0,3405.0,0.15384615384615385,0.08333333333333333,0.10810810810810811,0.10867755616857144,0.13333333333333333,0.1,0.08333333333333333
2.0,8.0,22.0,3408.0,0.2,0.08333333333333333,0.11764705882352941,0.12521503161067254,0.26666666666666666,0.2,0.25
4.0,32.0,28.0,3376.0,0.1111111111111111,0.125,0.11764705882352941,0.10906248573832286,0.13333333333333333,0.15,0.125
5.0,44.0,25.0,3366.0,0.10204081632653061,0.16666666666666666,0.12658227848101267,0.1206504568873855,0.13333333333333333,0.1,0.1
1.0,85.0,10.0,3344.0,0.011627906976744186,0.09090909090909091,0.02061855670103093,0.023910332155314667,0.0,0.05,0.0
3.0,23.0,26.0,3388.0,0.11538461538461539,0.10344827586206896,0.10909090909090909,0.10208738644277643,0.13333333333333333,0.1,0.10344827586206896
1.0,53.0,23.0,3363.0,0.018518518518518517,0.041666666666666664,0.02564102564102564,0.017511359837694678,0.0,0.0,0.0
5.0,26.0,18.0,3391.0,0.16129032258064516,0.21739130434782608,0.18518518518518517,0.18090929575065337,0.2,0.2,0.21739130434782608
2.0,5.0,9.0,3424.0,0.2857142857142857,0.18181818181818182,0.2222222222222222,0.2259615078322669,0.13333333333333333,0.1,0.18181818181818182
7.0,25.0,14.0,3394.0,0.21875,0.3333333333333333,0.2641509433962264,0.2645332872737617,0.3333333333333333,0.35,0.3333333333333333
2.0,20.0,9.0,3409.0,0.09090909090909091,0.18181818181818182,0.12121212121212123,0.12464067530035818,0.13333333333333333,0.1,0.18181818181818182
0.0,4.0,18.0,3418.0,0.0,0.0,0.0,-0.0024745695698187888,0.0,0.0,0.0
2.0,19.0,14.0,3405.0,0.09523809523809523,0.125,0.1081081081081081,0.10434153550361348,0.0,0.1,0.0
5.0,24.0,15.0,3396.0,0.1724137931034483,0.25,0.20408163265306123,0.2020519796671522,0.2,0.25,0.25
0.0,2.0,11.0,3427.0,0.0,0.0,0.0,-0.0013660753715525457,0.0,0.0,0.0
1.0,30.0,28.0,3381.0,0.03225806451612903,0.034482758620689655,0.03333333333333333,0.024852521539274773,0.06666666666666667,0.05,0.034482758620689655
3.0,29.0,48.0,3360.0,0.09375,0.058823529411764705,0.07228915662650601,0.06328112007580342,0.2,0.15,0.058823529411764705
1.0,91.0,11.0,3337.0,0.010869565217391304,0.08333333333333333,0.01923076923076923,0.020752726877970546,0.0,0.0,0.0
2.0,40.0,17.0,3381.0,0.047619047619047616,0.10526315789473684,0.06557377049180328,0.06314758494347289,0.13333333333333333,0.1,0.10526315789473684
2.0,18.0,15.0,3405.0,0.1,0.11764705882352941,0.1081081081081081,0.103662525973424,0.13333333333333333,0.1,0.11764705882352941
3.0,40.0,44.0,3353.0,0.06976744186046512,0.06382978723404255,0.06666666666666667,0.05437545506614433,0.0,0.0,0.06382978723404255
3.0,93.0,51.0,3293.0,0.03125,0.05555555555555555,0.04,0.021199025992807853,0.13333333333333333,0.1,0.037037037037037035
0.0,15.0,13.0,3412.0,0.0,0.0,0.0,-0.004075960489966725,0.0,0.0,0.0
2.0,11.0,19.0,3408.0,0.15384615384615385,0.09523809523809523,0.11764705882352941,0.11681977909947944,0.13333333333333333,0.1,0.09523809523809523
2.0,22.0,28.0,3388.0,0.08333333333333333,0.06666666666666667,0.07407407407407407,0.06726332680219564,0.13333333333333333,0.1,0.06666666666666667
