tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
3.0,27.0,24.0,3386.0,0.1,0.1111111111111111,0.10526315789473685,0.09794734624776767,0.13333333333333333,0.1,0.1111111111111111
6.0,50.0,57.0,3327.0,0.10714285714285714,0.09523809523809523,0.10084033613445377,0.08522279547945256,0.2,0.2,0.09523809523809523
5.0,18.0,22.0,3395.0,0.21739130434782608,0.18518518518518517,0.19999999999999998,0.19481477799802047,0.26666666666666666,0.25,0.18518518518518517
4.0,25.0,18.0,3393.0,0.13793103448275862,0.18181818181818182,0.1568627450980392,0.1521467939022766,0.26666666666666666,0.2,0.18181818181818182
1.0,11.0,14.0,3414.0,0.08333333333333333,0.06666666666666667,0.07407407407407407,0.07091378282142999,0.13333333333333333,0.15,0.13333333333333333
4.0,69.0,41.0,3326.0,0.0547945205479452,0.08888888888888889,0.06779661016949151,0.05405612338222084,0.06666666666666667,0.05,0.044444444444444446
4.0,38.0,12.0,3386.0,0.09523809523809523,0.25,0.13793103448275862,0.148016484277672,0.13333333333333333,0.1,0.125
4.0,41.0,34.0,3361.0,0.08888888888888889,0.10526315789473684,0.09638554216867469,0.08574364621462273,0.06666666666666667,0.1,0.07894736842105263
5.0,31.0,58.0,3346.0,0.1388888888888889,0.07936507936507936,0.10101010101010101,0.09247751478407149,0.2,0.2,0.09523809523809523
5.0,56.0,25.0,3354.0,0.08196721311475409,0.16666666666666666,0.10989010989010987,0.10584663047979999,0.13333333333333333,0.1,0.06666666666666667
8.0,42.0,22.0,3368.0,0.16,0.26666666666666666,0.2,0.19759894617507445,0.26666666666666666,0.2,0.2
8.0,8.0,21.0,3403.0,0.5,0.27586206896551724,0.35555555555555557,0.36753344237304997,0.5333333333333333,0.4,0.3103448275862069
3.0,25.0,35.0,3377.0,0.10714285714285714,0.07894736842105263,0.09090909090909091,0.08328769940987896,0.13333333333333333,0.1,0.07894736842105263
10.0,76.0,28.0,3326.0,0.11627906976744186,0.2631578947368421,0.16129032258064516,0.16121940502619003,0.2,0.2,0.18421052631578946
0.0,17.0,13.0,3410.0,0.0,0.0,0.0,-0.004340458768435966,0.0,0.0,0.0
5.0,51.0,30.0,3354.0,0.08928571428571429,0.14285714285714285,0.10989010989010989,0.10141056351987088,0.13333333333333333,0.1,0.08571428571428572
6.0,52.0,26.0,3356.0,0.10344827586206896,0.1875,0.13333333333333333,0.12842882196941954,0.26666666666666666,0.2,0.15625
5.0,28.0,23.0,3384.0,0.15151515151515152,0.17857142857142858,0.16393442622950818,0.15704391649741312,0.2,0.15,0.17857142857142858
3.0,19.0,11.0,3407.0,0.13636363636363635,0.21428571428571427,0.16666666666666663,0.16671158255341215,0.2,0.15,0.21428571428571427
3.0,29.0,22.0,3386.0,0.09375,0.12,0.10526315789473684,0.09866129414659985,0.2,0.15,0.12
2.0,21.0,14.0,3403.0,0.08695652173913043,0.125,0.10256410256410256,0.09924328133235366,0.06666666666666667,0.1,0.0625
0.0,5.0,21.0,3414.0,0.0,0.0,0.0,-0.0029900725667167563,0.13333333333333333,0.1,0.09523809523809523
1.0,11.0,25.0,3403.0,0.08333333333333333,0.038461538461538464,0.05263157894736842,0.051765126823809696,0.06666666666666667,0.1,0.07692307692307693
7.0,40.0,29.0,3364.0,0.14893617021276595,0.19444444444444445,0.16867469879518074,0.16015054220738245,0.3333333333333333,0.25,0.16666666666666666
12.0,81.0,51.0,3296.0,0.12903225806451613,0.19047619047619047,0.15384615384615383,0.13764349211661703,0.3333333333333333,0.25,0.15873015873015872
4.0,22.0,21.0,3393.0,0.15384615384615385,0.16,0.1568627450980392,0.15059789481490518,0.26666666666666666,0.2,0.16
7.0,29.0,15.0,3389.0,0.19444444444444445,0.3181818181818182,0.2413793103448276,0.24259888290381554,0.3333333333333333,0.25,0.2727272727272727
7.0,39.0,54.0,3340.0,0.15217391304347827,0.11475409836065574,0.13084112149532712,0.11859197634628466,0.3333333333333333,0.25,0.11475409836065574
14.0,49.0,55.0,3322.0,0.2222222222222222,0.2028985507246377,0.21212121212121213,0.19695330135103917,0.3333333333333333,0.45,0.2028985507246377
1.0,16.0,26.0,3397.0,0.058823529411764705,0.037037037037037035,0.04545454545454545,0.04070840059237513,0.06666666666666667,0.05,0.037037037037037035
6.0,29.0,33.0,3372.0,0.17142857142857143,0.15384615384615385,0.16216216216216214,0.15330848323292853,0.26666666666666666,0.2,0.15384615384615385
6.0,25.0,16.0,3393.0,0.1935483870967742,0.2727272727272727,0.22641509433962262,0.22388515659222752,0.26666666666666666,0.2,0.22727272727272727
3.0,9.0,19.0,3409.0,0.25,0.13636363636363635,0.1764705882352941,0.18080767657377336,0.2,0.2,0.18181818181818182
3.0,15.0,11.0,3411.0,0.16666666666666666,0.21428571428571427,0.1875,0.18522911621030075,0.2,0.15,0.21428571428571427
6.0,40.0,36.0,3358.0,0.13043478260869565,0.14285714285714285,0.13636363636363635,0.12533033310317174,0.13333333333333333,0.15,0.14285714285714285
3.0,60.0,26.0,3351.0,0.047619047619047616,0.10344827586206896,0.06521739130434784,0.05854441360862623,0.06666666666666667,0.05,0.034482758620689655
4.0,25.0,14.0,3397.0,0.13793103448275862,0.2222222222222222,0.1702127659574468,0.16959235187838426,0.2,0.15,0.16666666666666666
5.0,29.0,44.0,3362.0,0.14705882352941177,0.10204081632653061,0.12048192771084339,0.11198493070031763,0.2,0.2,0.10204081632653061
4.0,15.0,15.0,3406.0,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.2061416329481992,0.2,0.2,0.21052631578947367
3.0,17.0,16.0,3404.0,0.15,0.15789473684210525,0.15384615384615385,0.14907506108293378,0.13333333333333333,0.15,0.15789473684210525
2.0,21.0,19.0,3398.0,0.08695652173913043,0.09523809523809523,0.0909090909090909,0.085159037757339,0.06666666666666667,0.05,0.047619047619047616
5.0,31.0,17.0,3387.0,0.1388888888888889,0.22727272727272727,0.1724137931034483,0.1709276224100741,0.13333333333333333,0.1,0.09090909090909091
4.0,48.0,26.0,3362.0,0.07692307692307693,0.13333333333333333,0.0975609756097561,0.0908758824644431,0.13333333333333333,0.1,0.13333333333333333
3.0,48.0,27.0,3362.0,0.058823529411764705,0.1,0.07407407407407408,0.06610437230716697,0.2,0.15,0.1
23.0,145.0,44.0,3228.0,0.13690476190476192,0.34328358208955223,0.19574468085106383,0.19254515442845221,0.4666666666666667,0.4,0.19402985074626866
7.0,55.0,9.0,3369.0,0.11290322580645161,0.4375,0.1794871794871795,0.21554292745613518,0.2,0.2,0.1875
2.0,55.0,14.0,3369.0,0.03508771929824561,0.125,0.0547945205479452,0.058064878069996384,0.06666666666666667,0.05,0.0625
3.0,33.0,21.0,3383.0,0.08333333333333333,0.125,0.1,0.09434022019632742,0.06666666666666667,0.1,0.08333333333333333
4.0,17.0,13.0,3406.0,0.19047619047619047,0.23529411764705882,0.21052631578947367,0.20735518978531642,0.26666666666666666,0.2,0.23529411764705882
6.0,28.0,38.0,3368.0,0.17647058823529413,0.13636363636363635,0.15384615384615383,0.14553274676655809,0.2,0.2,0.18181818181818182
4.0,23.0,34.0,3379.0,0.14814814814814814,0.10526315789473684,0.12307692307692308,0.11666910501931405,0.2,0.15,0.13157894736842105
8.0,56.0,23.0,3353.0,0.125,0.25806451612903225,0.16842105263157894,0.16899245541003402,0.2,0.2,0.16129032258064516
1.0,6.0,14.0,3419.0,0.14285714285714285,0.06666666666666667,0.09090909090909091,0.09491481358081932,0.13333333333333333,0.1,0.13333333333333333
1.0,13.0,21.0,3405.0,0.07142857142857142,0.045454545454545456,0.05555555555555555,0.052151485872681466,0.06666666666666667,0.05,0.045454545454545456
4.0,39.0,26.0,3371.0,0.09302325581395349,0.13333333333333333,0.1095890410958904,0.10201091320422384,0.2,0.15,0.13333333333333333
2.0,9.0,10.0,3419.0,0.18181818181818182,0.16666666666666666,0.17391304347826086,0.17131049072199203,0.2,0.15,0.16666666666666666
2.0,12.0,11.0,3415.0,0.14285714285714285,0.15384615384615385,0.14814814814814817,0.14489677443032076,0.13333333333333333,0.1,0.15384615384615385
1.0,4.0,12.0,3423.0,0.2,0.07692307692307693,0.1111111111111111,0.12201035083881684,0.13333333333333333,0.1,0.15384615384615385
8.0,53.0,31.0,3348.0,0.13114754098360656,0.20512820512820512,0.16,0.1520505219044774,0.06666666666666667,0.1,0.15384615384615385
4.0,25.0,18.0,3393.0,0.13793103448275862,0.18181818181818182,0.1568627450980392,0.1521467939022766,0.13333333333333333,0.1,0.09090909090909091
4.0,20.0,31.0,3385.0,0.16666666666666666,0.11428571428571428,0.13559322033898305,0.13070896672278418,0.26666666666666666,0.2,0.14285714285714285
3.0,30.0,13.0,3394.0,0.09090909090909091,0.1875,0.12244897959183672,0.12476750736945019,0.06666666666666667,0.05,0.0625
7.0,37.0,49.0,3347.0,0.1590909090909091,0.125,0.14,0.12845646366653932,0.26666666666666666,0.25,0.125
13.0,95.0,54.0,3278.0,0.12037037037037036,0.19402985074626866,0.14857142857142858,0.13144255220380877,0.4,0.35,0.14925373134328357
