tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
1.0,44.0,19.0,2634.0,0.022222222222222223,0.05,0.030769230769230767,0.022485084362404317,0.06666666666666667,0.05,0.05
7.0,598.0,42.0,2050.0,0.011570247933884297,0.14285714285714285,0.021406727828746173,-0.026566773777927977,0.0,0.0,0.0
0.0,8.0,22.0,2668.0,0.0,0.0,0.0,-0.004944668026118668,0.0,0.0,0.0
4.0,1205.0,14.0,1475.0,0.0033085194375516956,0.2222222222222222,0.006519967400162999,-0.037225666196897815,0.0,0.0,0.0
5.0,1024.0,5.0,1664.0,0.004859086491739553,0.5,0.009624639076034648,0.01489359330127605,0.0,0.0,0.0
0.0,72.0,35.0,2591.0,0.0,0.0,0.0,-0.018983108337963114,0.0,0.0,0.0
0.0,30.0,11.0,2657.0,0.0,0.0,0.0,-0.006784693359533285,0.0,0.0,0.0
12.0,1147.0,19.0,1519.0,0.010353753235547885,0.3870967741935484,0.020168067226890754,-0.00928813948934945,0.0,0.0,0.0
46.0,2196.0,5.0,450.0,0.020517395182872437,0.9019607843137255,0.04012211077191452,0.026197675263918314,0.0,0.05,0.0392156862745098
15.0,1206.0,8.0,1469.0,0.012285012285012284,0.6521739130434783,0.024115755627009645,0.03718709444574216,0.0,0.0,0.0
6.0,728.0,17.0,1947.0,0.008174386920980926,0.2608695652173913,0.015852047556142664,-0.0023303163784329077,0.0,0.0,0.0
2.0,265.0,20.0,2411.0,0.00749063670411985,0.09090909090909091,0.01384083044982699,-0.002445261958826904,0.0,0.0,0.0
27.0,2203.0,2.0,466.0,0.01210762331838565,0.9310344827586207,0.023904382470119525,0.028766845369291794,0.06666666666666667,0.05,0.034482758620689655
7.0,394.0,23.0,2273.0,0.017456359102244388,0.23333333333333334,0.03248259860788862,0.025234627763600175,0.0,0.0,0.0
0.0,6.0,10.0,2681.0,0.0,0.0,0.0,-0.0028806131777357525,0.0,0.0,0.0
19.0,1508.0,8.0,1163.0,0.012442698100851343,0.7037037037037037,0.024453024453024455,0.02793920344512928,0.0,0.0,0.0
2.0,79.0,23.0,2594.0,0.024691358024691357,0.08,0.03773584905660377,0.028323368192693963,0.0,0.0,0.04
0.0,4.0,21.0,2672.0,0.0,0.0,0.0,-0.0034141170919716963,0.0,0.0,0.0
0.0,2.0,12.0,2684.0,0.0,0.0,0.0,-0.0018205083396660093,0.0,0.0,0.0
5.0,305.0,14.0,2374.0,0.016129032258064516,0.2631578947368421,0.0303951367781155,0.03915186250643876,0.0,0.0,0.0
1.0,476.0,12.0,2209.0,0.0020964360587002098,0.07692307692307693,0.004081632653061225,-0.01821641230241398,0.0,0.0,0.0
0.0,14.0,17.0,2666.0,0.0,0.0,0.0,-0.005753216869011297,0.0,0.0,0.0
7.0,887.0,14.0,1790.0,0.007829977628635347,0.3333333333333333,0.015300546448087433,0.0003719607919518306,0.0,0.0,0.0
2.0,95.0,27.0,2574.0,0.020618556701030927,0.06896551724137931,0.031746031746031744,0.018483962429430973,0.0,0.0,0.0
26.0,962.0,22.0,1687.0,0.02631578947368421,0.5416666666666666,0.05019305019305019,0.048986508933907644,0.0,0.0,0.0
14.0,1925.0,6.0,753.0,0.007220216606498195,0.7,0.014293006636038797,-0.003590297655259693,0.0,0.0,0.0
10.0,1120.0,8.0,1560.0,0.008849557522123894,0.5555555555555556,0.017421602787456445,0.022711832619378133,0.0,0.0,0.0
26.0,1173.0,23.0,1475.0,0.021684737281067557,0.5306122448979592,0.041666666666666664,0.02355462155236344,0.06666666666666667,0.05,0.10204081632653061
