tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
0.0,15.0,15.0,2667.0,0.0,0.0,0.0,-0.005592841163310962,0.0,0.0,0.0
1.0,68.0,14.0,2614.0,0.014492753623188406,0.06666666666666667,0.02380952380952381,0.019458922005540443,0.0,0.05,0.0
0.0,26.0,16.0,2656.0,0.0,0.0,0.0,-0.00761901891322196,0.0,0.0,0.0
1.0,379.0,9.0,2309.0,0.002631578947368421,0.1,0.005128205128205128,-0.007161738315973247,0.0,0.0,0.0
12.0,784.0,25.0,1876.0,0.01507537688442211,0.32432432432432434,0.028811524609843934,0.0075457445373633405,0.0,0.0,0.0
0.0,4.0,17.0,2677.0,0.0,0.0,0.0,-0.0030683666493245038,0.0,0.0,0.0
0.0,128.0,14.0,2555.0,0.0,0.0,0.0,-0.016124142000289842,0.0,0.0,0.0
3.0,1068.0,4.0,1622.0,0.0028011204481792717,0.42857142857142855,0.0055658627087198514,0.0032802449754407033,0.0,0.0,0.0
0.0,74.0,26.0,2598.0,0.0,0.0,0.0,-0.016565417716304986,0.0,0.0,0.0
2.0,232.0,10.0,2453.0,0.008547008547008548,0.16666666666666666,0.016260162601626018,0.018976915242028033,0.0,0.0,0.0
0.0,22.0,8.0,2668.0,0.0,0.0,0.0,-0.004944668026118668,0.0,0.0,0.0
0.0,3.0,24.0,2671.0,0.0,0.0,0.0,-0.00316086656042461,0.0,0.0,0.0
19.0,1279.0,21.0,1379.0,0.014637904468412942,0.475,0.02840059790732436,-0.0014969836105485502,0.06666666666666667,0.05,0.05
0.0,12.0,11.0,2674.0,0.0,0.0,0.0,-0.00427820722108011,0.0,0.0,0.0
1.0,171.0,18.0,2507.0,0.005813953488372093,0.05263157894736842,0.010471204188481676,-0.003841130893155446,0.0,0.0,0.0
2.0,209.0,17.0,2470.0,0.009478672985781991,0.10526315789473684,0.01739130434782609,0.00848660880341746,0.0,0.0,0.0
2.0,221.0,16.0,2458.0,0.008968609865470852,0.1111111111111111,0.016597510373443983,0.008460659123874538,0.0,0.0,0.0
