tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
19.0,4.0,1.0,3416.0,0.8260869565217391,0.95,0.8837209302325583,0.8851772397379906,1.0,0.85,0.85
15.0,5.0,5.0,3415.0,0.75,0.75,0.75,0.7485380116959064,0.8666666666666667,0.75,0.75
21.0,13.0,1.0,3405.0,0.6176470588235294,0.9545454545454546,0.75,0.7661226403770832,0.9333333333333333,0.8,0.7727272727272727
9.0,1.0,2.0,3428.0,0.9,0.8181818181818182,0.8571428571428572,0.857685411600515,0.6666666666666666,0.5,0.9090909090909091
36.0,6.0,12.0,3386.0,0.8571428571428571,0.75,0.7999999999999999,0.7991862112516629,0.9333333333333333,0.95,0.7916666666666666
16.0,6.0,5.0,3413.0,0.7272727272727273,0.7619047619047619,0.7441860465116279,0.7427814506118896,0.9333333333333333,0.8,0.7619047619047619
14.0,8.0,3.0,3415.0,0.6363636363636364,0.8235294117647058,0.717948717948718,0.7223961103341506,0.7333333333333333,0.65,0.7058823529411765
8.0,2.0,3.0,3427.0,0.8,0.7272727272727273,0.761904761904762,0.7620472328029212,0.6,0.55,0.8181818181818182
24.0,1.0,9.0,3406.0,0.96,0.7272727272727273,0.8275862068965517,0.8342566398519503,1.0,1.0,0.8484848484848485
12.0,3.0,3.0,3422.0,0.8,0.8,0.8000000000000002,0.7991240875912409,0.8,0.65,0.8
7.0,1.0,4.0,3428.0,0.875,0.6363636363636364,0.7368421052631579,0.7455344812397289,0.6,0.5,0.8181818181818182
22.0,6.0,7.0,3405.0,0.7857142857142857,0.7586206896551724,0.7719298245614034,0.7701456134032977,1.0,0.95,0.7586206896551724
35.0,9.0,14.0,3382.0,0.7954545454545454,0.7142857142857143,0.7526881720430106,0.7504244901586565,0.9333333333333333,0.95,0.7755102040816326
12.0,3.0,3.0,3422.0,0.8,0.8,0.8000000000000002,0.7991240875912409,0.8,0.65,0.8
18.0,6.0,7.0,3409.0,0.75,0.72,0.7346938775510204,0.7329464335964518,0.8,0.75,0.76
18.0,6.0,6.0,3410.0,0.75,0.75,0.75,0.7482435597189696,0.9333333333333333,0.75,0.75
16.0,3.0,8.0,3413.0,0.8421052631578947,0.6666666666666666,0.744186046511628,0.7477345854923676,0.9333333333333333,0.8,0.7083333333333334
