tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
26.0,1.0,0.0,3352.0,0.9629629629629629,1.0,0.9811320754716981,0.9811604193613194,0.9333333333333333,0.95,0.9615384615384616
62.0,23.0,1.0,3293.0,0.7294117647058823,0.9841269841269841,0.8378378378378377,0.8440840556938616,0.7333333333333333,0.8,0.746031746031746
27.0,1.0,0.0,3352.0,0.9642857142857143,1.0,0.9818181818181818,0.9818340620217715,0.9333333333333333,0.95,0.9629629629629629
22.0,0.0,0.0,3357.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.0,1.0,0.0,3364.0,0.9375,1.0,0.967741935483871,0.9681019557521072,0.9333333333333333,0.75,0.9333333333333333
45.0,7.0,0.0,3328.0,0.8653846153846154,1.0,0.9278350515463918,0.9292837111948395,0.8666666666666667,0.8,0.8666666666666667
15.0,0.0,0.0,3364.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0
38.0,6.0,0.0,3335.0,0.8636363636363636,1.0,0.9268292682926829,0.928485533237696,0.8666666666666667,0.85,0.8421052631578947
63.0,21.0,0.0,3295.0,0.75,1.0,0.8571428571428571,0.8632788087102303,0.7333333333333333,0.65,0.7301587301587301
30.0,1.0,0.0,3348.0,0.967741935483871,1.0,0.9836065573770492,0.983591872188933,0.9333333333333333,0.95,0.9666666666666667
30.0,0.0,0.0,3350.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29.0,2.0,0.0,3348.0,0.9354838709677419,1.0,0.9666666666666666,0.966915390887087,0.9333333333333333,0.95,0.9655172413793104
38.0,4.0,0.0,3338.0,0.9047619047619048,1.0,0.9500000000000001,0.9506203269512692,0.8,0.85,0.9210526315789473
37.0,3.0,0.0,3339.0,0.925,1.0,0.961038961038961,0.9613374323757992,0.8666666666666667,0.9,0.918918918918919
13.0,0.0,0.0,3366.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0
35.0,1.0,0.0,3344.0,0.9722222222222222,1.0,0.9859154929577464,0.985865900023139,1.0,1.0,0.9714285714285714
31.0,3.0,1.0,3344.0,0.9117647058823529,0.96875,0.9393939393939394,0.9392366463579127,0.8666666666666667,0.85,0.90625
28.0,3.0,0.0,3348.0,0.9032258064516129,1.0,0.9491525423728813,0.9499564142100605,0.8666666666666667,0.9,0.8928571428571429
14.0,0.0,0.0,3365.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0
25.0,0.0,0.0,3354.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16.0,0.0,0.0,3364.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
19.0,0.0,2.0,3358.0,1.0,0.9047619047619048,0.9500000000000001,0.9509065968900785,1.0,1.0,1.0
26.0,0.0,0.0,3353.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36.0,2.0,0.0,3341.0,0.9473684210526315,1.0,0.972972972972973,0.9730373290138743,0.9333333333333333,0.9,0.9444444444444444
62.0,17.0,0.0,3300.0,0.7848101265822784,1.0,0.8794326241134751,0.8836220266367562,0.7333333333333333,0.75,0.7741935483870968
25.0,0.0,0.0,3355.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22.0,0.0,0.0,3357.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60.0,21.0,0.0,3298.0,0.7407407407407407,1.0,0.851063829787234,0.8579358488535759,0.8666666666666667,0.75,0.7
68.0,19.0,0.0,3292.0,0.7816091954022989,1.0,0.8774193548387098,0.8815463527187067,0.8666666666666667,0.75,0.7794117647058824
27.0,1.0,0.0,3352.0,0.9642857142857143,1.0,0.9818181818181818,0.9818340620217715,1.0,1.0,0.9629629629629629
39.0,2.0,0.0,3339.0,0.9512195121951219,1.0,0.975,0.9750128666630452,1.0,1.0,0.9743589743589743
22.0,1.0,0.0,3356.0,0.9565217391304348,1.0,0.9777777777777777,0.9778736143472235,0.9333333333333333,0.95,0.9545454545454546
21.0,0.0,1.0,3357.0,1.0,0.9545454545454546,0.9767441860465117,0.9768629353363327,1.0,1.0,1.0
14.0,0.0,0.0,3365.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0
40.0,5.0,2.0,3333.0,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9190533894052003,0.8,0.85,0.9047619047619048
28.0,1.0,1.0,3349.0,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9652187339166238,0.9333333333333333,0.95,0.9655172413793104
16.0,0.0,2.0,3361.0,1.0,0.8888888888888888,0.9411764705882353,0.9425286522698159,1.0,0.9,1.0
48.0,7.0,0.0,3324.0,0.8727272727272727,1.0,0.9320388349514563,0.9332166209657804,1.0,0.95,0.875
19.0,2.0,0.0,3358.0,0.9047619047619048,1.0,0.9500000000000001,0.9509065968900785,0.8666666666666667,0.9,0.8947368421052632
18.0,0.0,1.0,3360.0,1.0,0.9473684210526315,0.972972972972973,0.9731837185524588,1.0,0.95,1.0
21.0,0.0,0.0,3358.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22.0,0.0,0.0,3358.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30.0,0.0,0.0,3350.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30.0,2.0,0.0,3348.0,0.9375,1.0,0.967741935483871,0.9679567647924481,0.9333333333333333,0.95,0.9333333333333333
67.0,15.0,0.0,3297.0,0.8170731707317073,1.0,0.8993288590604027,0.9018717526251189,0.7333333333333333,0.8,0.8059701492537313
16.0,0.0,0.0,3363.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
16.0,0.0,0.0,3363.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
23.0,1.0,0.0,3355.0,0.9583333333333334,1.0,0.9787234042553191,0.978799149534327,0.9333333333333333,0.95,0.9565217391304348
16.0,1.0,1.0,3361.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9408790285894251,0.9333333333333333,0.85,0.9411764705882353
44.0,4.0,0.0,3331.0,0.9166666666666666,1.0,0.9565217391304348,0.9568527663082781,0.9333333333333333,0.9,0.9318181818181818
38.0,3.0,0.0,3338.0,0.926829268292683,1.0,0.9620253164556963,0.9622873978626636,0.8666666666666667,0.85,0.9210526315789473
31.0,1.0,0.0,3348.0,0.96875,1.0,0.9841269841269841,0.984104026283617,1.0,1.0,0.967741935483871
15.0,0.0,0.0,3364.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0
22.0,0.0,0.0,3358.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30.0,1.0,0.0,3349.0,0.967741935483871,1.0,0.9836065573770492,0.9835919160374257,0.9333333333333333,0.95,0.9666666666666667
12.0,0.0,0.0,3367.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0
12.0,0.0,0.0,3367.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0
13.0,0.0,0.0,3366.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0
39.0,4.0,0.0,3336.0,0.9069767441860465,1.0,0.951219512195122,0.9517828242264148,0.9333333333333333,0.95,0.9230769230769231
22.0,0.0,0.0,3357.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34.0,2.0,0.0,3343.0,0.9444444444444444,1.0,0.9714285714285714,0.9715347416297861,0.9333333333333333,0.95,0.9411764705882353
16.0,0.0,0.0,3363.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
55.0,9.0,0.0,3315.0,0.859375,1.0,0.9243697478991597,0.9257689627453879,0.8666666666666667,0.9,0.8909090909090909
66.0,17.0,0.0,3296.0,0.7951807228915663,1.0,0.8859060402684563,0.8894382560381221,0.9333333333333333,0.9,0.803030303030303
31.0,4.0,0.0,3344.0,0.8857142857142857,1.0,0.9393939393939393,0.9405615794067311,0.8666666666666667,0.9,0.9032258064516129
35.0,2.0,0.0,3342.0,0.9459459459459459,1.0,0.9722222222222222,0.972306633115933,0.8666666666666667,0.9,0.9428571428571428
12.0,0.0,0.0,3367.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0
57.0,17.0,0.0,3306.0,0.7702702702702703,1.0,0.8702290076335879,0.8754025794169266,0.6666666666666666,0.65,0.8070175438596491
38.0,2.0,0.0,3339.0,0.95,1.0,0.9743589743589743,0.9743876579635126,0.9333333333333333,0.9,0.9473684210526315
17.0,0.0,0.0,3362.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0
13.0,0.0,0.0,3366.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0
