tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
19.0,1.0,0.0,3359.0,0.95,1.0,0.9743589743589743,0.9745343821049938,0.9333333333333333,0.95,0.9473684210526315
19.0,0.0,0.0,3360.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0
21.0,1.0,1.0,3357.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9542476582381287,0.9333333333333333,0.95,0.9545454545454546
10.0,0.0,1.0,3368.0,1.0,0.9090909090909091,0.9523809523809523,0.9533210734616223,0.7333333333333333,0.55,1.0
47.0,10.0,1.0,3321.0,0.8245614035087719,0.9791666666666666,0.8952380952380952,0.897002661912963,0.6,0.7,0.8333333333333334
20.0,1.0,0.0,3358.0,0.9523809523809523,1.0,0.975609756097561,0.975754795675983,0.9333333333333333,0.95,0.95
17.0,1.0,0.0,3361.0,0.9444444444444444,1.0,0.9714285714285714,0.9716807742263525,0.9333333333333333,0.85,0.9411764705882353
11.0,0.0,0.0,3368.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
33.0,8.0,0.0,3338.0,0.8048780487804879,1.0,0.8918918918918919,0.8960768126466399,0.4666666666666667,0.6,0.7575757575757576
15.0,2.0,0.0,3362.0,0.8823529411764706,1.0,0.9375,0.9390571631157907,0.8666666666666667,0.75,0.8666666666666667
11.0,0.0,0.0,3369.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
28.0,2.0,1.0,3349.0,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.9488436866513957,0.8666666666666667,0.9,0.9310344827586207
48.0,12.0,0.0,3319.0,0.8,1.0,0.888888888888889,0.8928146406661416,0.4666666666666667,0.55,0.7916666666666666
14.0,0.0,0.0,3365.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0
24.0,1.0,0.0,3354.0,0.96,1.0,0.9795918367346939,0.9796498659779325,0.9333333333333333,0.95,0.9583333333333334
24.0,1.0,0.0,3354.0,0.96,1.0,0.9795918367346939,0.9796498659779325,0.9333333333333333,0.95,0.9583333333333334
24.0,0.0,0.0,3355.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32.0,2.0,0.0,3345.0,0.9411764705882353,1.0,0.9696969696969697,0.9698526024845504,0.8666666666666667,0.9,0.9375
28.0,2.0,2.0,3347.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9327361401413358,0.8666666666666667,0.9,0.9333333333333333
11.0,0.0,0.0,3369.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
29.0,2.0,0.0,3349.0,0.9354838709677419,1.0,0.9666666666666666,0.96691547707147,0.8666666666666667,0.9,0.9310344827586207
24.0,0.0,0.0,3355.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
22.0,0.0,1.0,3356.0,1.0,0.9565217391304348,0.9777777777777777,0.9778736143472235,1.0,1.0,1.0
10.0,0.0,1.0,3368.0,1.0,0.9090909090909091,0.9523809523809523,0.9533210734616223,0.7333333333333333,0.55,1.0
21.0,0.0,0.0,3358.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11.0,0.0,0.0,3368.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
17.0,0.0,0.0,3362.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0
15.0,1.0,0.0,3363.0,0.9375,1.0,0.967741935483871,0.9681019129781789,0.9333333333333333,0.75,0.9333333333333333
19.0,1.0,1.0,3358.0,0.95,0.95,0.9500000000000001,0.9497022923489133,0.9333333333333333,0.95,0.95
