tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
20.0,0.0,0.0,2676.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
47.0,9.0,2.0,2638.0,0.8392857142857143,0.9591836734693877,0.8952380952380952,0.8952382036044957,0.8,0.85,0.8163265306122449
21.0,1.0,1.0,2673.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9541714829672945,0.9333333333333333,0.95,0.9545454545454546
17.0,0.0,1.0,2678.0,1.0,0.9444444444444444,0.9714285714285714,0.9716439205067058,1.0,0.85,0.9444444444444444
10.0,0.0,0.0,2686.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
34.0,5.0,1.0,2656.0,0.8717948717948718,0.9714285714285714,0.9189189189189189,0.9191754167070744,0.8,0.85,0.8571428571428571
10.0,0.0,1.0,2685.0,1.0,0.9090909090909091,0.9523809523809523,0.953285085271375,0.6666666666666666,0.5,0.9090909090909091
27.0,3.0,4.0,2662.0,0.9,0.8709677419354839,0.8852459016393444,0.8840547184443911,0.9333333333333333,0.95,0.9032258064516129
49.0,18.0,2.0,2627.0,0.7313432835820896,0.9607843137254902,0.8305084745762712,0.8348415503587139,0.5333333333333333,0.6,0.7058823529411765
23.0,2.0,0.0,2671.0,0.92,1.0,0.9583333333333334,0.9588074023844364,0.9333333333333333,0.95,0.9565217391304348
23.0,2.0,0.0,2671.0,0.92,1.0,0.9583333333333334,0.9588074023844364,0.8666666666666667,0.9,0.9130434782608695
21.0,2.0,1.0,2672.0,0.9130434782608695,0.9545454545454546,0.9333333333333332,0.9330068438932853,0.8666666666666667,0.9,0.9090909090909091
28.0,4.0,1.0,2663.0,0.875,0.9655172413793104,0.9180327868852458,0.9182338383247842,0.8,0.85,0.896551724137931
30.0,2.0,0.0,2663.0,0.9375,1.0,0.967741935483871,0.967882449098053,0.9333333333333333,0.95,0.9333333333333333
9.0,0.0,1.0,2686.0,1.0,0.9,0.9473684210526316,0.9485067495613978,0.6666666666666666,0.5,1.0
27.0,2.0,0.0,2667.0,0.9310344827586207,1.0,0.9642857142857143,0.9645396919535145,0.9333333333333333,0.9,0.9259259259259259
24.0,2.0,1.0,2669.0,0.9230769230769231,0.96,0.9411764705882353,0.9407993364781556,0.9333333333333333,0.9,0.92
21.0,1.0,0.0,2673.0,0.9545454545454546,1.0,0.9767441860465117,0.9768257171447692,1.0,1.0,0.9523809523809523
11.0,0.0,1.0,2684.0,1.0,0.9166666666666666,0.9565217391304348,0.9572487993261195,0.8,0.6,1.0
19.0,2.0,0.0,2675.0,0.9047619047619048,1.0,0.9500000000000001,0.950834345534371,0.8666666666666667,0.9,0.8947368421052632
13.0,0.0,0.0,2683.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0
17.0,0.0,0.0,2679.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0
21.0,0.0,0.0,2675.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29.0,2.0,0.0,2665.0,0.9354838709677419,1.0,0.9666666666666666,0.966841427409463,0.8666666666666667,0.9,0.9310344827586207
47.0,12.0,1.0,2635.0,0.7966101694915254,0.9791666666666666,0.8785046728971962,0.8809273552000719,0.8,0.8,0.7916666666666666
20.0,1.0,0.0,2675.0,0.9523809523809523,1.0,0.975609756097561,0.9757177128473525,0.9333333333333333,0.95,0.95
18.0,0.0,0.0,2678.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0
48.0,14.0,1.0,2633.0,0.7741935483870968,0.9795918367346939,0.8648648648648648,0.8682908905607413,0.5333333333333333,0.55,0.7551020408163265
53.0,15.0,1.0,2627.0,0.7794117647058824,0.9814814814814815,0.8688524590163934,0.8718840401391583,0.6666666666666666,0.65,0.7407407407407407
21.0,0.0,1.0,2674.0,1.0,0.9545454545454546,0.9767441860465117,0.9768257854516303,1.0,1.0,1.0
30.0,4.0,1.0,2661.0,0.8823529411764706,0.967741935483871,0.923076923076923,0.9231482060632185,0.9333333333333333,0.9,0.8709677419354839
