tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
11.0,0.0,4.0,2681.0,1.0,0.7333333333333333,0.846153846153846,0.8557107246004056,0.8,0.6,0.8
12.0,1.0,3.0,2680.0,0.9230769230769231,0.8,0.8571428571428571,0.858616987516365,0.8,0.6,0.8
15.0,0.0,1.0,2680.0,1.0,0.9375,0.967741935483871,0.9680652442092311,1.0,0.75,0.9375
6.0,0.0,4.0,2686.0,1.0,0.6,0.7499999999999999,0.7740205466855837,0.5333333333333333,0.4,0.8
27.0,3.0,10.0,2656.0,0.9,0.7297297297297297,0.8059701492537312,0.8080893506406766,0.8666666666666667,0.9,0.7297297297297297
14.0,0.0,3.0,2679.0,1.0,0.8235294117647058,0.9032258064516129,0.9069775288980665,0.9333333333333333,0.7,0.8235294117647058
12.0,0.0,2.0,2682.0,1.0,0.8571428571428571,0.923076923076923,0.9254750950652961,0.8,0.6,0.8571428571428571
7.0,0.0,0.0,2688.0,1.0,1.0,1.0,1.0,0.4666666666666667,0.35,1.0
21.0,1.0,5.0,2669.0,0.9545454545454546,0.8076923076923077,0.875,0.8769902757753775,0.9333333333333333,0.95,0.8461538461538461
7.0,1.0,5.0,2683.0,0.875,0.5833333333333334,0.7000000000000001,0.713446763466521,0.4666666666666667,0.35,0.5833333333333334
6.0,0.0,2.0,2688.0,1.0,0.75,0.8571428571428571,0.865703401392276,0.4,0.3,0.75
19.0,1.0,5.0,2671.0,0.95,0.7916666666666666,0.8636363636363635,0.8661693228679956,1.0,0.95,0.7916666666666666
28.0,6.0,12.0,2650.0,0.8235294117647058,0.7,0.7567567567567567,0.7559529528006058,0.6666666666666666,0.7,0.725
7.0,0.0,4.0,2684.0,1.0,0.6363636363636364,0.7777777777777778,0.7971302695712079,0.4666666666666667,0.4,0.6363636363636364
15.0,1.0,4.0,2676.0,0.9375,0.7894736842105263,0.8571428571428572,0.8594205094730203,0.9333333333333333,0.8,0.8421052631578947
15.0,0.0,4.0,2677.0,1.0,0.7894736842105263,0.8823529411764706,0.8878602394443151,1.0,0.75,0.7894736842105263
17.0,1.0,1.0,2676.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9440708919603205,0.9333333333333333,0.85,0.9444444444444444
22.0,4.0,3.0,2667.0,0.8461538461538461,0.88,0.8627450980392156,0.8616038136022975,0.8666666666666667,0.9,0.88
19.0,2.0,5.0,2670.0,0.9047619047619048,0.7916666666666666,0.8444444444444444,0.8450528223534075,0.8666666666666667,0.9,0.8333333333333334
6.0,0.0,2.0,2688.0,1.0,0.75,0.8571428571428571,0.865703401392276,0.4666666666666667,0.35,0.875
17.0,1.0,4.0,2673.0,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.873491859975191,0.9333333333333333,0.85,0.8095238095238095
16.0,0.0,3.0,2677.0,1.0,0.8421052631578947,0.9142857142857143,0.9171491743509169,1.0,0.8,0.8421052631578947
9.0,0.0,8.0,2678.0,1.0,0.5294117647058824,0.6923076923076924,0.7265225125465244,0.6,0.45,0.5294117647058824
9.0,0.0,1.0,2686.0,1.0,0.9,0.9473684210526316,0.9485067495613978,0.6,0.5,0.9
16.0,0.0,0.0,2680.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
5.0,0.0,4.0,2686.0,1.0,0.5555555555555556,0.7142857142857143,0.7448016183120384,0.4666666666666667,0.35,0.7777777777777778
12.0,0.0,2.0,2682.0,1.0,0.8571428571428571,0.923076923076923,0.9254750950652961,0.8,0.6,0.8571428571428571
11.0,0.0,2.0,2683.0,1.0,0.8461538461538461,0.9166666666666666,0.9195235526941755,0.7333333333333333,0.55,0.8461538461538461
11.0,1.0,6.0,2678.0,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7689924847726718,0.7333333333333333,0.55,0.6470588235294118
6.0,0.0,2.0,2688.0,1.0,0.75,0.8571428571428571,0.865703401392276,0.4666666666666667,0.35,0.875
19.0,0.0,4.0,2673.0,1.0,0.8260869565217391,0.9047619047619047,0.9082139666306033,1.0,0.95,0.8260869565217391
