tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
27.0,1.0,0.0,3412.0,0.9642857142857143,1.0,0.9818181818181818,0.9818366366734474,1.0,0.95,0.9629629629629629
63.0,18.0,0.0,3359.0,0.7777777777777778,1.0,0.8750000000000001,0.879563577199323,0.9333333333333333,0.8,0.7777777777777778
27.0,1.0,0.0,3412.0,0.9642857142857143,1.0,0.9818181818181818,0.9818366366734474,1.0,1.0,0.9629629629629629
21.0,0.0,1.0,3418.0,1.0,0.9545454545454546,0.9767441860465117,0.9768655312034192,1.0,1.0,1.0
15.0,0.0,0.0,3425.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0
44.0,4.0,1.0,3391.0,0.9166666666666666,0.9777777777777777,0.946236559139785,0.9460065348871316,0.8,0.8,0.9111111111111111
15.0,0.0,1.0,3424.0,1.0,0.9375,0.967741935483871,0.9681044764756864,1.0,0.8,1.0
38.0,4.0,0.0,3398.0,0.9047619047619048,1.0,0.9500000000000001,0.9506303723089777,0.9333333333333333,0.85,0.9210526315789473
60.0,12.0,3.0,3365.0,0.8333333333333334,0.9523809523809523,0.888888888888889,0.8887319226510249,0.7333333333333333,0.75,0.8095238095238095
29.0,4.0,1.0,3406.0,0.8787878787878788,0.9666666666666667,0.9206349206349207,0.9209672784601663,0.9333333333333333,0.9,0.8666666666666667
30.0,3.0,0.0,3407.0,0.9090909090909091,1.0,0.9523809523809523,0.9530430852628693,0.8666666666666667,0.85,0.9
28.0,3.0,1.0,3408.0,0.9032258064516129,0.9655172413793104,0.9333333333333333,0.9332752687127659,0.8666666666666667,0.9,0.896551724137931
38.0,3.0,0.0,3399.0,0.926829268292683,1.0,0.9620253164556963,0.9622951514646032,0.8666666666666667,0.9,0.9473684210526315
38.0,3.0,0.0,3399.0,0.926829268292683,1.0,0.9620253164556963,0.9622951514646032,0.8,0.85,0.9210526315789473
13.0,0.0,0.0,3427.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.65,1.0
35.0,2.0,0.0,3403.0,0.9459459459459459,1.0,0.9722222222222222,0.9723118451633456,0.8666666666666667,0.9,0.9428571428571428
32.0,2.0,0.0,3406.0,0.9411764705882353,1.0,0.9696969696969697,0.9698577921420929,0.8666666666666667,0.9,0.9375
27.0,1.0,1.0,3411.0,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9639926310500754,0.9333333333333333,0.95,0.9642857142857143
14.0,0.0,0.0,3426.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0
