tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
20.0,2.0,0.0,3418.0,0.9090909090909091,1.0,0.9523809523809523,0.953183758244091,0.9333333333333333,0.9,0.9
19.0,3.0,1.0,3417.0,0.8636363636363636,0.95,0.9047619047619048,0.9052178113693152,0.8666666666666667,0.9,0.9
21.0,1.0,1.0,3417.0,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9542528857917975,0.9333333333333333,0.95,0.9545454545454546
11.0,0.0,0.0,3429.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
48.0,16.0,0.0,3376.0,0.75,1.0,0.8571428571428571,0.8639804767186255,0.5333333333333333,0.55,0.75
21.0,0.0,0.0,3419.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17.0,0.0,0.0,3423.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0
11.0,0.0,0.0,3429.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
33.0,4.0,0.0,3403.0,0.8918918918918919,1.0,0.9428571428571428,0.9438457305971426,0.8666666666666667,0.9,0.9090909090909091
15.0,0.0,0.0,3425.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0
11.0,0.0,0.0,3429.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
29.0,1.0,0.0,3410.0,0.9666666666666667,1.0,0.983050847457627,0.9830479488882264,0.9333333333333333,0.95,0.9655172413793104
49.0,14.0,0.0,3377.0,0.7777777777777778,1.0,0.8750000000000001,0.8800946900135345,0.4666666666666667,0.55,0.7346938775510204
15.0,0.0,0.0,3425.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0
25.0,1.0,0.0,3414.0,0.9615384615384616,1.0,0.9803921568627451,0.9804370955341082,0.9333333333333333,0.95,0.96
24.0,1.0,0.0,3415.0,0.96,1.0,0.9795918367346939,0.9796524738676645,0.9333333333333333,0.95,0.9583333333333334
24.0,3.0,0.0,3413.0,0.8888888888888888,1.0,0.9411764705882353,0.9423949537025261,0.8,0.85,0.875
32.0,4.0,0.0,3404.0,0.8888888888888888,1.0,0.9411764705882353,0.9422555874447995,0.7333333333333333,0.8,0.875
30.0,3.0,0.0,3407.0,0.9090909090909091,1.0,0.9523809523809523,0.9530430852628693,0.8666666666666667,0.9,0.9
11.0,0.0,0.0,3429.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
29.0,3.0,0.0,3408.0,0.90625,1.0,0.9508196721311475,0.9515529130584616,0.8,0.85,0.896551724137931
24.0,1.0,0.0,3415.0,0.96,1.0,0.9795918367346939,0.9796524738676645,1.0,1.0,0.9583333333333334
23.0,2.0,0.0,3415.0,0.92,1.0,0.9583333333333334,0.958885559360273,0.8666666666666667,0.9,0.9130434782608695
10.0,0.0,1.0,3429.0,1.0,0.9090909090909091,0.9523809523809523,0.953323590398109,0.7333333333333333,0.55,1.0
21.0,0.0,0.0,3419.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11.0,0.0,0.0,3429.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
18.0,0.0,0.0,3422.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0
16.0,0.0,0.0,3424.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
20.0,1.0,0.0,3419.0,0.9523809523809523,1.0,0.975609756097561,0.9757573870682547,0.9333333333333333,0.95,0.95
11.0,0.0,0.0,3429.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
29.0,1.0,0.0,3410.0,0.9666666666666667,1.0,0.983050847457627,0.9830479488882264,0.9333333333333333,0.95,0.9655172413793104
51.0,12.0,0.0,3377.0,0.8095238095238095,1.0,0.8947368421052632,0.8981410763159864,0.5333333333333333,0.6,0.7843137254901961
12.0,0.0,0.0,3428.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0
17.0,1.0,2.0,3420.0,0.9444444444444444,0.8947368421052632,0.918918918918919,0.9188201161677553,1.0,0.95,0.9473684210526315
15.0,0.0,2.0,3423.0,1.0,0.8823529411764706,0.9375,0.9390621377646331,1.0,0.85,1.0
46.0,7.0,1.0,3386.0,0.8679245283018868,0.9787234042553191,0.9199999999999999,0.9205319676424969,0.8666666666666667,0.9,0.851063829787234
54.0,14.0,0.0,3372.0,0.7941176470588235,1.0,0.8852459016393442,0.8892886094605224,0.6666666666666666,0.75,0.7592592592592593
12.0,0.0,1.0,3427.0,1.0,0.9230769230769231,0.9600000000000001,0.9606287771186212,0.8666666666666667,0.65,1.0
20.0,2.0,1.0,3417.0,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9300487150851133,0.9333333333333333,0.95,0.9523809523809523
29.0,2.0,1.0,3408.0,0.9354838709677419,0.9666666666666667,0.9508196721311476,0.950509870178692,0.8666666666666667,0.9,0.9333333333333333
21.0,1.0,0.0,3418.0,0.9545454545454546,1.0,0.9767441860465117,0.9768655312034192,1.0,0.95,0.9523809523809523
21.0,1.0,0.0,3418.0,0.9545454545454546,1.0,0.9767441860465117,0.9768655312034192,1.0,0.95,0.9523809523809523
16.0,0.0,0.0,3424.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0
21.0,3.0,0.0,3416.0,0.875,1.0,0.9333333333333333,0.9350038671827408,0.8666666666666667,0.85,0.8571428571428571
16.0,1.0,0.0,3423.0,0.9411764705882353,1.0,0.9696969696969697,0.9700008217947925,0.9333333333333333,0.8,0.9375
11.0,0.0,0.0,3429.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
31.0,2.0,0.0,3407.0,0.9393939393939394,1.0,0.96875,0.9689390143792024,0.9333333333333333,0.95,0.9354838709677419
21.0,1.0,0.0,3418.0,0.9545454545454546,1.0,0.9767441860465117,0.9768655312034192,1.0,0.95,0.9523809523809523
14.0,1.0,0.0,3425.0,0.9333333333333333,1.0,0.9655172413793104,0.9659507786586252,0.9333333333333333,0.7,0.9285714285714286
37.0,4.0,0.0,3399.0,0.9024390243902439,1.0,0.9487179487179488,0.9494094308476394,0.9333333333333333,0.9,0.918918918918919
14.0,0.0,0.0,3426.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0
15.0,0.0,0.0,3425.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0
17.0,1.0,0.0,3422.0,0.9444444444444444,1.0,0.9714285714285714,0.9716833502358617,0.9333333333333333,0.85,0.9411764705882353
16.0,1.0,0.0,3423.0,0.9411764705882353,1.0,0.9696969696969697,0.9700008217947925,0.9333333333333333,0.8,0.9375
21.0,2.0,0.0,3417.0,0.9130434782608695,1.0,0.9545454545454545,0.9552535676650579,0.8666666666666667,0.9,0.9047619047619048
21.0,0.0,0.0,3419.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
52.0,16.0,2.0,3370.0,0.7647058823529411,0.9629629629629629,0.8524590163934426,0.8556877920915118,0.6,0.7,0.7777777777777778
12.0,0.0,0.0,3428.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0
11.0,0.0,1.0,3428.0,1.0,0.9166666666666666,0.9565217391304348,0.9572874902407936,0.8,0.6,1.0
8.0,0.0,1.0,3431.0,1.0,0.8888888888888888,0.9411764705882353,0.9426716759454952,0.6,0.45,1.0
20.0,0.0,0.0,3420.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15.0,0.0,0.0,3425.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0
12.0,0.0,0.0,3428.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0
35.0,2.0,0.0,3403.0,0.9459459459459459,1.0,0.9722222222222222,0.9723118451633456,0.9333333333333333,0.9,0.9428571428571428
