tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
11.0,16.0,3.0,3349.0,0.4074074074074074,0.7857142857142857,0.5365853658536585,0.563444512002465,0.26666666666666666,0.35,0.21428571428571427
11.0,5.0,0.0,3363.0,0.6875,1.0,0.8148148148148148,0.8285405026962026,0.6666666666666666,0.55,0.8181818181818182
11.0,9.0,0.0,3359.0,0.55,1.0,0.7096774193548387,0.740628304236092,0.6666666666666666,0.55,0.8181818181818182
10.0,2.0,0.0,3367.0,0.8333333333333334,1.0,0.9090909090909091,0.9125999269638204,0.6666666666666666,0.5,0.8
5.0,6.0,5.0,3363.0,0.45454545454545453,0.5,0.47619047619047616,0.47510374756690416,0.6,0.5,0.4
11.0,9.0,1.0,3358.0,0.55,0.9166666666666666,0.6874999999999999,0.7088190264726953,0.7333333333333333,0.55,0.75
16.0,13.0,3.0,3347.0,0.5517241379310345,0.8421052631578947,0.6666666666666666,0.6795031229532693,0.7333333333333333,0.65,0.631578947368421
15.0,11.0,4.0,3349.0,0.5769230769230769,0.7894736842105263,0.6666666666666666,0.6727844711181821,0.5333333333333333,0.55,0.5263157894736842
17.0,19.0,2.0,3341.0,0.4722222222222222,0.8947368421052632,0.6181818181818182,0.6475433645182386,0.6,0.55,0.5263157894736842
12.0,10.0,7.0,3350.0,0.5454545454545454,0.631578947368421,0.5853658536585366,0.5844343176391819,0.4666666666666667,0.5,0.5263157894736842
17.0,13.0,1.0,3349.0,0.5666666666666667,0.9444444444444444,0.7083333333333334,0.7298720844538832,0.8,0.65,0.7222222222222222
16.0,5.0,2.0,3357.0,0.7619047619047619,0.8888888888888888,0.8205128205128205,0.8219411124487381,1.0,0.8,0.8333333333333334
16.0,10.0,2.0,3352.0,0.6153846153846154,0.8888888888888888,0.7272727272727274,0.7380039710745677,0.6666666666666666,0.65,0.7222222222222222
7.0,4.0,4.0,3365.0,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6351763404301249,0.7333333333333333,0.55,0.6363636363636364
28.0,18.0,3.0,3331.0,0.6086956521739131,0.9032258064516129,0.7272727272727272,0.7387219617982171,0.6666666666666666,0.6,0.6451612903225806
