tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
8.0,11.0,3.0,2674.0,0.42105263157894735,0.7272727272727273,0.5333333333333333,0.5510759297880125,0.4,0.4,0.2727272727272727
8.0,2.0,0.0,2685.0,0.8,1.0,0.888888888888889,0.8940942569883812,0.5333333333333333,0.4,0.75
7.0,3.0,1.0,2684.0,0.7,0.875,0.7777777777777777,0.7819162298662357,0.5333333333333333,0.4,0.875
7.0,1.0,1.0,2687.0,0.875,0.875,0.875,0.8746279761904762,0.5333333333333333,0.4,0.875
5.0,1.0,4.0,2686.0,0.8333333333333334,0.5555555555555556,0.6666666666666667,0.6795787491011013,0.6,0.45,0.8888888888888888
10.0,5.0,0.0,2681.0,0.6666666666666666,1.0,0.8,0.815736271068328,0.6666666666666666,0.5,0.8
10.0,11.0,3.0,2672.0,0.47619047619047616,0.7692307692307693,0.588235294117647,0.6029012754054941,0.4666666666666667,0.5,0.38461538461538464
13.0,16.0,0.0,2667.0,0.4482758620689655,1.0,0.6190476190476191,0.6675347037755138,0.4,0.35,0.38461538461538464
12.0,12.0,1.0,2671.0,0.5,0.9230769230769231,0.6486486486486487,0.6774646631751969,0.6,0.5,0.6153846153846154
11.0,12.0,2.0,2671.0,0.4782608695652174,0.8461538461538461,0.6111111111111112,0.633966432007905,0.4666666666666667,0.45,0.38461538461538464
12.0,4.0,1.0,2679.0,0.75,0.9230769230769231,0.8275862068965517,0.8311712612879621,0.8,0.65,0.7692307692307693
13.0,7.0,0.0,2676.0,0.65,1.0,0.787878787878788,0.8051733584513932,0.6666666666666666,0.65,0.6153846153846154
10.0,8.0,3.0,2675.0,0.5555555555555556,0.7692307692307693,0.6451612903225806,0.6517940816192935,0.4666666666666667,0.55,0.5384615384615384
7.0,0.0,2.0,2687.0,1.0,0.7777777777777778,0.8750000000000001,0.8815890705343203,0.6,0.45,1.0
24.0,12.0,0.0,2660.0,0.6666666666666666,1.0,0.8,0.8146610673713448,0.7333333333333333,0.8,0.7916666666666666
8.0,9.0,1.0,2678.0,0.47058823529411764,0.8888888888888888,0.6153846153846153,0.6452858966796511,0.4666666666666667,0.45,0.4444444444444444
9.0,3.0,0.0,2684.0,0.75,1.0,0.8571428571428571,0.865541815806042,0.6,0.45,0.8888888888888888
5.0,7.0,2.0,2682.0,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.5440625578511745,0.4666666666666667,0.35,0.5714285714285714
11.0,10.0,1.0,2673.0,0.5238095238095238,0.9166666666666666,0.6666666666666667,0.6912777943979685,0.5333333333333333,0.55,0.5833333333333334
9.0,8.0,3.0,2675.0,0.5294117647058824,0.75,0.6206896551724139,0.6282065090200792,0.4666666666666667,0.6,0.5
12.0,3.0,1.0,2680.0,0.8,0.9230769230769231,0.8571428571428571,0.858616987516365,0.8,0.65,0.7692307692307693
11.0,3.0,1.0,2680.0,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.8479493219604124,0.8,0.6,0.75
9.0,3.0,0.0,2684.0,0.75,1.0,0.8571428571428571,0.865541815806042,0.6,0.45,0.6666666666666666
14.0,16.0,2.0,2664.0,0.4666666666666667,0.875,0.608695652173913,0.6363138599069561,0.4,0.45,0.4375
13.0,17.0,3.0,2663.0,0.43333333333333335,0.8125,0.5652173913043479,0.5902774127646967,0.5333333333333333,0.5,0.5
9.0,6.0,1.0,2680.0,0.6,0.9,0.7200000000000001,0.7337062454510132,0.6,0.5,0.7
9.0,3.0,2.0,2682.0,0.75,0.8181818181818182,0.7826086956521738,0.7824254174684295,0.7333333333333333,0.55,0.8181818181818182
7.0,1.0,3.0,2684.0,0.875,0.7,0.7777777777777777,0.7819162298662357,0.6666666666666666,0.5,0.9
7.0,1.0,1.0,2686.0,0.875,0.875,0.875,0.8746278377372534,0.5333333333333333,0.4,0.875
11.0,7.0,1.0,2677.0,0.6111111111111112,0.9166666666666666,0.7333333333333334,0.7471613325763051,0.6,0.6,0.5833333333333334
3.0,4.0,5.0,2683.0,0.42857142857142855,0.375,0.39999999999999997,0.39922614854924127,0.5333333333333333,0.4,0.5
16.0,9.0,0.0,2671.0,0.64,1.0,0.7804878048780487,0.7986555867635665,0.6666666666666666,0.7,0.6875
15.0,8.0,0.0,2672.0,0.6521739130434783,1.0,0.7894736842105263,0.8063666196236973,0.6666666666666666,0.6,0.6666666666666666
13.0,9.0,1.0,2673.0,0.5909090909090909,0.9285714285714286,0.7222222222222223,0.739170060205672,0.4666666666666667,0.6,0.5
13.0,5.0,0.0,2677.0,0.7222222222222222,1.0,0.8387096774193548,0.8490440492092983,0.6666666666666666,0.65,0.7692307692307693
11.0,10.0,1.0,2673.0,0.5238095238095238,0.9166666666666666,0.6666666666666667,0.6912777943979685,0.5333333333333333,0.5,0.5
6.0,1.0,2.0,2687.0,0.8571428571428571,0.75,0.7999999999999999,0.8012369897962119,0.5333333333333333,0.4,0.875
9.0,1.0,0.0,2686.0,0.9,1.0,0.9473684210526316,0.9485067495613978,0.6,0.45,0.8888888888888888
4.0,9.0,4.0,2678.0,0.3076923076923077,0.5,0.380952380952381,0.38996773452237743,0.4,0.4,0.25
9.0,2.0,0.0,2685.0,0.8181818181818182,1.0,0.9,0.9041973376361119,0.6,0.45,0.7777777777777778
9.0,9.0,1.0,2676.0,0.5,0.9,0.6428571428571429,0.6693198616819082,0.5333333333333333,0.5,0.7
12.0,2.0,0.0,2681.0,0.8571428571428571,1.0,0.923076923076923,0.9254749664521623,0.8,0.6,0.8333333333333334
11.0,3.0,2.0,2680.0,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.8144485643537248,0.8,0.65,0.8461538461538461
4.0,8.0,4.0,2680.0,0.3333333333333333,0.5,0.4,0.4061205266260213,0.4666666666666667,0.4,0.25
7.0,0.0,1.0,2688.0,1.0,0.875,0.9333333333333333,0.9352403970226753,0.5333333333333333,0.4,1.0
7.0,1.0,1.0,2687.0,0.875,0.875,0.875,0.8746279761904762,0.5333333333333333,0.4,0.875
2.0,5.0,8.0,2681.0,0.2857142857142857,0.2,0.23529411764705882,0.23668865673181191,0.6,0.5,0.4
6.0,6.0,4.0,2680.0,0.5,0.6,0.5454545454545454,0.5458866538319175,0.6,0.5,0.4
5.0,5.0,5.0,2681.0,0.5,0.5,0.5,0.498138495904691,0.6666666666666666,0.5,0.5
7.0,6.0,3.0,2680.0,0.5384615384615384,0.7,0.608695652173913,0.6123234853392286,0.6,0.5,0.6
11.0,6.0,0.0,2679.0,0.6470588235294118,1.0,0.7857142857142858,0.803500393294439,0.6,0.55,0.8181818181818182
4.0,2.0,5.0,2685.0,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.5431163397776565,0.6,0.45,0.7777777777777778
10.0,11.0,2.0,2673.0,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.6278963351927784,0.4666666666666667,0.45,0.4166666666666667
5.0,8.0,4.0,2679.0,0.38461538461538464,0.5555555555555556,0.4545454545454546,0.46011550456487676,0.4666666666666667,0.45,0.3333333333333333
7.0,5.0,3.0,2681.0,0.5833333333333334,0.7,0.6363636363636365,0.6375477411968183,0.6666666666666666,0.5,0.7
6.0,7.0,4.0,2679.0,0.46153846153846156,0.6,0.5217391304347826,0.5242419510059365,0.5333333333333333,0.5,0.4
7.0,4.0,3.0,2682.0,0.6363636363636364,0.7,0.6666666666666666,0.666127924389629,0.6666666666666666,0.5,0.6
7.0,9.0,3.0,2677.0,0.4375,0.7,0.5384615384615384,0.5513657898593508,0.4666666666666667,0.5,0.5
5.0,7.0,5.0,2679.0,0.4166666666666667,0.5,0.45454545454545453,0.4542255664670165,0.5333333333333333,0.5,0.5
4.0,8.0,5.0,2679.0,0.3333333333333333,0.4444444444444444,0.380952380952381,0.38253537115190034,0.4666666666666667,0.45,0.4444444444444444
10.0,11.0,2.0,2673.0,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.6278963351927784,0.4666666666666667,0.5,0.5
7.0,8.0,4.0,2677.0,0.4666666666666667,0.6363636363636364,0.5384615384615385,0.5428022286494113,0.4666666666666667,0.55,0.2727272727272727
12.0,9.0,1.0,2674.0,0.5714285714285714,0.9230769230769231,0.7058823529411765,0.7247150303043746,0.4666666666666667,0.55,0.5384615384615384
14.0,23.0,2.0,2656.0,0.3783783783783784,0.875,0.5283018867924528,0.5719970821850932,0.4,0.35,0.375
13.0,26.0,3.0,2654.0,0.3333333333333333,0.8125,0.4727272727272727,0.5164233421747048,0.3333333333333333,0.4,0.375
17.0,24.0,0.0,2655.0,0.4146341463414634,1.0,0.5862068965517241,0.6410301230945893,0.5333333333333333,0.5,0.5294117647058824
14.0,18.0,2.0,2662.0,0.4375,0.875,0.5833333333333334,0.6158102001534733,0.5333333333333333,0.55,0.5625
10.0,6.0,1.0,2679.0,0.625,0.9090909090909091,0.7407407407407406,0.7526265946211796,0.6,0.55,0.5454545454545454
11.0,7.0,0.0,2678.0,0.6111111111111112,1.0,0.7586206896551725,0.7807162722692887,0.6,0.55,0.6363636363636364
8.0,1.0,0.0,2687.0,0.8888888888888888,1.0,0.9411764705882353,0.9426336515625786,0.5333333333333333,0.4,0.875
11.0,8.0,0.0,2677.0,0.5789473684210527,1.0,0.7333333333333334,0.7597515288387847,0.5333333333333333,0.55,0.6363636363636364
9.0,5.0,2.0,2680.0,0.6428571428571429,0.8181818181818182,0.7200000000000001,0.7239945853491582,0.6,0.55,0.6363636363636364
5.0,9.0,4.0,2678.0,0.35714285714285715,0.5555555555555556,0.43478260869565216,0.4431623731472909,0.4,0.45,0.3333333333333333
5.0,5.0,5.0,2680.0,0.5,0.5,0.5,0.49813780260707635,0.6666666666666666,0.5,0.5
4.0,7.0,6.0,2679.0,0.36363636363636365,0.4,0.380952380952381,0.37897076350788295,0.5333333333333333,0.5,0.4
7.0,10.0,4.0,2675.0,0.4117647058823529,0.6363636363636364,0.5,0.5094643472363023,0.4,0.5,0.45454545454545453
4.0,8.0,5.0,2678.0,0.3333333333333333,0.4444444444444444,0.380952380952381,0.3825344902619833,0.4666666666666667,0.45,0.3333333333333333
6.0,5.0,5.0,2680.0,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5435923480616218,0.6666666666666666,0.55,0.5454545454545454
3.0,6.0,6.0,2681.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.331100359756854,0.6,0.45,0.3333333333333333
9.0,3.0,0.0,2684.0,0.75,1.0,0.8571428571428571,0.865541815806042,0.6,0.45,0.7777777777777778
2.0,10.0,7.0,2677.0,0.16666666666666666,0.2222222222222222,0.1904761904761905,0.18933279329024366,0.3333333333333333,0.45,0.1111111111111111
13.0,18.0,2.0,2662.0,0.41935483870967744,0.8666666666666667,0.5652173913043478,0.5999822410460572,0.3333333333333333,0.45,0.3333333333333333
8.0,4.0,0.0,2684.0,0.6666666666666666,1.0,0.8,0.8158888424133542,0.5333333333333333,0.4,0.625
8.0,7.0,5.0,2676.0,0.5333333333333333,0.6153846153846154,0.5714285714285715,0.5706757743006894,0.5333333333333333,0.65,0.5384615384615384
5.0,10.0,5.0,2676.0,0.3333333333333333,0.5,0.4,0.40558614298175355,0.3333333333333333,0.5,0.4
5.0,3.0,4.0,2684.0,0.625,0.5555555555555556,0.5882352941176471,0.5879620394562269,0.6,0.45,0.6666666666666666
3.0,6.0,6.0,2681.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.331100359756854,0.6,0.45,0.3333333333333333
6.0,5.0,2.0,2682.0,0.5454545454545454,0.75,0.631578947368421,0.6383717101619307,0.5333333333333333,0.4,0.5
2.0,10.0,7.0,2677.0,0.16666666666666666,0.2222222222222222,0.1904761904761905,0.18933279329024366,0.3333333333333333,0.45,0.2222222222222222
4.0,5.0,5.0,2682.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.44258363313071164,0.6,0.45,0.4444444444444444
8.0,22.0,6.0,2660.0,0.26666666666666666,0.5714285714285714,0.36363636363636365,0.3859092577999724,0.2,0.25,0.21428571428571427
11.0,25.0,7.0,2653.0,0.3055555555555556,0.6111111111111112,0.40740740740740744,0.4269570402217138,0.2,0.2,0.16666666666666666
18.0,37.0,8.0,2633.0,0.32727272727272727,0.6923076923076923,0.4444444444444444,0.4690235131169834,0.26666666666666666,0.4,0.34615384615384615
9.0,5.0,1.0,2681.0,0.6428571428571429,0.9,0.75,0.7596314046763851,0.6666666666666666,0.5,0.7
11.0,10.0,1.0,2674.0,0.5238095238095238,0.9166666666666666,0.6666666666666667,0.6912784124610026,0.6,0.5,0.75
8.0,6.0,2.0,2680.0,0.5714285714285714,0.8,0.6666666666666666,0.6747380923315197,0.6,0.5,0.5
9.0,5.0,1.0,2681.0,0.6428571428571429,0.9,0.75,0.7596314046763851,0.6666666666666666,0.5,0.7
9.0,10.0,1.0,2675.0,0.47368421052631576,0.9,0.6206896551724138,0.6513191778051161,0.5333333333333333,0.5,0.7
13.0,12.0,1.0,2670.0,0.52,0.9285714285714286,0.6666666666666666,0.69295349534291,0.5333333333333333,0.55,0.5
8.0,14.0,2.0,2671.0,0.36363636363636365,0.8,0.5000000000000001,0.5370459555328724,0.26666666666666666,0.3,0.2
10.0,5.0,2.0,2679.0,0.6666666666666666,0.8333333333333334,0.7407407407407408,0.7441057446343156,0.6666666666666666,0.6,0.6666666666666666
6.0,3.0,2.0,2685.0,0.6666666666666666,0.75,0.7058823529411765,0.7061859101583442,0.5333333333333333,0.4,0.625
5.0,10.0,3.0,2678.0,0.3333333333333333,0.625,0.43478260869565216,0.45431052260796445,0.3333333333333333,0.4,0.25
11.0,7.0,0.0,2678.0,0.6111111111111112,1.0,0.7586206896551725,0.7807162722692887,0.6,0.55,0.5454545454545454
4.0,5.0,5.0,2682.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.44258363313071164,0.6,0.45,0.4444444444444444
3.0,6.0,5.0,2681.0,0.3333333333333333,0.375,0.35294117647058826,0.3515135390397123,0.5333333333333333,0.4,0.375
5.0,2.0,4.0,2685.0,0.7142857142857143,0.5555555555555556,0.6250000000000001,0.6288628081960219,0.6,0.45,0.7777777777777778
3.0,11.0,6.0,2676.0,0.21428571428571427,0.3333333333333333,0.2608695652173913,0.2642248625878935,0.26666666666666666,0.45,0.1111111111111111
5.0,6.0,4.0,2681.0,0.45454545454545453,0.5555555555555556,0.5,0.500685477960224,0.6,0.45,0.4444444444444444
7.0,11.0,4.0,2674.0,0.3888888888888889,0.6363636363636364,0.4827586206896552,0.4949112522356134,0.4,0.45,0.36363636363636365
6.0,0.0,2.0,2688.0,1.0,0.75,0.8571428571428571,0.865703401392276,0.5333333333333333,0.4,1.0
7.0,1.0,1.0,2687.0,0.875,0.875,0.875,0.8746279761904762,0.5333333333333333,0.4,0.875
7.0,7.0,2.0,2679.0,0.5,0.7777777777777778,0.6086956521739131,0.622099321228005,0.5333333333333333,0.45,0.3333333333333333
8.0,8.0,3.0,2677.0,0.5,0.7272727272727273,0.5925925925925926,0.601112160698039,0.4666666666666667,0.55,0.45454545454545453
9.0,8.0,4.0,2675.0,0.5294117647058824,0.6923076923076923,0.5999999999999999,0.6032479107133487,0.4666666666666667,0.6,0.5384615384615384
12.0,5.0,1.0,2678.0,0.7058823529411765,0.9230769230769231,0.8000000000000002,0.8061788719848025,0.6666666666666666,0.65,0.6923076923076923
4.0,5.0,5.0,2682.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.44258363313071164,0.6,0.45,0.4444444444444444
