tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
1,73,13,3293,0.013513513513513514,0.07142857142857142,0.022727272727272728,0.02183077980644912,0.06666666666666667,0.05,0.07142857142857142
5,4,6,3365,0.5555555555555556,0.45454545454545453,0.5,0.5010575987412147,0.4,0.35,0.45454545454545453
3,1,8,3368,0.75,0.2727272727272727,0.39999999999999997,0.45130617852425625,0.4,0.3,0.5454545454545454
8,2,2,3368,0.8,0.8,0.8000000000000002,0.799406528189911,0.6,0.45,0.8
2,5,8,3365,0.2857142857142857,0.2,0.23529411764705882,0.23716684525653184,0.26666666666666666,0.2,0.3
5,2,7,3366,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.5443633068735627,0.4666666666666667,0.45,0.5
4,57,15,3304,0.06557377049180328,0.21052631578947367,0.1,0.10871112898765477,0.13333333333333333,0.15,0.10526315789473684
8,101,11,3260,0.07339449541284404,0.42105263157894735,0.125,0.16547659337667575,0.2,0.15,0.15789473684210525
4,76,15,3285,0.05,0.21052631578947367,0.08080808080808081,0.09242048130614354,0.06666666666666667,0.1,0.10526315789473684
2,56,17,3305,0.034482758620689655,0.10526315789473684,0.051948051948051945,0.05100797418334264,0.06666666666666667,0.05,0.05263157894736842
11,6,7,3356,0.6470588235294118,0.6111111111111112,0.6285714285714287,0.6268985277282979,0.6666666666666666,0.6,0.6111111111111112
11,5,7,3357,0.6875,0.6111111111111112,0.6470588235294118,0.6464115503223998,0.6666666666666666,0.6,0.6666666666666666
13,2,5,3360,0.8666666666666667,0.7222222222222222,0.7878787878787877,0.7901506851265213,0.8666666666666667,0.65,0.7222222222222222
7,0,4,3369,1.0,0.6363636363636364,0.7777777777777778,0.7972508892474797,0.4666666666666667,0.5,0.6363636363636364
8,27,23,3322,0.22857142857142856,0.25806451612903225,0.24242424242424246,0.2354238888394208,0.3333333333333333,0.3,0.25806451612903225
5,2,6,3367,0.7142857142857143,0.45454545454545453,0.5555555555555556,0.5687211851677204,0.4,0.4,0.5454545454545454
4,3,7,3366,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.4544563331278408,0.4,0.35,0.5454545454545454
4,8,6,3362,0.3333333333333333,0.4,0.3636363636363636,0.36308907657513956,0.26666666666666666,0.35,0.4
12,7,5,3356,0.631578947368421,0.7058823529411765,0.6666666666666667,0.6659270279858814,0.6666666666666666,0.6,0.6470588235294118
9,5,8,3358,0.6428571428571429,0.5294117647058824,0.5806451612903226,0.5814857104647426,0.6,0.6,0.6470588235294118
12,5,5,3358,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7043955851743017,0.7333333333333333,0.6,0.7058823529411765
11,5,6,3358,0.6875,0.6470588235294118,0.6666666666666667,0.6653415302324295,0.7333333333333333,0.6,0.7058823529411765
6,1,5,3368,0.8571428571428571,0.5454545454545454,0.6666666666666665,0.6829860372076,0.6666666666666666,0.5,0.6363636363636364
7,96,17,3260,0.06796116504854369,0.2916666666666667,0.11023622047244093,0.1285039668407477,0.06666666666666667,0.1,0.16666666666666666
7,82,17,3274,0.07865168539325842,0.2916666666666667,0.1238938053097345,0.1401352659186629,0.06666666666666667,0.1,0.08333333333333333
7,0,5,3368,1.0,0.5833333333333334,0.7368421052631579,0.7631963203408132,0.5333333333333333,0.45,0.6666666666666666
3,2,11,3364,0.6,0.21428571428571427,0.3157894736842105,0.35709725035521717,0.3333333333333333,0.35,0.35714285714285715
5,5,8,3362,0.5,0.38461538461538464,0.4347826086956522,0.4366413668415827,0.4666666666666667,0.45,0.46153846153846156
8,1,3,3368,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.803463649049882,0.6,0.55,0.7272727272727273
