tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
1.0,46.0,10.0,2639.0,0.02127659574468085,0.09090909090909091,0.034482758620689655,0.03593344324488078,0.06666666666666667,0.05,0.09090909090909091
3.0,4.0,5.0,2683.0,0.42857142857142855,0.375,0.39999999999999997,0.39922614854924127,0.3333333333333333,0.3,0.5
5.0,10.0,3.0,2677.0,0.3333333333333333,0.625,0.43478260869565216,0.45430973089657495,0.3333333333333333,0.3,0.5
4.0,2.0,4.0,2686.0,0.6666666666666666,0.5,0.5714285714285715,0.5762767681887075,0.3333333333333333,0.3,0.625
2.0,5.0,7.0,2682.0,0.2857142857142857,0.2222222222222222,0.25,0.24977341468857425,0.2,0.15,0.2222222222222222
6.0,1.0,4.0,2685.0,0.8571428571428571,0.6,0.7058823529411764,0.7162922783394519,0.5333333333333333,0.45,0.7
1.0,34.0,12.0,2649.0,0.02857142857142857,0.07692307692307693,0.041666666666666664,0.03931908335638107,0.06666666666666667,0.05,0.07692307692307693
7.0,88.0,6.0,2595.0,0.07368421052631578,0.5384615384615384,0.12962962962962962,0.18998124249649545,0.26666666666666666,0.2,0.3076923076923077
2.0,13.0,11.0,2670.0,0.13333333333333333,0.15384615384615385,0.14285714285714288,0.13876395447717602,0.13333333333333333,0.1,0.15384615384615385
2.0,24.0,11.0,2659.0,0.07692307692307693,0.15384615384615385,0.10256410256410257,0.10270957222412425,0.13333333333333333,0.1,0.07692307692307693
8.0,6.0,5.0,2677.0,0.5714285714285714,0.6153846153846154,0.5925925925925927,0.5909546378933555,0.6,0.45,0.6153846153846154
9.0,8.0,4.0,2675.0,0.5294117647058824,0.6923076923076923,0.5999999999999999,0.6032479107133487,0.6,0.55,0.6153846153846154
9.0,5.0,4.0,2678.0,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.6654526133801452,0.6,0.5,0.6923076923076923
5.0,0.0,4.0,2687.0,1.0,0.5555555555555556,0.7142857142857143,0.7448018243991541,0.5333333333333333,0.4,0.7777777777777778
12.0,22.0,12.0,2650.0,0.35294117647058826,0.5,0.41379310344827586,0.4139417916606758,0.4666666666666667,0.5,0.4583333333333333
4.0,3.0,5.0,2684.0,0.5714285714285714,0.4444444444444444,0.5,0.5024996770268727,0.4666666666666667,0.4,0.5555555555555556
5.0,11.0,4.0,2676.0,0.3125,0.5555555555555556,0.39999999999999997,0.41413612021081914,0.3333333333333333,0.4,0.4444444444444444
4.0,2.0,3.0,2687.0,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.61629545043182,0.4,0.3,0.7142857142857143
5.0,2.0,7.0,2681.0,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.544062006023686,0.4666666666666667,0.45,0.5833333333333334
8.0,6.0,4.0,2677.0,0.5714285714285714,0.6666666666666666,0.6153846153846153,0.6153723884851627,0.6,0.5,0.6666666666666666
10.0,6.0,3.0,2677.0,0.625,0.7692307692307693,0.6896551724137931,0.6917463160146704,0.6666666666666666,0.55,0.7692307692307693
6.0,0.0,6.0,2683.0,1.0,0.5,0.6666666666666666,0.7063174524405894,0.7333333333333333,0.55,0.9166666666666666
