tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
1.0,10.0,10.0,2675.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.08718469612324362,0.06666666666666667,0.05,0.09090909090909091
5.0,3.0,3.0,2684.0,0.625,0.625,0.625,0.6238835132117603,0.4666666666666667,0.4,0.625
4.0,11.0,4.0,2676.0,0.26666666666666666,0.5,0.3478260869565218,0.36263135390172135,0.26666666666666666,0.25,0.375
6.0,6.0,2.0,2682.0,0.5,0.75,0.6,0.6110046845196878,0.4,0.3,0.625
2.0,7.0,7.0,2680.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.21961708638299632,0.2,0.2,0.2222222222222222
4.0,10.0,6.0,2676.0,0.2857142857142857,0.4,0.3333333333333333,0.33516484295205784,0.3333333333333333,0.3,0.4
3.0,17.0,10.0,2666.0,0.15,0.23076923076923078,0.18181818181818185,0.18118020725415387,0.13333333333333333,0.15,0.15384615384615385
5.0,17.0,8.0,2666.0,0.22727272727272727,0.38461538461538464,0.2857142857142857,0.2912744731437903,0.13333333333333333,0.2,0.07692307692307693
4.0,19.0,9.0,2664.0,0.17391304347826086,0.3076923076923077,0.2222222222222222,0.226424295384504,0.2,0.15,0.23076923076923078
3.0,17.0,10.0,2666.0,0.15,0.23076923076923078,0.18181818181818185,0.18118020725415387,0.13333333333333333,0.15,0.07692307692307693
8.0,13.0,5.0,2670.0,0.38095238095238093,0.6153846153846154,0.47058823529411764,0.4810875205066136,0.4,0.35,0.46153846153846156
8.0,13.0,5.0,2670.0,0.38095238095238093,0.6153846153846154,0.47058823529411764,0.4810875205066136,0.4666666666666667,0.4,0.5384615384615384
8.0,16.0,5.0,2667.0,0.3333333333333333,0.6153846153846154,0.43243243243243246,0.4494440973923841,0.3333333333333333,0.3,0.3076923076923077
4.0,5.0,5.0,2682.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.44258363313071164,0.4,0.3,0.4444444444444444
10.0,24.0,14.0,2648.0,0.29411764705882354,0.4166666666666667,0.3448275862068966,0.3431663559480184,0.2,0.3,0.25
2.0,15.0,7.0,2672.0,0.11764705882352941,0.2222222222222222,0.15384615384615383,0.15786377831915444,0.13333333333333333,0.1,0.1111111111111111
8.0,14.0,1.0,2673.0,0.36363636363636365,0.8888888888888888,0.5161290322580644,0.5665749802970027,0.4666666666666667,0.4,0.4444444444444444
3.0,13.0,4.0,2676.0,0.1875,0.42857142857142855,0.26086956521739124,0.2807458439399472,0.2,0.15,0.2857142857142857
6.0,13.0,6.0,2670.0,0.3157894736842105,0.5,0.3870967741935484,0.39402337843060925,0.26666666666666666,0.35,0.25
8.0,7.0,4.0,2676.0,0.5333333333333333,0.6666666666666666,0.5925925925925926,0.5942835581918207,0.5333333333333333,0.4,0.5833333333333334
6.0,15.0,7.0,2668.0,0.2857142857142857,0.46153846153846156,0.35294117647058826,0.35927376560773305,0.26666666666666666,0.3,0.23076923076923078
6.0,10.0,6.0,2673.0,0.375,0.5,0.42857142857142855,0.43010561208267073,0.4,0.35,0.5
6.0,20.0,3.0,2667.0,0.23076923076923078,0.6666666666666666,0.3428571428571429,0.38908582779478146,0.3333333333333333,0.3,0.1111111111111111
8.0,41.0,8.0,2639.0,0.16326530612244897,0.5,0.24615384615384614,0.2786934326131616,0.13333333333333333,0.15,0.125
5.0,26.0,11.0,2654.0,0.16129032258064516,0.3125,0.2127659574468085,0.2181482155821956,0.2,0.2,0.1875
6.0,10.0,4.0,2676.0,0.375,0.6,0.4615384615384615,0.4719257423251048,0.4,0.35,0.6
4.0,9.0,7.0,2676.0,0.3076923076923077,0.36363636363636365,0.33333333333333337,0.33153695402767325,0.4,0.3,0.36363636363636365
8.0,9.0,2.0,2676.0,0.47058823529411764,0.8,0.5925925925925927,0.611799182770105,0.5333333333333333,0.4,0.6
4.0,3.0,4.0,2684.0,0.5714285714285714,0.5,0.5333333333333333,0.5332296944877399,0.3333333333333333,0.25,0.625
6.0,9.0,6.0,2675.0,0.4,0.5,0.4444444444444445,0.44446286374796534,0.4,0.35,0.4166666666666667
2.0,12.0,6.0,2675.0,0.14285714285714285,0.25,0.18181818181818182,0.18581387245592357,0.13333333333333333,0.1,0.25
12.0,27.0,4.0,2653.0,0.3076923076923077,0.75,0.4363636363636364,0.4759783813769182,0.4,0.35,0.375
10.0,21.0,5.0,2659.0,0.3225806451612903,0.6666666666666666,0.4347826086956521,0.4596624140614644,0.4666666666666667,0.45,0.4666666666666667
11.0,19.0,3.0,2663.0,0.36666666666666664,0.7857142857142857,0.5,0.5334992935993945,0.4666666666666667,0.5,0.5
10.0,18.0,3.0,2664.0,0.35714285714285715,0.7692307692307693,0.48780487804878053,0.5210284212345909,0.4,0.45,0.46153846153846156
7.0,12.0,5.0,2671.0,0.3684210526315789,0.5833333333333334,0.4516129032258065,0.46063315166298235,0.3333333333333333,0.4,0.4166666666666667
4.0,4.0,4.0,2684.0,0.5,0.5,0.5,0.49851190476190477,0.3333333333333333,0.25,0.5
5.0,8.0,4.0,2679.0,0.38461538461538464,0.5555555555555556,0.4545454545454546,0.46011550456487676,0.4,0.3,0.5555555555555556
1.0,8.0,7.0,2679.0,0.1111111111111111,0.125,0.11764705882352941,0.11506552014241424,0.13333333333333333,0.15,0.125
8.0,7.0,1.0,2680.0,0.5333333333333333,0.8888888888888888,0.6666666666666667,0.68728021123178,0.5333333333333333,0.45,0.7777777777777778
7.0,9.0,3.0,2676.0,0.4375,0.7,0.5384615384615384,0.5513650320453549,0.4666666666666667,0.4,0.5
3.0,13.0,9.0,2670.0,0.1875,0.25,0.21428571428571427,0.21246861911181125,0.2,0.3,0.25
3.0,10.0,10.0,2673.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.22704205969207833,0.26666666666666666,0.35,0.23076923076923078
0.0,3.0,8.0,2685.0,0.0,0.0,0.0,-0.0018208443042062117,0.06666666666666667,0.05,0.0
4.0,8.0,4.0,2680.0,0.3333333333333333,0.5,0.4,0.4061205266260213,0.26666666666666666,0.3,0.375
6.0,5.0,2.0,2683.0,0.5454545454545454,0.75,0.631578947368421,0.6383721681331025,0.4,0.3,0.625
2.0,10.0,8.0,2676.0,0.16666666666666666,0.2,0.1818181818181818,0.1792423043723137,0.2,0.15,0.2
3.0,4.0,7.0,2682.0,0.42857142857142855,0.3,0.3529411764705882,0.3565895621337219,0.26666666666666666,0.2,0.4
4.0,8.0,6.0,2678.0,0.3333333333333333,0.4,0.3636363636363636,0.3625644791021156,0.26666666666666666,0.25,0.4
2.0,12.0,8.0,2674.0,0.14285714285714285,0.2,0.16666666666666666,0.16537821826232693,0.13333333333333333,0.15,0.2
4.0,4.0,7.0,2681.0,0.5,0.36363636363636365,0.4210526315789474,0.4244174981571149,0.3333333333333333,0.4,0.36363636363636365
1.0,3.0,8.0,2684.0,0.25,0.1111111111111111,0.15384615384615383,0.16483864096065398,0.13333333333333333,0.1,0.2222222222222222
2.0,46.0,10.0,2638.0,0.041666666666666664,0.16666666666666666,0.06666666666666667,0.07527053283837948,0.13333333333333333,0.1,0.16666666666666666
0.0,0.0,9.0,2687.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.1,0.1111111111111111
2.0,5.0,8.0,2681.0,0.2857142857142857,0.2,0.23529411764705882,0.23668865673181191,0.2,0.15,0.2
1.0,4.0,9.0,2682.0,0.2,0.1,0.13333333333333333,0.1391858175144992,0.2,0.15,0.2
1.0,1.0,9.0,2685.0,0.5,0.1,0.16666666666666669,0.22244329082553707,0.13333333333333333,0.1,0.2
2.0,5.0,8.0,2681.0,0.2857142857142857,0.2,0.23529411764705882,0.23668865673181191,0.26666666666666666,0.2,0.3
