tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
2.0,20.0,12.0,3406.0,0.09090909090909091,0.14285714285714285,0.1111111111111111,0.1094315342130468,0.13333333333333333,0.1,0.14285714285714285
5.0,6.0,6.0,3424.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.4527961834084283,0.3333333333333333,0.25,0.45454545454545453
1.0,8.0,10.0,3422.0,0.1111111111111111,0.09090909090909091,0.09999999999999999,0.09789672169225555,0.2,0.2,0.09090909090909091
7.0,6.0,3.0,3425.0,0.5384615384615384,0.7,0.608695652173913,0.6126747624532246,0.4666666666666667,0.4,0.6
1.0,11.0,10.0,3418.0,0.08333333333333333,0.09090909090909091,0.08695652173913043,0.08397971299768074,0.06666666666666667,0.1,0.09090909090909091
5.0,12.0,7.0,3416.0,0.29411764705882354,0.4166666666666667,0.3448275862068966,0.34738237697139235,0.3333333333333333,0.3,0.3333333333333333
9.0,26.0,10.0,3396.0,0.2571428571428571,0.47368421052631576,0.3333333333333333,0.3442126368552374,0.4,0.35,0.3684210526315789
11.0,29.0,8.0,3393.0,0.275,0.5789473684210527,0.37288135593220345,0.3943832192085338,0.5333333333333333,0.4,0.42105263157894735
7.0,26.0,12.0,3396.0,0.21212121212121213,0.3684210526315789,0.2692307692307693,0.27434966972874864,0.13333333333333333,0.15,0.15789473684210525
4.0,19.0,15.0,3403.0,0.17391304347826086,0.21052631578947367,0.1904761904761905,0.18640847238918604,0.2,0.2,0.15789473684210525
12.0,11.0,6.0,3412.0,0.5217391304347826,0.6666666666666666,0.5853658536585366,0.5873540801575048,0.4,0.5,0.5
9.0,11.0,9.0,3412.0,0.45,0.5,0.4736842105263158,0.4714307472873296,0.4666666666666667,0.45,0.3888888888888889
9.0,11.0,9.0,3412.0,0.45,0.5,0.4736842105263158,0.4714307472873296,0.4666666666666667,0.45,0.4444444444444444
3.0,2.0,8.0,3428.0,0.6,0.2727272727272727,0.37499999999999994,0.403302466124748,0.4666666666666667,0.4,0.5454545454545454
19.0,53.0,12.0,3357.0,0.2638888888888889,0.6129032258064516,0.36893203883495146,0.39434644741837,0.3333333333333333,0.3,0.3225806451612903
6.0,22.0,5.0,3407.0,0.21428571428571427,0.5454545454545454,0.30769230769230765,0.3387010078714865,0.2,0.15,0.18181818181818182
9.0,13.0,2.0,3416.0,0.4090909090909091,0.8181818181818182,0.5454545454545455,0.5767870237837304,0.4666666666666667,0.4,0.6363636363636364
6.0,12.0,4.0,3418.0,0.3333333333333333,0.6,0.42857142857142855,0.4451253356860911,0.4,0.3,0.4
13.0,6.0,4.0,3417.0,0.6842105263157895,0.7647058823529411,0.7222222222222222,0.7218922461438857,0.6,0.7,0.6470588235294118
