tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
3.0,9.0,11.0,3417.0,0.25,0.21428571428571427,0.23076923076923075,0.22855087182760375,0.2,0.15,0.21428571428571427
8.0,6.0,3.0,3423.0,0.5714285714285714,0.7272727272727273,0.64,0.6433888649248228,0.5333333333333333,0.5,0.6363636363636364
6.0,7.0,5.0,3422.0,0.46153846153846156,0.5454545454545454,0.4999999999999999,0.5000132207824637,0.5333333333333333,0.45,0.45454545454545453
8.0,2.0,2.0,3428.0,0.8,0.8,0.8000000000000002,0.7994169096209912,0.6,0.45,0.8
5.0,18.0,6.0,3411.0,0.21739130434782608,0.45454545454545453,0.29411764705882354,0.3112621671695436,0.3333333333333333,0.25,0.36363636363636365
3.0,3.0,9.0,3425.0,0.5,0.25,0.3333333333333333,0.3520078239434435,0.2,0.3,0.25
8.0,9.0,11.0,3412.0,0.47058823529411764,0.42105263157894735,0.4444444444444444,0.44222139825608175,0.4,0.4,0.42105263157894735
4.0,6.0,15.0,3415.0,0.4,0.21052631578947367,0.27586206896551724,0.2873951600859648,0.26666666666666666,0.25,0.2631578947368421
8.0,3.0,11.0,3418.0,0.7272727272727273,0.42105263157894735,0.5333333333333333,0.5515744994494224,0.6666666666666666,0.5,0.5263157894736842
8.0,9.0,11.0,3412.0,0.47058823529411764,0.42105263157894735,0.4444444444444444,0.44222139825608175,0.4666666666666667,0.4,0.42105263157894735
11.0,3.0,7.0,3419.0,0.7857142857142857,0.6111111111111112,0.6875000000000001,0.6915367520970187,0.8,0.6,0.6666666666666666
13.0,5.0,5.0,3417.0,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7207610883823625,0.8666666666666667,0.75,0.7222222222222222
13.0,7.0,5.0,3415.0,0.65,0.7222222222222222,0.6842105263157895,0.6834192877239749,0.7333333333333333,0.65,0.6666666666666666
8.0,2.0,3.0,3427.0,0.8,0.7272727272727273,0.761904761904762,0.7620472328029212,0.6666666666666666,0.55,0.8181818181818182
16.0,29.0,15.0,3380.0,0.35555555555555557,0.5161290322580645,0.42105263157894735,0.4221907908400044,0.6,0.5,0.3870967741935484
7.0,18.0,4.0,3411.0,0.28,0.6363636363636364,0.3888888888888889,0.41949109144002267,0.3333333333333333,0.25,0.36363636363636365
7.0,10.0,4.0,3419.0,0.4117647058823529,0.6363636363636364,0.5,0.509991206314343,0.4666666666666667,0.45,0.5454545454545454
6.0,11.0,4.0,3419.0,0.35294117647058826,0.6,0.4444444444444445,0.4581871154816286,0.4,0.4,0.5
14.0,5.0,3.0,3418.0,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.7778264157214465,0.8,0.75,0.7647058823529411
10.0,4.0,7.0,3419.0,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.6466327267710722,0.6666666666666666,0.7,0.7058823529411765
14.0,6.0,3.0,3417.0,0.7,0.8235294117647058,0.7567567567567567,0.7579727816588893,0.8,0.7,0.7647058823529411
13.0,5.0,4.0,3418.0,0.7222222222222222,0.7647058823529411,0.7428571428571428,0.7418493539618312,0.7333333333333333,0.65,0.7647058823529411
8.0,10.0,3.0,3419.0,0.4444444444444444,0.7272727272727273,0.5517241379310345,0.5668343320070455,0.4666666666666667,0.45,0.45454545454545453
7.0,11.0,17.0,3405.0,0.3888888888888889,0.2916666666666667,0.3333333333333333,0.3327772355881715,0.3333333333333333,0.35,0.375
13.0,19.0,11.0,3397.0,0.40625,0.5416666666666666,0.46428571428571425,0.46482481809002635,0.4,0.4,0.4166666666666667
8.0,0.0,4.0,3428.0,1.0,0.6666666666666666,0.8,0.8160206283481232,0.5333333333333333,0.55,0.6666666666666666
9.0,10.0,5.0,3416.0,0.47368421052631576,0.6428571428571429,0.5454545454545454,0.5497211597503678,0.5333333333333333,0.45,0.5
7.0,5.0,6.0,3422.0,0.5833333333333334,0.5384615384615384,0.5599999999999999,0.5588484306921966,0.6666666666666666,0.6,0.6153846153846154
11.0,0.0,0.0,3429.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
7.0,8.0,7.0,3418.0,0.4666666666666667,0.5,0.4827586206896552,0.4808601686461185,0.4666666666666667,0.5,0.42857142857142855
2.0,15.0,8.0,3415.0,0.11764705882352941,0.2,0.14814814814814817,0.15019225915396814,0.13333333333333333,0.1,0.2
12.0,5.0,9.0,3414.0,0.7058823529411765,0.5714285714285714,0.6315789473684211,0.6331117236129601,0.6666666666666666,0.65,0.6666666666666666
13.0,7.0,7.0,3413.0,0.65,0.65,0.65,0.6479532163742691,0.7333333333333333,0.65,0.65
9.0,7.0,10.0,3414.0,0.5625,0.47368421052631576,0.5142857142857142,0.5137304173121465,0.5333333333333333,0.55,0.5789473684210527
13.0,7.0,5.0,3415.0,0.65,0.7222222222222222,0.6842105263157895,0.6834192877239749,0.7333333333333333,0.65,0.7222222222222222
13.0,9.0,4.0,3414.0,0.5909090909090909,0.7647058823529411,0.6666666666666667,0.6703925398417578,0.6,0.6,0.6470588235294118
4.0,1.0,6.0,3429.0,0.8,0.4,0.5333333333333333,0.5648615610406712,0.4,0.4,0.5
6.0,1.0,4.0,3429.0,0.8571428571428571,0.6,0.7058823529411764,0.7164754434776995,0.4,0.3,0.6
1.0,6.0,9.0,3424.0,0.14285714285714285,0.1,0.11764705882352941,0.11738076055030859,0.06666666666666667,0.05,0.1
4.0,0.0,7.0,3429.0,1.0,0.36363636363636365,0.5333333333333333,0.6024081212119103,0.5333333333333333,0.45,0.5454545454545454
7.0,2.0,6.0,3425.0,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.6460718899151527,0.6666666666666666,0.55,0.6923076923076923
14.0,8.0,3.0,3415.0,0.6363636363636364,0.8235294117647058,0.717948717948718,0.7223961103341506,0.8,0.7,0.7647058823529411
11.0,3.0,6.0,3420.0,0.7857142857142857,0.6470588235294118,0.7096774193548386,0.7117464958739493,0.7333333333333333,0.7,0.7647058823529411
4.0,32.0,6.0,3398.0,0.1111111111111111,0.4,0.1739130434782609,0.2066863102124992,0.06666666666666667,0.05,0.1
8.0,1.0,2.0,3429.0,0.8888888888888888,0.8,0.8421052631578948,0.8428438725138306,0.6,0.45,0.8
7.0,2.0,3.0,3428.0,0.7777777777777778,0.7,0.7368421052631577,0.737142708771666,0.6,0.45,0.8
3.0,12.0,9.0,3416.0,0.2,0.25,0.22222222222222224,0.22057231834641106,0.2,0.15,0.25
