tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
9.0,2444.0,2.0,242.0,0.0036689767631471666,0.8181818181818182,0.007305194805194805,-0.020378689717047177,0.0,0.0,0.0
5.0,1388.0,3.0,1301.0,0.003589375448671931,0.625,0.007137758743754462,0.011842589216398684,0.0,0.0,0.0
0.0,114.0,8.0,2575.0,0.0,0.0,0.0,-0.011458817825035873,0.0,0.0,0.0
6.0,2019.0,2.0,670.0,0.002962962962962963,0.75,0.005902606984751599,-0.00010520465589214758,0.0,0.0,0.0
0.0,62.0,9.0,2627.0,0.0,0.0,0.0,-0.008872561031374926,0.0,0.0,0.0
10.0,2394.0,0.0,294.0,0.004159733777038269,1.0,0.008285004142502071,0.02133004645713555,0.0,0.0,0.0
1.0,505.0,12.0,2180.0,0.001976284584980237,0.07692307692307693,0.0038535645472061652,-0.019719339815919026,0.0,0.0,0.0
4.0,785.0,9.0,1900.0,0.005069708491761723,0.3076923076923077,0.009975062344139649,0.0023332887927651675,0.0,0.0,0.0
4.0,850.0,9.0,1835.0,0.00468384074941452,0.3076923076923077,0.009227220299884658,-0.0013222344826180185,0.0,0.0,0.0
6.0,823.0,7.0,1862.0,0.007237635705669481,0.46153846153846156,0.014251781472684086,0.02326761112699628,0.0,0.0,0.0
13.0,2519.0,0.0,166.0,0.005134281200631911,1.0,0.010216110019646365,0.01781647260831788,0.0,0.0,0.0
13.0,2532.0,0.0,153.0,0.005108055009823182,1.0,0.01016419077404222,0.017060877049537095,0.0,0.0,0.0
13.0,2527.0,0.0,158.0,0.005118110236220472,1.0,0.010184097140618879,0.017354464457865166,0.0,0.0,0.0
3.0,1847.0,6.0,842.0,0.0016216216216216215,0.3333333333333333,0.00322754168908015,-0.04391069689570096,0.0,0.0,0.0
5.0,1081.0,19.0,1592.0,0.004604051565377533,0.20833333333333334,0.00900900900900901,-0.037547267267970044,0.0,0.0,0.0
4.0,842.0,5.0,1847.0,0.004728132387706856,0.4444444444444444,0.009356725146198829,0.016320428770125232,0.0,0.0,0.0
4.0,892.0,5.0,1797.0,0.004464285714285714,0.4444444444444444,0.008839779005524863,0.013800547365888038,0.0,0.0,0.0
7.0,2501.0,0.0,190.0,0.0027910685805422647,1.0,0.0055666003976143135,0.014037998947738913,0.0,0.0,0.0
11.0,2500.0,1.0,185.0,0.004380724810832338,0.9166666666666666,0.008719778042013477,-0.0037906209312148272,0.0,0.0,0.0
10.0,2505.0,2.0,180.0,0.003976143141153081,0.8333333333333334,0.007914523149980212,-0.026432459513657653,0.0,0.0,0.0
10.0,2357.0,3.0,328.0,0.004224757076468103,0.7692307692307693,0.008403361344537815,-0.02292433980866601,0.0,0.0,0.0
12.0,2536.0,0.0,149.0,0.004709576138147566,1.0,0.009375,0.016166347147880008,0.0,0.0,0.0
3.0,948.0,6.0,1741.0,0.0031545741324921135,0.3333333333333333,0.00625,-0.0023189937924020477,0.0,0.0,0.0
7.0,1126.0,9.0,1555.0,0.00617828773168579,0.4375,0.012184508268059183,0.0027239442161960652,0.0,0.0,0.0
6.0,910.0,10.0,1771.0,0.006550218340611353,0.375,0.012875536480686693,0.0057685470435874285,0.0,0.0,0.0
8.0,1980.0,2.0,708.0,0.004024144869215292,0.8,0.008008008008008008,0.008748177652797064,0.06666666666666667,0.05,0.0
0.0,13.0,11.0,2674.0,0.0,0.0,0.0,-0.00445207057775733,0.0,0.0,0.0
9.0,1900.0,1.0,787.0,0.004714510214772132,0.9,0.00937988535695675,0.025779904409592828,0.06666666666666667,0.05,0.0
6.0,2044.0,2.0,645.0,0.002926829268292683,0.75,0.005830903790087464,-0.0012905862331923713,0.0,0.0,0.0
0.0,16.0,12.0,2670.0,0.0,0.0,0.0,-0.005162596984908407,0.0,0.0,0.0
0.0,153.0,8.0,2536.0,0.0,0.0,0.0,-0.013376323219047552,0.0,0.0,0.0
0.0,24.0,16.0,2658.0,0.0,0.0,0.0,-0.007317378566658541,0.0,0.0,0.0
14.0,2474.0,1.0,208.0,0.005627009646302251,0.9333333333333333,0.011186576108669596,0.0030283130156914437,0.0,0.05,0.0
14.0,2500.0,0.0,184.0,0.005568814638027049,1.0,0.011075949367088608,0.019538851714031136,0.0,0.0,0.0
13.0,2533.0,0.0,151.0,0.005106048703849175,1.0,0.01016021883548261,0.016948828857997374,0.0,0.0,0.0
10.0,2466.0,2.0,219.0,0.004038772213247173,0.8333333333333334,0.008038585209003215,-0.02065062619329523,0.0,0.0,0.0
8.0,2192.0,0.0,497.0,0.0036363636363636364,1.0,0.007246376811594203,0.025924861585424168,0.0,0.0,0.0
3.0,1134.0,6.0,1555.0,0.002638522427440633,0.3333333333333333,0.005235602094240838,-0.010320778199399526,0.0,0.0,0.0
2.0,925.0,6.0,1764.0,0.002157497303128371,0.25,0.0042780748663101605,-0.010762527059837872,0.0,0.0,0.0
0.0,9.0,9.0,2679.0,0.0,0.0,0.0,-0.0033482142857142855,0.0,0.0,0.0
0.0,12.0,10.0,2675.0,0.0,0.0,0.0,-0.004078351418201837,0.0,0.0,0.0
9.0,2497.0,3.0,188.0,0.003591380686352753,0.75,0.0071485305798252565,-0.046696370246593684,0.0,0.0,0.0
13.0,2517.0,0.0,168.0,0.005138339920948616,1.0,0.010224144710971293,0.017930562391611327,0.0,0.0,0.0
3.0,636.0,5.0,2054.0,0.004694835680751174,0.375,0.00927357032457496,0.01772180294736306,0.0,0.0,0.0
0.0,339.0,8.0,2351.0,0.0,0.0,0.0,-0.020673058431641474,0.0,0.0,0.0
8.0,2290.0,0.0,400.0,0.0034812880765883376,1.0,0.006938421509106677,0.022752223067456,0.0,0.0,0.0
1.0,99.0,9.0,2589.0,0.01,0.1,0.01818181818181818,0.02031905380528496,0.0,0.0,0.0
0.0,69.0,10.0,2619.0,0.0,0.0,0.0,-0.00988131217910436,0.0,0.0,0.0
0.0,100.0,10.0,2588.0,0.0,0.0,0.0,-0.011966462782853335,0.0,0.0,0.0
0.0,73.0,10.0,2615.0,0.0,0.0,0.0,-0.010171433030139917,0.0,0.0,0.0
0.0,17.0,11.0,2670.0,0.0,0.0,0.0,-0.00509493400646684,0.0,0.0,0.0
0.0,102.0,9.0,2587.0,0.0,0.0,0.0,-0.011467627975224841,0.0,0.0,0.0
7.0,1434.0,5.0,1252.0,0.004857737682165163,0.5833333333333334,0.009635237439779766,0.006596978377451528,0.0,0.0,0.0
0.0,95.0,9.0,2593.0,0.0,0.0,0.0,-0.011056426394663942,0.0,0.0,0.0
1.0,83.0,9.0,2605.0,0.011904761904761904,0.1,0.02127659574468085,0.024184585188451974,0.0,0.0,0.0
0.0,61.0,10.0,2627.0,0.0,0.0,0.0,-0.009276736489597532,0.0,0.0,0.0
0.0,61.0,10.0,2627.0,0.0,0.0,0.0,-0.009276736489597532,0.0,0.0,0.0
1.0,65.0,9.0,2623.0,0.015151515151515152,0.1,0.026315789473684213,0.029824600652677988,0.0,0.0,0.0
0.0,54.0,10.0,2634.0,0.0,0.0,0.0,-0.008716688420104477,0.0,0.0,0.0
0.0,60.0,9.0,2629.0,0.0,0.0,0.0,-0.008724972829517572,0.0,0.0,0.0
0.0,102.0,12.0,2583.0,0.0,0.0,0.0,-0.013254089008606274,0.0,0.0,0.0
9.0,1446.0,2.0,1241.0,0.006185567010309278,0.8181818181818182,0.012278308321964528,0.03579939756967827,0.0,0.0,0.0
13.0,2567.0,0.0,118.0,0.0050387596899224806,1.0,0.010026995757809487,0.014880950834276726,0.0,0.0,0.0
8.0,1098.0,8.0,1583.0,0.007233273056057866,0.5,0.014260249554367199,0.014122470426587723,0.0,0.0,0.0
10.0,1283.0,6.0,1398.0,0.007733952049497293,0.625,0.015278838808250572,0.022511618352617002,0.0,0.0,0.0
10.0,1307.0,7.0,1374.0,0.007593014426727411,0.5882352941176471,0.014992503748125937,0.015945740726983588,0.0,0.0,0.0
5.0,703.0,11.0,1978.0,0.007062146892655367,0.3125,0.013812154696132596,0.008776224544613798,0.0,0.0,0.0
1.0,170.0,10.0,2517.0,0.005847953216374269,0.09090909090909091,0.010989010989010988,0.007229216057592314,0.0,0.0,0.0
2.0,204.0,9.0,2483.0,0.009708737864077669,0.18181818181818182,0.018433179723502304,0.025410109266509513,0.0,0.0,0.0
7.0,2185.0,1.0,505.0,0.0031934306569343066,0.875,0.006363636363636364,0.008738101833855491,0.0,0.0,0.0
0.0,87.0,11.0,2600.0,0.0,0.0,0.0,-0.011679350711093878,0.0,0.0,0.0
1.0,93.0,10.0,2594.0,0.010638297872340425,0.09090909090909091,0.019047619047619046,0.019563147501232163,0.0,0.0,0.0
0.0,46.0,9.0,2643.0,0.0,0.0,0.0,-0.007619351507752248,0.0,0.0,0.0
1.0,749.0,9.0,1938.0,0.0013333333333333333,0.1,0.002631578947368421,-0.02424739827238172,0.0,0.0,0.0
3.0,616.0,7.0,2071.0,0.004846526655896607,0.3,0.009538950715421303,0.010225397213842762,0.0,0.0,0.0
8.0,1792.0,3.0,895.0,0.0044444444444444444,0.7272727272727273,0.008834897846493649,0.008161880903726269,0.0,0.0,0.0
8.0,2451.0,1.0,237.0,0.0032533550223668157,0.8888888888888888,0.006482982171799027,-0.004664330905033717,0.0,0.0,0.0
2.0,622.0,9.0,2065.0,0.003205128205128205,0.18181818181818182,0.006299212598425197,-0.007505838383729308,0.0,0.05,0.0
0.0,52.0,9.0,2637.0,0.0,0.0,0.0,-0.008110219446120552,0.0,0.0,0.0
8.0,2293.0,1.0,396.0,0.003476749239461104,0.8888888888888888,0.006926406926406927,0.005884883021861445,0.0,0.0,0.0
0.0,48.0,9.0,2641.0,0.0,0.0,0.0,-0.007786163790287308,0.0,0.0,0.0
2.0,527.0,13.0,2155.0,0.003780718336483932,0.13333333333333333,0.007352941176470588,-0.011829657581242492,0.0,0.0,0.0
4.0,1352.0,4.0,1338.0,0.0029498525073746312,0.5,0.005865102639296187,-0.00028298328959873453,0.0,0.0,0.0
0.0,26.0,13.0,2659.0,0.0,0.0,0.0,-0.00686385306899187,0.0,0.0,0.0
0.0,169.0,10.0,2519.0,0.0,0.0,0.0,-0.015767190159505076,0.0,0.0,0.0
0.0,108.0,9.0,2581.0,0.0,0.0,0.0,-0.011813751989482967,0.0,0.0,0.0
0.0,69.0,9.0,2620.0,0.0,0.0,0.0,-0.009372492594055624,0.0,0.0,0.0
0.0,65.0,8.0,2624.0,0.0,0.0,0.0,-0.00857162826443514,0.0,0.0,0.0
0.0,59.0,9.0,2630.0,0.0,0.0,0.0,-0.008650319816075516,0.0,0.0,0.0
0.0,65.0,9.0,2624.0,0.0,0.0,0.0,-0.009089858074630142,0.0,0.0,0.0
0.0,34.0,14.0,2650.0,0.0,0.0,0.0,-0.008159153625423615,0.0,0.0,0.0
3.0,94.0,15.0,2586.0,0.030927835051546393,0.16666666666666666,0.052173913043478265,0.05754097616451118,0.06666666666666667,0.05,0.05555555555555555
1.0,113.0,25.0,2558.0,0.008771929824561403,0.038461538461538464,0.014285714285714285,-0.0018671233689235883,0.0,0.0,0.0
2.0,255.0,8.0,2432.0,0.007782101167315175,0.2,0.0149812734082397,0.021755515795988695,0.0,0.0,0.0
1.0,82.0,11.0,2604.0,0.012048192771084338,0.08333333333333333,0.021052631578947368,0.02034890460207676,0.0,0.0,0.0
0.0,77.0,10.0,2610.0,0.0,0.0,0.0,-0.01045829489836848,0.0,0.0,0.0
0.0,92.0,10.0,2595.0,0.0,0.0,0.0,-0.011464528984967186,0.0,0.0,0.0
3.0,218.0,7.0,2469.0,0.013574660633484163,0.3,0.025974025974025976,0.04850046351830414,0.0,0.0,0.0
1.0,93.0,13.0,2591.0,0.010638297872340425,0.07142857142857142,0.018518518518518517,0.014410145061094302,0.0,0.0,0.0
2.0,174.0,8.0,2513.0,0.011363636363636364,0.2,0.021505376344086023,0.033281916985453165,0.0,0.0,0.0
1.0,85.0,11.0,2601.0,0.011627906976744186,0.08333333333333333,0.02040816326530612,0.019579227737855687,0.0,0.0,0.0
5.0,1445.0,3.0,1245.0,0.0034482758620689655,0.625,0.006858710562414266,0.009577438609698443,0.0,0.0,0.0
2.0,577.0,6.0,2113.0,0.0034542314335060447,0.25,0.0068143100511073255,0.0047018358700202855,0.0,0.0,0.0
0.0,22.0,11.0,2665.0,0.0,0.0,0.0,-0.005801373078046498,0.0,0.0,0.0
0.0,53.0,9.0,2636.0,0.0,0.0,0.0,-0.008189378617812498,0.0,0.0,0.0
7.0,2205.0,1.0,484.0,0.0031645569620253164,0.875,0.006306306306306306,0.00778719265744687,0.0,0.0,0.0
0.0,67.0,9.0,2622.0,0.0,0.0,0.0,-0.009232149549690628,0.0,0.0,0.0
0.0,62.0,9.0,2627.0,0.0,0.0,0.0,-0.008872561031374926,0.0,0.0,0.0
0.0,60.0,9.0,2629.0,0.0,0.0,0.0,-0.008724972829517572,0.0,0.0,0.0
0.0,101.0,11.0,2585.0,0.0,0.0,0.0,-0.01262268316134503,0.0,0.0,0.0
8.0,2400.0,0.0,289.0,0.0033222591362126247,1.0,0.006622516556291392,0.01889601706450301,0.0,0.0,0.0
7.0,2164.0,1.0,526.0,0.0032243205895900505,0.875,0.006424965580541533,0.00967420795636977,0.0,0.0,0.0
0.0,0.0,9.0,2688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,95.0,11.0,2591.0,0.0,0.0,0.0,-0.012227889203513358,0.0,0.0,0.0
0.0,19.0,13.0,2665.0,0.0,0.0,0.0,-0.005862082612787223,0.0,0.0,0.0
12.0,2487.0,1.0,198.0,0.004801920768307323,0.9230769230769231,0.009554140127388535,-0.0008424991887302802,0.0,0.0,0.0
0.0,57.0,9.0,2632.0,0.0,0.0,0.0,-0.008499220192972865,0.0,0.0,0.0
0.0,63.0,9.0,2626.0,0.0,0.0,0.0,-0.008945524686716697,0.0,0.0,0.0
0.0,83.0,9.0,2606.0,0.0,0.0,0.0,-0.010306923513170016,0.0,0.0,0.0
0.0,52.0,9.0,2637.0,0.0,0.0,0.0,-0.008110219446120552,0.0,0.0,0.0
0.0,78.0,9.0,2611.0,0.0,0.0,0.0,-0.009982113630101123,0.0,0.0,0.0
0.0,60.0,9.0,2629.0,0.0,0.0,0.0,-0.008724972829517572,0.0,0.0,0.0
0.0,53.0,9.0,2636.0,0.0,0.0,0.0,-0.008189378617812498,0.0,0.0,0.0
6.0,2068.0,2.0,622.0,0.0028929604628736743,0.75,0.005763688760806917,-0.002420825920065638,0.0,0.0,0.0
6.0,2008.0,2.0,682.0,0.0029791459781529296,0.75,0.005934718100890208,0.0004414023843784305,0.0,0.0,0.0
4.0,128.0,9.0,2557.0,0.030303030303030304,0.3076923076923077,0.05517241379310345,0.0834709534779134,0.06666666666666667,0.05,0.07692307692307693
0.0,49.0,13.0,2636.0,0.0,0.0,0.0,-0.00946360471575758,0.0,0.0,0.0
0.0,44.0,13.0,2641.0,0.0,0.0,0.0,-0.008959327458679915,0.0,0.0,0.0
0.0,36.0,12.0,2649.0,0.0,0.0,0.0,-0.007775839559336206,0.0,0.0,0.0
0.0,160.0,13.0,2525.0,0.0,0.0,0.0,-0.01747083707021218,0.0,0.0,0.0
0.0,86.0,13.0,2599.0,0.0,0.0,0.0,-0.012625894917074864,0.0,0.0,0.0
0.0,22.0,13.0,2663.0,0.0,0.0,0.0,-0.0063091058968723504,0.0,0.0,0.0
0.0,15.0,13.0,2670.0,0.0,0.0,0.0,-0.005202772359533853,0.0,0.0,0.0
1.0,113.0,12.0,2572.0,0.008771929824561403,0.07692307692307693,0.015748031496062992,0.01199198491236113,0.0,0.0,0.0
0.0,75.0,13.0,2610.0,0.0,0.0,0.0,-0.011766058884669545,0.0,0.0,0.0
4.0,146.0,9.0,2539.0,0.02666666666666667,0.3076923076923077,0.049079754601227,0.07655284722825188,0.06666666666666667,0.1,0.07692307692307693
1.0,98.0,10.0,2589.0,0.010101010101010102,0.09090909090909091,0.018181818181818184,0.018450372184405,0.0,0.0,0.0
0.0,19.0,8.0,2671.0,0.0,0.0,0.0,-0.004592607145321419,0.0,0.0,0.0
4.0,1694.0,4.0,996.0,0.002355712603062426,0.5,0.004689331770222743,-0.014605802960574525,0.06666666666666667,0.05,0.0
7.0,2121.0,1.0,569.0,0.003289473684210526,0.875,0.0065543071161048684,0.011524850581112817,0.0,0.0,0.0
11.0,2047.0,3.0,636.0,0.005344995140913508,0.7857142857142857,0.010617760617760617,0.0038469686422403274,0.0,0.0,0.0
0.0,94.0,11.0,2592.0,0.0,0.0,0.0,-0.012161024996700794,0.0,0.0,0.0
0.0,189.0,14.0,2495.0,0.0,0.0,0.0,-0.019822267541442104,0.0,0.0,0.0
0.0,29.0,14.0,2655.0,0.0,0.0,0.0,-0.007528309653724538,0.0,0.0,0.0
0.0,85.0,10.0,2602.0,0.0,0.0,0.0,-0.011004974570115433,0.0,0.0,0.0
1.0,99.0,12.0,2586.0,0.01,0.07692307692307693,0.01769911504424779,0.014680599026361853,0.0,0.0,0.0
