tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
14.0,4.0,0.0,3422.0,0.7777777777777778,1.0,0.8750000000000001,0.881402115554538,0.8666666666666667,0.7,0.9285714285714286
11.0,0.0,0.0,3429.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
11.0,1.0,0.0,3428.0,0.9166666666666666,1.0,0.9565217391304348,0.9572874902407936,0.7333333333333333,0.55,1.0
6.0,0.0,4.0,3430.0,1.0,0.6,0.7499999999999999,0.7741454040303064,0.6,0.5,0.7
8.0,2.0,3.0,3427.0,0.8,0.7272727272727273,0.761904761904762,0.7620472328029212,0.6666666666666666,0.5,0.8181818181818182
10.0,0.0,2.0,3428.0,1.0,0.8333333333333334,0.9090909090909091,0.9126047472395481,0.7333333333333333,0.55,0.8333333333333334
16.0,1.0,3.0,3420.0,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.8896947548765681,0.9333333333333333,0.9,0.8947368421052632
16.0,3.0,3.0,3418.0,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8412283265896399,1.0,0.8,0.8421052631578947
16.0,0.0,3.0,3421.0,1.0,0.8421052631578947,0.9142857142857143,0.9172608338334308,1.0,0.85,0.8947368421052632
17.0,2.0,2.0,3419.0,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8941522177264266,1.0,0.85,0.8947368421052632
18.0,0.0,0.0,3422.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0
18.0,0.0,0.0,3422.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0
17.0,0.0,1.0,3422.0,1.0,0.9444444444444444,0.9714285714285714,0.9716833502358617,1.0,0.9,1.0
8.0,0.0,3.0,3429.0,1.0,0.7272727272727273,0.8421052631578948,0.852430055408813,0.7333333333333333,0.55,0.9090909090909091
30.0,3.0,1.0,3406.0,0.9090909090909091,0.967741935483871,0.9374999999999999,0.9373801724364805,1.0,1.0,0.9354838709677419
11.0,0.0,0.0,3429.0,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
10.0,2.0,1.0,3427.0,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8699567125164823,0.7333333333333333,0.55,0.9090909090909091
10.0,0.0,0.0,3430.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
17.0,0.0,0.0,3423.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0
16.0,0.0,1.0,3423.0,1.0,0.9411764705882353,0.9696969696969697,0.9700008217947925,1.0,0.85,1.0
16.0,0.0,1.0,3423.0,1.0,0.9411764705882353,0.9696969696969697,0.9700008217947925,1.0,0.85,0.9411764705882353
16.0,0.0,1.0,3423.0,1.0,0.9411764705882353,0.9696969696969697,0.9700008217947925,1.0,0.85,0.9411764705882353
11.0,1.0,0.0,3428.0,0.9166666666666666,1.0,0.9565217391304348,0.9572874902407936,0.7333333333333333,0.55,0.9090909090909091
21.0,0.0,3.0,3416.0,1.0,0.875,0.9333333333333333,0.9350038671827408,1.0,1.0,0.9583333333333334
20.0,0.0,4.0,3416.0,1.0,0.8333333333333334,0.9090909090909091,0.9123369303409445,1.0,1.0,0.9583333333333334
10.0,4.0,2.0,3424.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7706612927898475,0.6666666666666666,0.55,0.8333333333333334
10.0,0.0,4.0,3426.0,1.0,0.7142857142857143,0.8333333333333333,0.8446613096561174,0.8,0.7,0.8571428571428571
12.0,0.0,1.0,3427.0,1.0,0.9230769230769231,0.9600000000000001,0.9606287771186212,0.8,0.65,0.9230769230769231
9.0,6.0,2.0,3423.0,0.6,0.8181818181818182,0.6923076923076923,0.6995587705890035,0.6,0.5,0.7272727272727273
10.0,1.0,4.0,3425.0,0.9090909090909091,0.7142857142857143,0.8,0.8051412361403012,0.8666666666666667,0.7,0.8571428571428571
6.0,0.0,4.0,3430.0,1.0,0.6,0.7499999999999999,0.7741454040303064,0.5333333333333333,0.5,0.8
17.0,1.0,4.0,3418.0,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.8736865079727238,0.9333333333333333,0.95,0.9523809523809523
19.0,0.0,1.0,3420.0,1.0,0.95,0.9743589743589743,0.9745369687292794,1.0,0.95,0.95
19.0,0.0,0.0,3421.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0
18.0,0.0,0.0,3422.0,1.0,1.0,1.0,1.0,1.0,0.9,1.0
16.0,0.0,1.0,3423.0,1.0,0.9411764705882353,0.9696969696969697,0.9700008217947925,1.0,0.85,0.9411764705882353
7.0,1.0,3.0,3429.0,0.875,0.7,0.7777777777777777,0.7820698592162271,0.6666666666666666,0.5,0.9
8.0,2.0,2.0,3428.0,0.8,0.8,0.8000000000000002,0.7994169096209912,0.6,0.45,0.8
10.0,6.0,0.0,3424.0,0.625,1.0,0.7692307692307693,0.7898776522597398,0.6666666666666666,0.5,0.9
8.0,3.0,3.0,3426.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7263978366340571,0.6,0.55,0.7272727272727273
10.0,7.0,3.0,3420.0,0.5882352941176471,0.7692307692307693,0.6666666666666667,0.671278462653271,0.6666666666666666,0.6,0.6923076923076923
17.0,0.0,0.0,3423.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0
17.0,0.0,0.0,3423.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0
10.0,0.0,0.0,3430.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
8.0,2.0,2.0,3428.0,0.8,0.8,0.8000000000000002,0.7994169096209912,0.6,0.5,0.8
9.0,0.0,1.0,3430.0,1.0,0.9,0.9473684210526316,0.9485450362559954,0.6666666666666666,0.5,1.0
9.0,0.0,3.0,3428.0,1.0,0.75,0.8571428571428571,0.8656467030577306,0.6666666666666666,0.55,0.75
8.0,1.0,5.0,3426.0,0.8888888888888888,0.6153846153846154,0.7272727272727274,0.7388185118451334,0.7333333333333333,0.6,0.7692307692307693
10.0,2.0,3.0,3425.0,0.8333333333333334,0.7692307692307693,0.8,0.7999166385480513,0.7333333333333333,0.65,0.8461538461538461
11.0,2.0,1.0,3426.0,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.8802727078333362,0.7333333333333333,0.55,0.9166666666666666
7.0,0.0,6.0,3427.0,1.0,0.5384615384615384,0.7000000000000001,0.7331578590907595,0.7333333333333333,0.55,0.8461538461538461
9.0,1.0,2.0,3428.0,0.9,0.8181818181818182,0.8571428571428572,0.857685411600515,0.7333333333333333,0.55,0.8181818181818182
11.0,0.0,3.0,3426.0,1.0,0.7857142857142857,0.88,0.8860174217480403,0.8,0.7,0.8571428571428571
8.0,0.0,4.0,3428.0,1.0,0.6666666666666666,0.8,0.8160206283481232,0.6666666666666666,0.55,0.75
10.0,1.0,2.0,3427.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8699567125164823,0.7333333333333333,0.6,0.8333333333333334
9.0,3.0,3.0,3425.0,0.75,0.75,0.75,0.7491248541423571,0.6666666666666666,0.55,0.75
10.0,4.0,2.0,3424.0,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7706612927898475,0.6666666666666666,0.5,0.8333333333333334
10.0,1.0,2.0,3427.0,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.8699567125164823,0.7333333333333333,0.55,0.9166666666666666
9.0,4.0,3.0,3424.0,0.6923076923076923,0.75,0.7199999999999999,0.7195605692627663,0.6,0.5,0.75
10.0,1.0,1.0,3428.0,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.908799278878019,0.7333333333333333,0.55,0.9090909090909091
11.0,1.0,5.0,3423.0,0.9166666666666666,0.6875,0.7857142857142857,0.7930562842293656,0.7333333333333333,0.7,0.75
11.0,0.0,4.0,3425.0,1.0,0.7333333333333333,0.846153846153846,0.8558492184426272,0.8666666666666667,0.7,0.8666666666666667
17.0,0.0,0.0,3423.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0
15.0,0.0,9.0,3416.0,1.0,0.625,0.7692307692307693,0.7895300274426404,1.0,0.9,0.8333333333333334
21.0,0.0,3.0,3416.0,1.0,0.875,0.9333333333333333,0.9350038671827408,1.0,1.0,0.9166666666666666
22.0,1.0,2.0,3415.0,0.9565217391304348,0.9166666666666666,0.9361702127659574,0.9359461631452559,1.0,1.0,0.9166666666666666
19.0,0.0,5.0,3416.0,1.0,0.7916666666666666,0.8837209302325582,0.8891060665542398,1.0,1.0,0.9583333333333334
12.0,0.0,2.0,3426.0,1.0,0.8571428571428571,0.923076923076923,0.9255499844933457,0.8,0.65,0.8571428571428571
13.0,3.0,1.0,3423.0,0.8125,0.9285714285714286,0.8666666666666666,0.8680333377383962,0.8,0.65,0.8571428571428571
9.0,0.0,1.0,3430.0,1.0,0.9,0.9473684210526316,0.9485450362559954,0.6666666666666666,0.5,0.9
12.0,0.0,2.0,3426.0,1.0,0.8571428571428571,0.923076923076923,0.9255499844933457,0.8666666666666667,0.7,0.8571428571428571
12.0,1.0,2.0,3425.0,0.9230769230769231,0.8571428571428571,0.888888888888889,0.8890665326272503,0.8,0.6,0.8571428571428571
7.0,0.0,4.0,3429.0,1.0,0.6363636363636364,0.7777777777777778,0.7972591610315893,0.7333333333333333,0.55,0.8181818181818182
11.0,0.0,2.0,3427.0,1.0,0.8461538461538461,0.9166666666666666,0.9195979111009676,0.8,0.65,0.9230769230769231
10.0,3.0,3.0,3424.0,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7683553680052075,0.6666666666666666,0.55,0.7692307692307693
9.0,3.0,5.0,3423.0,0.75,0.6428571428571429,0.6923076923076924,0.6932169469380984,0.7333333333333333,0.6,0.7857142857142857
10.0,0.0,2.0,3428.0,1.0,0.8333333333333334,0.9090909090909091,0.9126047472395481,0.7333333333333333,0.55,0.9166666666666666
10.0,0.0,4.0,3426.0,1.0,0.7142857142857143,0.8333333333333333,0.8446613096561174,0.8666666666666667,0.65,0.9285714285714286
7.0,0.0,3.0,3430.0,1.0,0.7,0.8235294117647058,0.8362943800631778,0.6,0.45,0.8
10.0,1.0,0.0,3429.0,0.9090909090909091,1.0,0.9523809523809523,0.953323590398109,0.6666666666666666,0.5,1.0
10.0,0.0,1.0,3429.0,1.0,0.9090909090909091,0.9523809523809523,0.953323590398109,0.6666666666666666,0.55,0.9090909090909091
19.0,1.0,3.0,3417.0,0.95,0.8636363636363636,0.9047619047619048,0.9052178113693152,1.0,0.95,0.9090909090909091
8.0,1.0,2.0,3429.0,0.8888888888888888,0.8,0.8421052631578948,0.8428438725138306,0.6,0.45,0.9
12.0,1.0,4.0,3423.0,0.9230769230769231,0.75,0.8275862068965517,0.8313621604015887,0.8666666666666667,0.7,0.8125
8.0,1.0,4.0,3427.0,0.8888888888888888,0.6666666666666666,0.761904761904762,0.7691270395507103,0.8,0.6,0.9166666666666666
10.0,2.0,1.0,3427.0,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8699567125164823,0.7333333333333333,0.55,0.9090909090909091
