tp,fp,fn,tn,precision,recall,f_measure,mcc,precision@15,precision@20,precision@n_positives
14,0,0,3366,1.0,1.0,1.0,1.0,0.9333333333333333,0.7,1.0
11,0,0,3369,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
11,0,0,3369,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
10,0,0,3370,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
10,0,0,3370,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0
10,0,2,3368,1.0,0.8333333333333334,0.9090909090909091,0.9126000073918433,0.8,0.6,1.0
19,0,0,3361,1.0,1.0,1.0,1.0,1.0,0.95,1.0
19,1,0,3360,0.95,1.0,0.9743589743589743,0.9745344252657101,0.9333333333333333,0.95,0.9473684210526315
19,0,0,3361,1.0,1.0,1.0,1.0,1.0,0.95,1.0
17,0,2,3361,1.0,0.8947368421052632,0.9444444444444444,0.9456239927934317,1.0,0.95,1.0
16,2,2,3360,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8882940048912684,0.9333333333333333,0.9,0.8888888888888888
18,2,0,3360,0.9,1.0,0.9473684210526316,0.9484010778157844,0.9333333333333333,0.9,0.9444444444444444
18,4,0,3358,0.8181818181818182,1.0,0.9,0.9039957807646325,0.8666666666666667,0.85,0.8888888888888888
10,0,1,3369,1.0,0.9090909090909091,0.9523809523809523,0.9533211154575526,0.7333333333333333,0.55,1.0
31,2,0,3347,0.9393939393939394,1.0,0.96875,0.9689339191754666,0.9333333333333333,0.95,0.967741935483871
11,0,0,3369,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
11,1,0,3368,0.9166666666666666,1.0,0.9565217391304348,0.957285003546612,0.7333333333333333,0.55,0.9090909090909091
10,1,0,3369,0.9090909090909091,1.0,0.9523809523809523,0.9533211154575526,0.6666666666666666,0.5,0.9
17,1,0,3362,0.9444444444444444,1.0,0.9714285714285714,0.9716808172095011,0.9333333333333333,0.85,0.9411764705882353
17,2,0,3361,0.8947368421052632,1.0,0.9444444444444444,0.9456239927934317,0.9333333333333333,0.85,0.8823529411764706
17,3,0,3360,0.85,1.0,0.9189189189189189,0.9215431343344129,0.8,0.85,0.8235294117647058
17,5,0,3358,0.7727272727272727,1.0,0.8717948717948718,0.8783953590073189,0.8666666666666667,0.8,0.8235294117647058
11,0,0,3369,1.0,1.0,1.0,1.0,0.7333333333333333,0.55,1.0
