metric,method,clf,f_measure,precision,recall
Betweenness,Disease Conservative,GAP-MINE,0.0 (0.0-0.013),0.0 (0.0-0.008),0.0 (0.0-0.05)
Betweenness,Disease Conservative,Threshold,0.007 (0.0-0.015),0.003 (0.0-0.008),0.062 (0.0-0.154)
Betweenness,Disease SCA,GAP-MINE,0.005 (0.0-0.022),0.002 (0.0-0.013),0.017 (0.0-0.091)
Betweenness,Disease SCA,Threshold,0.013 (0.0-0.024),0.007 (0.0-0.013),0.067 (0.0-0.156)
Betweenness,Process,GAP-MINE,0.0 (0.0-0.008),0.0 (0.0-0.004),0.0 (0.0-0.062)
Betweenness,Process,Threshold,0.0 (0.0-0.009),0.0 (0.0-0.005),0.0 (0.0-0.083)
Closeness,Disease Conservative,GAP-MINE,0.042 (0.0-0.087),0.031 (0.0-0.071),0.077 (0.0-0.15)
Closeness,Disease Conservative,Threshold,0.038 (0.0-0.08),0.027 (0.0-0.071),0.074 (0.0-0.136)
Closeness,Disease SCA,GAP-MINE,0.109 (0.074-0.15),0.111 (0.067-0.176),0.116 (0.071-0.168)
Closeness,Disease SCA,Threshold,0.1 (0.066-0.137),0.107 (0.065-0.149),0.1 (0.056-0.148)
Closeness,Process,GAP-MINE,0.323 (0.182-0.571),0.333 (0.188-0.625),0.35 (0.182-0.545)
Closeness,Process,Threshold,0.229 (0.111-0.483),0.25 (0.125-0.5),0.25 (0.105-0.5)
Fraction Betweenness,Disease Conservative,GAP-MINE,0.009 (0.0-0.049),0.005 (0.0-0.053),0.083 (0.0-0.286)
Fraction Betweenness,Disease Conservative,Threshold,0.044 (0.009-0.075),0.029 (0.005-0.06),0.091 (0.023-0.154)
Fraction Betweenness,Disease SCA,GAP-MINE,0.176 (0.124-0.222),0.185 (0.137-0.255),0.167 (0.105-0.226)
Fraction Betweenness,Disease SCA,Threshold,0.182 (0.132-0.226),0.194 (0.15-0.25),0.174 (0.117-0.231)
Fraction Betweenness,Process,GAP-MINE,0.143 (0.006-0.308),0.167 (0.003-0.438),0.158 (0.056-0.333)
Fraction Betweenness,Process,Threshold,0.237 (0.129-0.407),0.229 (0.143-0.375),0.273 (0.125-0.5)
Hypergeometric Test,Disease Conservative,GAP-MINE,0.056 (0.0-0.108),0.052 (0.0-0.118),0.061 (0.0-0.111)
Hypergeometric Test,Disease Conservative,Threshold,0.054 (0.0-0.105),0.045 (0.0-0.095),0.067 (0.0-0.125)
Hypergeometric Test,Disease SCA,GAP-MINE,0.139 (0.101-0.179),0.125 (0.088-0.168),0.167 (0.111-0.235)
Hypergeometric Test,Disease SCA,Threshold,0.137 (0.104-0.182),0.119 (0.086-0.167),0.167 (0.111-0.252)
Hypergeometric Test,Process,GAP-MINE,0.343 (0.188-0.609),0.429 (0.2-0.684),0.333 (0.182-0.579)
Hypergeometric Test,Process,Threshold,0.368 (0.2-0.578),0.417 (0.231-0.65),0.357 (0.182-0.6)
Random Walks with Restart,Disease Conservative,GAP-MINE,0.974 (0.947-1.0),1.0 (0.929-1.0),1.0 (0.95-1.0)
Random Walks with Restart,Disease Conservative,Threshold,0.976 (0.952-1.0),1.0 (0.92-1.0),1.0 (1.0-1.0)
Random Walks with Restart,Disease SCA,GAP-MINE,0.986 (0.966-1.0),1.0 (0.965-1.0),1.0 (0.965-1.0)
Random Walks with Restart,Disease SCA,Threshold,0.977 (0.951-1.0),0.967 (0.913-1.0),1.0 (1.0-1.0)
Random Walks with Restart,Process,GAP-MINE,0.968 (0.944-1.0),1.0 (0.92-1.0),1.0 (0.938-1.0)
Random Walks with Restart,Process,Threshold,0.963 (0.936-1.0),1.0 (0.905-1.0),1.0 (1.0-1.0)
